id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJl9iD2Zu25JQRT6IUTu9xUtw,https://www.google.com/maps/place/?q=place_id:ChIJl9iD2Zu25JQRT6IUTu9xUtw,Vox Brazil Comunicação,Agência de publicidade,"R. Condá, 821 - Presidente Médici, Chapecó - SC, 89801-131",(49) 99983-2119,+55 49 99983-2119,voxbrazil.com.br,http://www.voxbrazil.com.br/,"-27.096266999999997,-52.6102436",4.6,4,Agencias de publicidade em Chapeco SC,True,True,True,7.4034,0.0556,False,False,"para, marca, brazil, planejamento, digital, quem, marcas, conjunto, posicionar, design",True,True,63.0,medium
ChIJ_9pB6qC25JQRqcUZYjb8QbQ,https://www.google.com/maps/place/?q=place_id:ChIJ_9pB6qC25JQRqcUZYjb8QbQ,Agência T12,Agência de publicidade,"R. Barão do Rio Branco, 171 - D 4º Andar - Centro, Chapecó - SC, 89801-030",(49) 3321-6200,+55 49 3321-6200,t12.com.br,http://t12.com.br/,"-27.102490799999998,-52.613101799999995",4.7,1,Agencias de publicidade em Chapeco SC,True,True,True,3.2578,0.0139,False,False,"criatividade, todos, aurora, aqui, ideias, nascem, dias, anos, conecta, futuro",False,True,58.0,medium
ChIJZbJCfaG25JQRyOuVKlsO16E,https://www.google.com/maps/place/?q=place_id:ChIJZbJCfaG25JQRyOuVKlsO16E,Doss Propaganda,Agência de Marketing,"Av. Nereu Ramos 1866-E sala 202/203 - Passo Dos Fortes, Chapecó - SC, 89805-100",(49) 3311-8779,+55 49 3311-8779,dosspropaganda.com.br,https://dosspropaganda.com.br/,"-27.0880872,-52.6166035",4.5,25,Agencias de publicidade em Chapeco SC,True,True,True,14.6614,0.3472,False,False,"marketing, doss, para, branding, digital, marca, mais, leia, propaganda, como",False,True,62.0,medium
ChIJL4ltYnS15JQRdxnEq8b2FN0,https://www.google.com/maps/place/?q=place_id:ChIJL4ltYnS15JQRdxnEq8b2FN0,Agência Hoppa - Marketing Digital e Publicidade,Agência de Marketing,"Rua José Garibaldi da Rocha, Tinn, 216D - Centro, Chapecó - SC, 89814-040",(49) 99166-2528,+55 49 99166-2528,agenciahoppa.com,http://www.agenciahoppa.com/,"-27.1136248,-52.6162371",4.6,12,Agencias de publicidade em Chapeco SC,True,True,True,11.7988,0.1667,False,False,"hoppa, marketing, quem, somos, contato, digital, trabalhos, nossos, marca, para",True,True,67.0,medium
ChIJbyujHSa05JQRfcO6lwUFy9s,https://www.google.com/maps/place/?q=place_id:ChIJbyujHSa05JQRfcO6lwUFy9s,Spo Comunicação,Agência de publicidade,"Av. Porto Alegre, 1263 - Centro, Chapecó - SC, 89802-130",(49) 3322-6286,+55 49 3322-6286,agenciaspo.com.br,http://www.agenciaspo.com.br/,"-27.0945207,-52.620911199999995",4.8,18,Agencias de publicidade em Chapeco SC,True,True,True,14.1333,0.25,False,False,,False,False,62.0,medium
ChIJeQp8Bru25JQR-oPludCdIcg,https://www.google.com/maps/place/?q=place_id:ChIJeQp8Bru25JQR-oPludCdIcg,Agência Laztro,Agência de publicidade,"Edifício Vértice Office - R. Borges de Medeiros, 897E - Sl 1501 - Presidente Médici, Chapecó - SC, 89801-101",(49) 3312-1818,+55 49 3312-1818,laztro.com,https://laztro.com/,"-27.095259199999997,-52.6090088",4.6,13,Agencias de publicidade em Chapeco SC,True,True,True,12.1397,0.1806,False,False,"laztro, completa, publicidade, marketing, romper, barreiras, conectar, impulsionar, office, borges",False,True,62.0,medium
ChIJ07lmLrq15JQRcMzSDfnJfRw,https://www.google.com/maps/place/?q=place_id:ChIJ07lmLrq15JQRcMzSDfnJfRw,Vanessa Presotto Assessoria de Marketing,Agência de Marketing,"R. Itália, 1610 - Cs 2335 - Esplanada, Chapecó - SC, 89812-590",(49) 99903-3007,+55 49 99903-3007,vanessapresottomarketing.com,https://www.vanessapresottomarketing.com/,"-27.1154358,-52.5941252",4.9,3,Agencias de publicidade em Chapeco SC,True,True,True,6.7928,0.0417,False,False,"marketing, para, marca, assessoria, vanessa, presotto, agende, conversa, resultado, gerar",True,True,63.0,medium
ChIJT6p47TS35JQRF3hOW_FqDVo,https://www.google.com/maps/place/?q=place_id:ChIJT6p47TS35JQRF3hOW_FqDVo,Agência de Tráfego Pago Metadot - Marketing Digital,Agência de marketing digital,"R. Duque de Caxias, 138 - Centro, Chapecó - SC, 89802-420",(41) 99834-6805,+55 41 99834-6805,metadot.com.br,https://metadot.com.br/,"-27.1058356,-52.6153595",5,16,Agencias de publicidade em Chapeco SC,True,True,True,14.1661,0.2222,False,False,"receita, para, metadot, dados, case, performance, real, meta, google, tracking",False,True,62.0,medium
ChIJudZPuia15JQR5Cg6NF1xmtY,https://www.google.com/maps/place/?q=place_id:ChIJudZPuia15JQR5Cg6NF1xmtY,Gm Digital | Assessoria de Marketing e Vendas,Agência de Marketing,"R. Sady de Marco, 64d - Jardim Itália, Chapecó - SC, 89802-280",(49) 99921-4188,+55 49 99921-4188,,,"-27.1014196,-52.6228213",5,9,Agencias de publicidade em Chapeco SC,True,False,False,11.5129,0.125,False,False,,False,False,43.0,small
ChIJA1NCk6a25JQR7lk7OaqprWs,https://www.google.com/maps/place/?q=place_id:ChIJA1NCk6a25JQR7lk7OaqprWs,TiG,Agência de publicidade,"R. Borges de Medeiros, 897-E - Presidente Médici, Chapecó - SC, 89801-161",(49) 3304-1521,+55 49 3304-1521,agenciatig.com.br,http://agenciatig.com.br/,"-27.095259199999997,-52.6090088",4.6,6,Agencias de publicidade em Chapeco SC,True,True,True,8.9512,0.0833,False,False,"para, campanha, publicidade, mais, seus, grupo, como, empresa, blog, expandir",False,True,58.0,medium
