id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJYcIZ0Ka35JQRhmOgc77IP4M,https://www.google.com/maps/place/?q=place_id:ChIJYcIZ0Ka35JQRhmOgc77IP4M,MPR Brindes,Fornecedor de Brindes,"R. das Palmas, 474 - Paraíso, Chapecó - SC, 89806-848",(49) 99807-1298,+55 49 99807-1298,mprbrindes.com.br,https://www.mprbrindes.com.br/,"-27.089335199999997,-52.5860324",4.9,169,Brindes corporativos em Chapeco SC,True,True,True,25.1654,0.4413,False,False,"novo, para, brindes, caderneta, capa, copo, porta, tipo, moleskine, pauta",False,True,73.0,medium
ChIJx0Gymp-35JQRSIB6L0-wePI,https://www.google.com/maps/place/?q=place_id:ChIJx0Gymp-35JQRSIB6L0-wePI,Q Canecas Brindes e Presentes,Fornecedor de Brindes,"R. Ivo Fiorentin, 166 - Vila Real, Chapecó - SC, 89805-851",,,lojaintegrada.com.br,https://q-canecas-e-personalizados.lojaintegrada.com.br/,"-27.0685103,-52.6092227",5,82,Brindes corporativos em Chapeco SC,False,True,True,22.0942,0.2141,False,False,,False,False,52.0,medium
ChIJvUVk8fi15JQRPU_e5y74y8M,https://www.google.com/maps/place/?q=place_id:ChIJvUVk8fi15JQRPU_e5y74y8M,Brindes personalizados - PERsonaliza brindes corporativos Ltda,Fornecedor de Brindes,"Rua cunha porã, R. Ernesta Guarani Graciani Zanrosso, 670d, Chapecó - SC, 89809-507",(49) 99925-7944,+55 49 99925-7944,chapecopersonaliza.com.br,http://chapecopersonaliza.com.br/,"-27.089575699999997,-52.673956",5,383,Brindes corporativos em Chapeco SC,True,True,True,29.7532,1.0,False,False,,False,False,79.0,large
ChIJpywtVhu15JQRlJ3xMe1bqi0,https://www.google.com/maps/place/?q=place_id:ChIJpywtVhu15JQRlJ3xMe1bqi0,"VICENNZA PERSONALIZADOS - BRINDES, UNIFORMES E GRÁFICA",Fornecedor de Brindes,"R. Itapetininga, 279 E - Sl 2 - Centro, Chapecó - SC, 89812-170",(49) 99952-0390,+55 49 99952-0390,vicennzapersonalizados.com.br,https://vicennzapersonalizados.com.br/,"-27.112097,-52.609270099999996",5,30,Brindes corporativos em Chapeco SC,True,True,True,17.1699,0.0783,False,False,"adicionar, garrafa, inox, ouvido, linha, squeeze, canetas, porta, bolsas, produtos",False,True,62.0,medium
ChIJDyp318a15JQRa-g2OifNwxI,https://www.google.com/maps/place/?q=place_id:ChIJDyp318a15JQRa-g2OifNwxI,TOCA Brindes Personalizados,Fornecedor de Brindes,"R. Gonçalves Dias, 400 - São Cristóvão, Chapecó - SC, 89803-050",(49) 99988-3066,+55 49 99988-3066,,,"-27.08672,-52.623585999999996",4,26,Brindes corporativos em Chapeco SC,True,False,False,13.1833,0.0679,False,False,,False,False,42.0,small
ChIJiR0MED635JQRhySnRI6vNRY,https://www.google.com/maps/place/?q=place_id:ChIJiR0MED635JQRhySnRI6vNRY,"Estamparia Chapecó, fornece brindes personalizados, camisetas, canecas, copos, taças, copos térmicos, garrafas de água.",Fornecedor de Brindes,"R. Alcides Badalotti, 97 - Passo Dos Fortes, Chapecó - SC, 89805-792",,,lojaintegrada.com.br,https://estamparia-chapeco.lojaintegrada.com.br/,"-27.078968999999997,-52.601624",4.5,30,Brindes corporativos em Chapeco SC,False,True,True,15.4529,0.0783,False,False,,False,False,47.0,small
ChIJqZ2QQ_TFdaERdr2h6QeDsqA,https://www.google.com/maps/place/?q=place_id:ChIJqZ2QQ_TFdaERdr2h6QeDsqA,Mimos e Arte Personalizados,Fornecedor de Brindes,"Rua: Nilo Peçanha, 2181 - D - Cristo Rei, Chapecó - SC, 89810-136",(49) 98404-0550,+55 49 98404-0550,,,"-27.074351999999998,-52.641472",5,30,Brindes corporativos em Chapeco SC,True,False,False,17.1699,0.0783,False,False,,False,False,47.0,small
ChIJtRIRsH-35JQR0Agetu1IS48,https://www.google.com/maps/place/?q=place_id:ChIJtRIRsH-35JQR0Agetu1IS48,Meu Ben Personalizados,Fornecedor de Brindes,"Henry Giessenbier - Maria Goretti, Chapecó - SC, 89801-000",(47) 99601-4003,+55 47 99601-4003,,,"-27.1017384,-52.6033599",5,6,Brindes corporativos em Chapeco SC,True,False,False,9.7296,0.0157,False,False,,False,False,43.0,small
ChIJVWREehO35JQRhHoafZg7TLI,https://www.google.com/maps/place/?q=place_id:ChIJVWREehO35JQRhHoafZg7TLI,"Personalizzato Cestas, Flores & Café",Loja de presentes,"R. Mal. Floriano Peixoto, L, 472 - Centro, Chapecó - SC, 89801-021",(49) 99173-1616,+55 49 99173-1616,instagram.com,https://www.instagram.com/personalizzato_loja/?hl=pt-br,"-27.1040815,-52.609619099999996",4.7,36,Brindes corporativos em Chapeco SC,True,True,True,16.9713,0.094,False,False,instagram,True,True,67.0,medium
ChIJ9Wqhrhex5JQRZ2urFjn1NW0,https://www.google.com/maps/place/?q=place_id:ChIJ9Wqhrhex5JQRZ2urFjn1NW0,Dulitec Copos Personalizados,Fornecedor de Brindes,"R. Urubici, 145 - Seminário, Chapecó - SC, 89813-070",(49) 99953-7505,+55 49 99953-7505,,,"-27.1338425,-52.604278199999996",4.8,10,Brindes corporativos em Chapeco SC,True,False,False,11.5099,0.0261,False,False,,False,False,47.0,small
ChIJ31JFkV-15JQRGDkU-9hJuzA,https://www.google.com/maps/place/?q=place_id:ChIJ31JFkV-15JQRGDkU-9hJuzA,AmoreMio Personalizados,Loja de presentes,"Av. Nereu Ramos, 1556 - Universitário, Chapecó - SC, 89812-111",(49) 98823-4953,+55 49 98823-4953,,,"-27.1181053,-52.608855299999995",4.9,28,Brindes corporativos em Chapeco SC,True,False,False,16.4997,0.0731,False,False,,False,False,47.0,small
ChIJ1-YG7uy25JQRDG7hXKK1u-4,https://www.google.com/maps/place/?q=place_id:ChIJ1-YG7uy25JQRDG7hXKK1u-4,Zenarte,Empresa de design industrial,"R. Eugênio Paulo de Freitas, 640-E - Presidente Médici, Chapecó - SC, 89806-230",(49) 98801-7997,+55 49 98801-7997,zenarte.com.br,http://zenarte.com.br/,"-27.089905899999998,-52.5939072",4.9,19,Brindes corporativos em Chapeco SC,True,True,True,14.6791,0.0496,False,False,,False,False,62.0,medium
ChIJJ5gozdO15JQRXzFlvk9exHA,https://www.google.com/maps/place/?q=place_id:ChIJJ5gozdO15JQRXzFlvk9exHA,BTM Indústria de Copos,Fabricante,"Av. Porto Alegre, 1649 - Centro, Chapecó - SC, 89803-057",(49) 3304-5332,+55 49 3304-5332,worldplastic.ind.br,http://www.worldplastic.ind.br/,"-27.091106999999997,-52.621967",4.6,62,Brindes corporativos em Chapeco SC,True,True,True,19.0584,0.1619,False,False,,False,False,67.0,medium
ChIJTXtSR6225JQR7MKWw9CzLPg,https://www.google.com/maps/place/?q=place_id:ChIJTXtSR6225JQR7MKWw9CzLPg,Rota Brindes,Fornecedor de Brindes,"Av. Nereu Ramos, 1775 - Líder, Chapecó - SC, 89812-111",(49) 3328-7169,+55 49 3328-7169,rotabrindes.com,http://rotabrindes.com/index.php,"-27.0817177,-52.6184282",3.4,1,Brindes corporativos em Chapeco SC,True,True,True,2.3567,0.0026,False,False,"adicionar, garrafa, inox, ouvido, linha, squeeze, canetas, porta, bolsas, esporte",False,True,43.0,small
ChIJ4ea7dSu15JQRfe84veXObQs,https://www.google.com/maps/place/?q=place_id:ChIJ4ea7dSu15JQRfe84veXObQs,CUSTOMIIZÁ Produtos Personalizados,Loja de presentes,"Av. São Pedro - São Cristóvão, Chapecó - SC, 89803-404",(49) 99127-2465,+55 49 99127-2465,instagram.com,https://instagram.com/customiiza?igshid=ZDdkNTZiNTM=,"-27.0955653,-52.6319814",3,3,Brindes corporativos em Chapeco SC,True,True,True,4.1589,0.0078,False,False,instagram,True,True,48.0,small
ChIJqzwl2ACx5JQRNMb1h6sv-Q4,https://www.google.com/maps/place/?q=place_id:ChIJqzwl2ACx5JQRNMb1h6sv-Q4,Ju&Ju Personalizados,Loja,"R. Tietê, 1034 - Universitário, Chapecó - SC, 89814-430",(49) 99966-5194,+55 49 99966-5194,,,"-27.1256925,-52.5981197",4.7,48,Brindes corporativos em Chapeco SC,True,False,False,18.2916,0.1253,False,False,,False,False,47.0,small
ChIJGbIlVrK35JQR9IWLo2wCQX0,https://www.google.com/maps/place/?q=place_id:ChIJGbIlVrK35JQR9IWLo2wCQX0,Buena Arte Chapeco - Cuias e Facas Personalizados a laser,Loja de facas,"Rua Condá 1199 E Esquina Rio de Janeiro - Presidente Médici, Chapecó - SC, 89801-040",(49) 98406-8180,+55 49 98406-8180,taggycontact.bio,https://taggycontact.bio/69852947,"-27.0927762,-52.6110434",5,96,Brindes corporativos em Chapeco SC,True,True,True,22.8736,0.2507,True,False,"taggy, contact, virtuais",False,True,72.0,medium
ChIJNWXLF8a35JQRwWnItJUomec,https://www.google.com/maps/place/?q=place_id:ChIJNWXLF8a35JQRwWnItJUomec,Start Laser,Fornecedor de Brindes,"R. Graciliano Ramos, D, n. 20 - Jardim América, Chapecó - SC, 89803-470",(49) 99816-8959,+55 49 99816-8959,startlasercco.com.br,https://www.startlasercco.com.br/,"-27.0971856,-52.6374706",4.9,61,Brindes corporativos em Chapeco SC,True,True,True,20.223,0.1593,False,False,,False,False,67.0,medium
ChIJn_MnRJW25JQR-CSCA8H38AE,https://www.google.com/maps/place/?q=place_id:ChIJn_MnRJW25JQR-CSCA8H38AE,Indústria Gráfica Inovar,Serviços gráficos,"R. Mal. Deodoro, 1934 - D - Maria Goretti, Chapecó - SC, 89812-605",(49) 3329-4870,+55 49 3329-4870,graficainovar.com.br,http://www.graficainovar.com.br/,"-27.096392299999998,-52.596662099999996",4,26,Brindes corporativos em Chapeco SC,True,True,True,13.1833,0.0679,False,False,"produtos, home, personalizados, personalizado, graficainovar, empresa, contato, brindes, modelo, trabalhe",False,True,57.0,medium
