id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJYcIZ0Ka35JQRhmOgc77IP4M,https://www.google.com/maps/place/?q=place_id:ChIJYcIZ0Ka35JQRhmOgc77IP4M,MPR Brindes,Fornecedor de Brindes,"R. das Palmas, 474 - Paraíso, Chapecó - SC, 89806-848",(49) 99807-1298,+55 49 99807-1298,mprbrindes.com.br,https://www.mprbrindes.com.br/,"-27.089335199999997,-52.5860324",4.9,169,Brindes corporativos em Chapeco SC
ChIJx0Gymp-35JQRSIB6L0-wePI,https://www.google.com/maps/place/?q=place_id:ChIJx0Gymp-35JQRSIB6L0-wePI,Q Canecas Brindes e Presentes,Fornecedor de Brindes,"R. Ivo Fiorentin, 166 - Vila Real, Chapecó - SC, 89805-851",,,lojaintegrada.com.br,https://q-canecas-e-personalizados.lojaintegrada.com.br/,"-27.0685103,-52.6092227",5,82,Brindes corporativos em Chapeco SC
ChIJvUVk8fi15JQRPU_e5y74y8M,https://www.google.com/maps/place/?q=place_id:ChIJvUVk8fi15JQRPU_e5y74y8M,Brindes personalizados - PERsonaliza brindes corporativos Ltda,Fornecedor de Brindes,"Rua cunha porã, R. Ernesta Guarani Graciani Zanrosso, 670d, Chapecó - SC, 89809-507",(49) 99925-7944,+55 49 99925-7944,chapecopersonaliza.com.br,http://chapecopersonaliza.com.br/,"-27.089575699999997,-52.673956",5,383,Brindes corporativos em Chapeco SC
ChIJpywtVhu15JQRlJ3xMe1bqi0,https://www.google.com/maps/place/?q=place_id:ChIJpywtVhu15JQRlJ3xMe1bqi0,"VICENNZA PERSONALIZADOS - BRINDES, UNIFORMES E GRÁFICA",Fornecedor de Brindes,"R. Itapetininga, 279 E - Sl 2 - Centro, Chapecó - SC, 89812-170",(49) 99952-0390,+55 49 99952-0390,vicennzapersonalizados.com.br,https://vicennzapersonalizados.com.br/,"-27.112097,-52.609270099999996",5,30,Brindes corporativos em Chapeco SC
ChIJDyp318a15JQRa-g2OifNwxI,https://www.google.com/maps/place/?q=place_id:ChIJDyp318a15JQRa-g2OifNwxI,TOCA Brindes Personalizados,Fornecedor de Brindes,"R. Gonçalves Dias, 400 - São Cristóvão, Chapecó - SC, 89803-050",(49) 99988-3066,+55 49 99988-3066,,,"-27.08672,-52.623585999999996",4,26,Brindes corporativos em Chapeco SC
ChIJiR0MED635JQRhySnRI6vNRY,https://www.google.com/maps/place/?q=place_id:ChIJiR0MED635JQRhySnRI6vNRY,"Estamparia Chapecó, fornece brindes personalizados, camisetas, canecas, copos, taças, copos térmicos, garrafas de água.",Fornecedor de Brindes,"R. Alcides Badalotti, 97 - Passo Dos Fortes, Chapecó - SC, 89805-792",,,lojaintegrada.com.br,https://estamparia-chapeco.lojaintegrada.com.br/,"-27.078968999999997,-52.601624",4.5,30,Brindes corporativos em Chapeco SC
ChIJqZ2QQ_TFdaERdr2h6QeDsqA,https://www.google.com/maps/place/?q=place_id:ChIJqZ2QQ_TFdaERdr2h6QeDsqA,Mimos e Arte Personalizados,Fornecedor de Brindes,"Rua: Nilo Peçanha, 2181 - D - Cristo Rei, Chapecó - SC, 89810-136",(49) 98404-0550,+55 49 98404-0550,,,"-27.074351999999998,-52.641472",5,30,Brindes corporativos em Chapeco SC
ChIJtRIRsH-35JQR0Agetu1IS48,https://www.google.com/maps/place/?q=place_id:ChIJtRIRsH-35JQR0Agetu1IS48,Meu Ben Personalizados,Fornecedor de Brindes,"Henry Giessenbier - Maria Goretti, Chapecó - SC, 89801-000",(47) 99601-4003,+55 47 99601-4003,,,"-27.1017384,-52.6033599",5,6,Brindes corporativos em Chapeco SC
ChIJVWREehO35JQRhHoafZg7TLI,https://www.google.com/maps/place/?q=place_id:ChIJVWREehO35JQRhHoafZg7TLI,"Personalizzato Cestas, Flores & Café",Loja de presentes,"R. Mal. Floriano Peixoto, L, 472 - Centro, Chapecó - SC, 89801-021",(49) 99173-1616,+55 49 99173-1616,instagram.com,https://www.instagram.com/personalizzato_loja/?hl=pt-br,"-27.1040815,-52.609619099999996",4.7,36,Brindes corporativos em Chapeco SC
ChIJ9Wqhrhex5JQRZ2urFjn1NW0,https://www.google.com/maps/place/?q=place_id:ChIJ9Wqhrhex5JQRZ2urFjn1NW0,Dulitec Copos Personalizados,Fornecedor de Brindes,"R. Urubici, 145 - Seminário, Chapecó - SC, 89813-070",(49) 99953-7505,+55 49 99953-7505,,,"-27.1338425,-52.604278199999996",4.8,10,Brindes corporativos em Chapeco SC
ChIJ31JFkV-15JQRGDkU-9hJuzA,https://www.google.com/maps/place/?q=place_id:ChIJ31JFkV-15JQRGDkU-9hJuzA,AmoreMio Personalizados,Loja de presentes,"Av. Nereu Ramos, 1556 - Universitário, Chapecó - SC, 89812-111",(49) 98823-4953,+55 49 98823-4953,,,"-27.1181053,-52.608855299999995",4.9,28,Brindes corporativos em Chapeco SC
