id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJdaCqV5225JQRR-Q8-oilorM,https://www.google.com/maps/place/?q=place_id:ChIJdaCqV5225JQRR-Q8-oilorM,Clínica Oral Unic Chapecó,Clínica odontológica,"R. Rio de Janeiro, 130-E - Centro, Chapecó - SC, 89802-230",(49) 98815-9895,+55 49 98815-9895,oralunic.com.br,https://www.oralunic.com.br/chapeco-sc,"-27.0942591,-52.618591699999996",4.9,34,Clinicas odontologicas em Chapeco SC,True,True,True,17.4212,0.1954,False,False,"saiba, mais, agende, consulta, gratuita, sorriso, oral, unic, dentista, tratamentos",True,True,67.0,medium
ChIJv6e5HcG15JQRQVAthc8gr-8,https://www.google.com/maps/place/?q=place_id:ChIJv6e5HcG15JQRQVAthc8gr-8,Clínica Diamond - Especialidades Odontológicas,Dentista,"R. Barão do Rio Branco, 265E - Centro, Chapecó - SC, 89802-101",(49) 99944-2561,+55 49 99944-2561,clinicadiamond.com,https://clinicadiamond.com/diamond/,"-27.103698299999998,-52.6174416",4.7,149,Clinicas odontologicas em Chapeco SC,True,True,True,23.55,0.8563,False,False,"reproduzir, implantes, sorriso, diamond, aqui, agendar, para, mais, cada, tratamento",False,True,73.0,medium
ChIJ6xjBezO35JQRsSK6uaFhgow,https://www.google.com/maps/place/?q=place_id:ChIJ6xjBezO35JQRsSK6uaFhgow,OdontoTop Chapecó Centro,Dentista,"R. Sete de Setembro, 183-D - Sl 02 - Pres. Médici, Chapecó - SC, 89806-150",(49) 3340-0232,+55 49 3340-0232,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/chapeco/,"-27.094772,-52.615190999999996",4.8,18,Clinicas odontologicas em Chapeco SC,True,True,True,14.1333,0.1034,False,False,,False,False,62.0,medium
ChIJ7Sp4GwW35JQRX6e65JmACWE,https://www.google.com/maps/place/?q=place_id:ChIJ7Sp4GwW35JQRX6e65JmACWE,Top Smile - Clínica Odontológica,Clínica odontológica,"Av. Nereu Ramos, 115e - Centro, Chapecó - SC, 89801-020",(49) 3304-4824,+55 49 3304-4824,,,"-27.103348,-52.6128046",4.9,11,Clinicas odontologicas em Chapeco SC,True,False,False,12.176,0.0632,False,False,,False,False,47.0,small
ChIJq6qqWpe25JQR6sWna-dwkoE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqWpe25JQR6sWna-dwkoE,"Refinate Odontologia -Especialistas em Implantes, Protocolo, Lentes e Facetas - Dentista em Chapecó",Clínica odontológica,"Av. Nereu Ramos, 898 E - Sl 1 - Centro, Chapecó - SC, 89801-021",(49) 3323-1431,+55 49 3323-1431,refinateodontologia.com,https://refinateodontologia.com/,"-27.096488899999997,-52.614376899999996",4.9,174,Clinicas odontologicas em Chapeco SC,True,True,True,25.3075,1.0,False,False,,False,False,73.0,medium
ChIJ3yBiFSC05JQR8Xa74n_ZHa4,https://www.google.com/maps/place/?q=place_id:ChIJ3yBiFSC05JQR8Xa74n_ZHa4,Odontocompany,Clínica odontológica,"R. Marechal José B. Bormann, 283 E - Centro, Chapecó - SC, 89802-271",(49) 3304-8851,+55 49 3304-8851,,,"-27.1025361,-52.6181274",4.5,28,Clinicas odontologicas em Chapeco SC,True,False,False,15.1528,0.1609,False,False,,False,False,47.0,small
ChIJe-BoIqm15JQRkUPZPZc6qjc,https://www.google.com/maps/place/?q=place_id:ChIJe-BoIqm15JQRkUPZPZc6qjc,Odonto Center - Chapecó,Clínica odontológica,"AVENIDA SÃO PEDRO - E908 - São Cristóvão, Chapecó - SC, 89803-400",(49) 99192-7373,+55 49 99192-7373,,,"-27.0943269,-52.6265426",5,20,Clinicas odontologicas em Chapeco SC,True,False,False,15.2226,0.1149,False,False,,False,False,47.0,small
ChIJk9ZpSQC15JQRzg_FDAnUcuQ,https://www.google.com/maps/place/?q=place_id:ChIJk9ZpSQC15JQRzg_FDAnUcuQ,Odonto Excellence Chapecó,Clínica odontológica,"Av Fernando Machado, 2671 Letra D, Sala 1 - São Cristóvão, Chapecó - SC, 89804-001",(49) 3199-3633,+55 49 3199-3633,chapeco.excellence.odo.br,http://chapeco.excellence.odo.br/,"-27.0821594,-52.623420599999996",4.5,9,Clinicas odontologicas em Chapeco SC,True,True,True,10.3616,0.0517,False,False,"odonto, excellence, tratamentos, para, feira, contato, marca, equipe, nossos, agendar",False,True,58.0,medium
ChIJD6YopOy15JQRdAUFJs_MeM4,https://www.google.com/maps/place/?q=place_id:ChIJD6YopOy15JQRdAUFJs_MeM4,OdontoTop Chapecó Efapi,Clínica odontológica,"Av. Sen. Attilio Fontana, 2500 - Efapi, Chapecó - SC, 89809-505",(49) 3198-3101,+55 49 3198-3101,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/chapeco/,"-27.0954521,-52.6726989",4.9,6,Clinicas odontologicas em Chapeco SC,True,True,True,9.535,0.0345,False,False,,False,False,58.0,medium
ChIJ77Yz7h-05JQREHwx0bfBfaI,https://www.google.com/maps/place/?q=place_id:ChIJ77Yz7h-05JQREHwx0bfBfaI,Coife Odonto - Chapecó,Clínica odontológica,"Ed. Castellone - Av. Porto Alegre, 550d - Sl 01 - Centro, Chapecó - SC, 89814-480",(49) 98804-9153,+55 49 98804-9153,coifeodonto.com.br,https://coifeodonto.com.br/,"-27.1006319,-52.618870199999996",4.9,6,Clinicas odontologicas em Chapeco SC,True,True,True,9.535,0.0345,False,False,"paulo, teresina, bahia, luis, coife, mais, santa, odonto, franqueado, saiba",False,True,58.0,medium
