id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJdaCqV5225JQRR-Q8-oilorM,https://www.google.com/maps/place/?q=place_id:ChIJdaCqV5225JQRR-Q8-oilorM,Clínica Oral Unic Chapecó,Clínica odontológica,"R. Rio de Janeiro, 130-E - Centro, Chapecó - SC, 89802-230",(49) 98815-9895,+55 49 98815-9895,oralunic.com.br,https://www.oralunic.com.br/chapeco-sc,"-27.0942591,-52.618591699999996",4.9,34,Clinicas odontologicas em Chapeco SC
ChIJv6e5HcG15JQRQVAthc8gr-8,https://www.google.com/maps/place/?q=place_id:ChIJv6e5HcG15JQRQVAthc8gr-8,Clínica Diamond - Especialidades Odontológicas,Dentista,"R. Barão do Rio Branco, 265E - Centro, Chapecó - SC, 89802-101",(49) 99944-2561,+55 49 99944-2561,clinicadiamond.com,https://clinicadiamond.com/diamond/,"-27.103698299999998,-52.6174416",4.7,149,Clinicas odontologicas em Chapeco SC
ChIJ6xjBezO35JQRsSK6uaFhgow,https://www.google.com/maps/place/?q=place_id:ChIJ6xjBezO35JQRsSK6uaFhgow,OdontoTop Chapecó Centro,Dentista,"R. Sete de Setembro, 183-D - Sl 02 - Pres. Médici, Chapecó - SC, 89806-150",(49) 3340-0232,+55 49 3340-0232,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/chapeco/,"-27.094772,-52.615190999999996",4.8,18,Clinicas odontologicas em Chapeco SC
ChIJ7Sp4GwW35JQRX6e65JmACWE,https://www.google.com/maps/place/?q=place_id:ChIJ7Sp4GwW35JQRX6e65JmACWE,Top Smile - Clínica Odontológica,Clínica odontológica,"Av. Nereu Ramos, 115e - Centro, Chapecó - SC, 89801-020",(49) 3304-4824,+55 49 3304-4824,,,"-27.103348,-52.6128046",4.9,11,Clinicas odontologicas em Chapeco SC
ChIJq6qqWpe25JQR6sWna-dwkoE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqWpe25JQR6sWna-dwkoE,"Refinate Odontologia -Especialistas em Implantes, Protocolo, Lentes e Facetas - Dentista em Chapecó",Clínica odontológica,"Av. Nereu Ramos, 898 E - Sl 1 - Centro, Chapecó - SC, 89801-021",(49) 3323-1431,+55 49 3323-1431,refinateodontologia.com,https://refinateodontologia.com/,"-27.096488899999997,-52.614376899999996",4.9,174,Clinicas odontologicas em Chapeco SC
ChIJ3yBiFSC05JQR8Xa74n_ZHa4,https://www.google.com/maps/place/?q=place_id:ChIJ3yBiFSC05JQR8Xa74n_ZHa4,Odontocompany,Clínica odontológica,"R. Marechal José B. Bormann, 283 E - Centro, Chapecó - SC, 89802-271",(49) 3304-8851,+55 49 3304-8851,,,"-27.1025361,-52.6181274",4.5,28,Clinicas odontologicas em Chapeco SC
ChIJe-BoIqm15JQRkUPZPZc6qjc,https://www.google.com/maps/place/?q=place_id:ChIJe-BoIqm15JQRkUPZPZc6qjc,Odonto Center - Chapecó,Clínica odontológica,"AVENIDA SÃO PEDRO - E908 - São Cristóvão, Chapecó - SC, 89803-400",(49) 99192-7373,+55 49 99192-7373,,,"-27.0943269,-52.6265426",5,20,Clinicas odontologicas em Chapeco SC
ChIJk9ZpSQC15JQRzg_FDAnUcuQ,https://www.google.com/maps/place/?q=place_id:ChIJk9ZpSQC15JQRzg_FDAnUcuQ,Odonto Excellence Chapecó,Clínica odontológica,"Av Fernando Machado, 2671 Letra D, Sala 1 - São Cristóvão, Chapecó - SC, 89804-001",(49) 3199-3633,+55 49 3199-3633,chapeco.excellence.odo.br,http://chapeco.excellence.odo.br/,"-27.0821594,-52.623420599999996",4.5,9,Clinicas odontologicas em Chapeco SC
ChIJD6YopOy15JQRdAUFJs_MeM4,https://www.google.com/maps/place/?q=place_id:ChIJD6YopOy15JQRdAUFJs_MeM4,OdontoTop Chapecó Efapi,Clínica odontológica,"Av. Sen. Attilio Fontana, 2500 - Efapi, Chapecó - SC, 89809-505",(49) 3198-3101,+55 49 3198-3101,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/chapeco/,"-27.0954521,-52.6726989",4.9,6,Clinicas odontologicas em Chapeco SC
ChIJ77Yz7h-05JQREHwx0bfBfaI,https://www.google.com/maps/place/?q=place_id:ChIJ77Yz7h-05JQREHwx0bfBfaI,Coife Odonto - Chapecó,Clínica odontológica,"Ed. Castellone - Av. Porto Alegre, 550d - Sl 01 - Centro, Chapecó - SC, 89814-480",(49) 98804-9153,+55 49 98804-9153,coifeodonto.com.br,https://coifeodonto.com.br/,"-27.1006319,-52.618870199999996",4.9,6,Clinicas odontologicas em Chapeco SC
