id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQ0LUvtW15JQRlXgaLLArFCc,https://www.google.com/maps/place/?q=place_id:ChIJQ0LUvtW15JQRlXgaLLArFCc,Quattronove Comunicação Visual,Serviço de impressão digital,"R. Venezuela, 275D - Líder, Chapecó - SC, 89805-221",(49) 3304-4222,+55 49 3304-4222,,,"-27.0754372,-52.619726299999996",4.8,7,Comunicacao visual em Chapeco SC
ChIJ2RnL1n625JQRKa_OJCLzf6s,https://www.google.com/maps/place/?q=place_id:ChIJ2RnL1n625JQRKa_OJCLzf6s,Plotech Comunicação Visual,Impressão digital,"R. Mato Grosso, 1322 e - Palmital, Chapecó - SC, 89814-067",(49) 3328-8788,+55 49 3328-8788,plotech.com.br,http://www.plotech.com.br/,"-27.117840599999997,-52.6173886",4.4,552,Comunicacao visual em Chapeco SC
ChIJI7cua3m25JQR7bBjCVfKDUk,https://www.google.com/maps/place/?q=place_id:ChIJI7cua3m25JQR7bBjCVfKDUk,Zoom Soluções Visuais,Impressão digital,"R. Lisboa, 281 D - Líder, Chapecó - SC, 89805-200",(49) 3328-3006,+55 49 3328-3006,zoomid.com.br,http://zoomid.com.br/,"-27.0774239,-52.6232852",4.3,4,Comunicacao visual em Chapeco SC
ChIJEZeEm7C35JQRqnxRVxJhJEs,https://www.google.com/maps/place/?q=place_id:ChIJEZeEm7C35JQRqnxRVxJhJEs,FX COMUNICAÇÃO VISUAL LTDA,Serviço de impressão digital,"R. Oswaldo Aranha, 1006 E - Presidente Médici, Chapecó - SC, 89801-315",(49) 98423-5510,+55 49 98423-5510,,,"-27.093548,-52.6061653",5,6,Comunicacao visual em Chapeco SC
ChIJ-bJ6yGC15JQRSIxa1Ilvxxc,https://www.google.com/maps/place/?q=place_id:ChIJ-bJ6yGC15JQRSIxa1Ilvxxc,RC Comunicação Visual - Chapeco,Loja de comunicação visual em vinil,"R. Padre Diogo Antônio Feijó, 200e - Engenho Braun, Chapecó - SC, 89809-330",(49) 99824-0175,+55 49 99824-0175,,,"-27.0927676,-52.6476341",5,3,Comunicacao visual em Chapeco SC
ChIJkzlM4_q15JQR8dSXbDAMvFI,https://www.google.com/maps/place/?q=place_id:ChIJkzlM4_q15JQR8dSXbDAMvFI,Pingoarte Comunicação Visual | Impressões Digitais,Impressão digital,"R. Ilhota, 420-E - Cristo Rei, Chapecó - SC, 89810-030",(49) 99942-1913,+55 49 99942-1913,pingoarte.com.br,https://pingoarte.com.br/,"-27.0679238,-52.6333145",4.2,14,Comunicacao visual em Chapeco SC
ChIJh3HJDANMSIARzp03L08cVZE,https://www.google.com/maps/place/?q=place_id:ChIJh3HJDANMSIARzp03L08cVZE,IMPRIMA ALT.TUDE COMUNICAÇÃO VISUAL,Loja de comunicação visual em vinil,"R. Luiz Schneider da Costa, 23 - Autodromo, Chapecó - SC, 89809-756",(49) 98809-8337,+55 49 98809-8337,imprimaalttude.com.br,https://www.imprimaalttude.com.br/,"-27.0790075,-52.705633899999995",5,78,Comunicacao visual em Chapeco SC
ChIJf8AB3g235JQR_IfSMqgktcg,https://www.google.com/maps/place/?q=place_id:ChIJf8AB3g235JQR_IfSMqgktcg,BRAVE ART IMPRESSAO DIGITAL em chapecó | Gráfica Rápida,Impressão digital,"R. Guaíra, 60E - Pinheirinho, Chapecó - SC, 89806-706",(49) 99904-4200,+55 49 99904-4200,,,"-27.0865269,-52.5968593",5,12,Comunicacao visual em Chapeco SC
ChIJST_NFJa15JQRIr9-wzjQJLM,https://www.google.com/maps/place/?q=place_id:ChIJST_NFJa15JQRIr9-wzjQJLM,Space Arte comunicação visual,Designer Gráfico,"R. Walmor José Bortoluzzi, N° 199 - Lajeado, Chapecó - SC, 89809-300",(49) 98870-5455,+55 49 98870-5455,instagram.com,https://www.instagram.com/spaceartecco,"-27.0732915,-52.653132",5,9,Comunicacao visual em Chapeco SC
ChIJOeY5sa-15JQR2-G1yTCHqRs,https://www.google.com/maps/place/?q=place_id:ChIJOeY5sa-15JQR2-G1yTCHqRs,Shop Sign Mídias para Comunicação Visual - Filial Chapecó - SC,Designer Gráfico,"R. Colômbia, 81 - Líder, Chapecó - SC, 89805-216",(49) 3304-9966,+55 49 3304-9966,shoppsign.com.br,http://shoppsign.com.br/,"-27.0764943,-52.621132599999996",5,5,Comunicacao visual em Chapeco SC
