id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJEWBnPiq05JQR_vo8_fvWT0E,https://www.google.com/maps/place/?q=place_id:ChIJEWBnPiq05JQR_vo8_fvWT0E,Finardi Veículos,Revendedora de carros usados,"Av. Getúlio Dorneles Vargas, 2529n - Passo dos Fortes, Chapecó - SC, 89805-001",(49) 3322-8777,+55 49 3322-8777,finardiveiculos.com.br,http://www.finardiveiculos.com.br/,"-27.083047699999998,-52.6205832",4.7,16,Concessionarias de veiculos em Chapeco SC,True,True,True,13.3161,0.0658,False,False,"mais, saiba, flex, branca, cinza, prata, navegador, finardi, home, sobre",False,True,62.0,medium
ChIJ7yPiO9S15JQRfAhMjxr8eyg,https://www.google.com/maps/place/?q=place_id:ChIJ7yPiO9S15JQRfAhMjxr8eyg,Chevrolet DM Auto Chapecó,Concessionária Chevrolet,"Av. Getúlio Dorneles Vargas, 2790 - Passo Dos Fortes, Chapecó - SC, 89805-001",(49) 3321-5555,+55 49 3321-5555,dmautochevrolet.com.br,https://www.dmautochevrolet.com.br/?cid=meu_negocio-ddp-198442,"-27.080277799999998,-52.620555599999996",4.5,243,Concessionarias de veiculos em Chapeco SC,True,True,True,24.7373,1.0,False,False,"para, auto, chevrolet, mais, santa, catarina, momento, carros, suvs, crossovers",False,True,79.0,large
ChIJt1VPJCi05JQRUs8Y5-JDCsw,https://www.google.com/maps/place/?q=place_id:ChIJt1VPJCi05JQRUs8Y5-JDCsw,Almeida Veículos 2,Revendedora de carros usados,"Av. São Pedro, 441 E - Centro, Chapecó - SC, 89802-243",(49) 3324-3409,+55 49 3324-3409,almeidaveiculos2.com.br,http://www.almeidaveiculos2.com.br/,"-27.0931277,-52.6222177",4.3,15,Concessionarias de veiculos em Chapeco SC,True,True,True,11.9221,0.0617,False,False,"detalhes, flex, baixa, garantia, aceita, troca, manual, chave, reserva, meses",False,True,57.0,medium
ChIJ6VK8c9K15JQR0eVMtsno8vg,https://www.google.com/maps/place/?q=place_id:ChIJ6VK8c9K15JQR0eVMtsno8vg,Shopping Car | Revenda de Carros - Chapecó SC,Revendedora de carros usados,"Ao lado do shopping pátio - R. Inês Battiston, 4110 - Líder, Chapecó - SC, 89805-292",(49) 99838-3877,+55 49 99838-3877,,,"-27.069668999999998,-52.627577099999996",4.8,24,Concessionarias de veiculos em Chapeco SC,True,False,False,15.4506,0.0988,False,False,,False,False,47.0,small
ChIJISglGyDG5JQRYxFyneaRfGE,https://www.google.com/maps/place/?q=place_id:ChIJISglGyDG5JQRYxFyneaRfGE,Ibiza Select - Sua loja de veículos selecionados em Chapecó.,Revendedora de carros usados,"R. João Pedro Sotilli, 273 - Bom Retiro, Chapecó - SC, 89811-182",(49) 3323-0322,+55 49 3323-0322,ibizaselect.com.br,http://ibizaselect.com.br/,"-27.0643872,-52.6221147",4.8,11,Concessionarias de veiculos em Chapeco SC,True,True,True,11.9276,0.0453,False,False,"fale, nossos, vendedores, hyundai, volkswagen, ibiza, encontrou, novos, seminovos, turbo",False,True,62.0,medium
ChIJ5-uX8Su05JQRYBEpQXFvrjY,https://www.google.com/maps/place/?q=place_id:ChIJ5-uX8Su05JQRYBEpQXFvrjY,Virtual Auto Car,Revendedora de carros usados,"R. João Martins, 550 - São Cristóvão, Chapecó - SC, 89803-040",(49) 3329-4244,+55 49 3329-4244,virtualautocar.com.br,https://www.virtualautocar.com.br/,"-27.089802499999998,-52.6220913",4.7,107,Concessionarias de veiculos em Chapeco SC,True,True,True,22.006,0.4403,False,False,"whatsapp, volkswagen, cross, virtual, chevrolet, cabine, dupla, auto, estoque, financiamento",False,True,73.0,medium
ChIJy9vaoNS15JQR95qURO3pBcg,https://www.google.com/maps/place/?q=place_id:ChIJy9vaoNS15JQR95qURO3pBcg,Gambatto Veiculos,Concessionária Honda,"Av. Fernando Machado, 2405 - Universitário, Chapecó - SC, 89814-470",(49) 3361-4301,+55 49 3361-4301,,,"-27.0840231,-52.6228573",4.5,109,Concessionarias de veiculos em Chapeco SC,True,False,False,21.1522,0.4486,False,False,,False,False,58.0,medium
ChIJlZ0uVNe15JQRT9WlXVaow-g,https://www.google.com/maps/place/?q=place_id:ChIJlZ0uVNe15JQRT9WlXVaow-g,Ponto Car Automoveis Chapeco,Concessionária,"Av. Getúlio Dorneles Vargas, 3380 N - Líder, Chapecó - SC, 89805-184",(49) 3323-1466,+55 49 3323-1466,pontocarautomoveis.com.br,http://www.pontocarautomoveis.com.br/,"-27.0749216,-52.6222978",4.9,22,Concessionarias de veiculos em Chapeco SC,True,True,True,15.3639,0.0905,False,False,"flex, mais, chevrolet, volkswagen, polo, fiat, honda, hyundai, renault, siga",False,True,62.0,medium
ChIJOzrh-1-15JQR8kesvAgGdZE,https://www.google.com/maps/place/?q=place_id:ChIJOzrh-1-15JQR8kesvAgGdZE,Auto Top Multimarcas,Concessionária,"Av. São Pedro, 2676 E - Jardins, Chapecó - SC, 89809-442",(49) 98810-9627,+55 49 98810-9627,,,"-27.096605999999998,-52.642679799999996",4,24,Concessionarias de veiculos em Chapeco SC,True,False,False,12.8755,0.0988,False,False,,False,False,42.0,small
ChIJA9GBPY625JQRJPtbpPIhdfs,https://www.google.com/maps/place/?q=place_id:ChIJA9GBPY625JQRJPtbpPIhdfs,Qualicar Automóveis,Revendedora de carros usados,"Av. Gen. Osório, 1231 - D - São Cristóvão, Chapecó - SC, 89802-210",(49) 3323-3500,+55 49 3323-3500,qualicarchapeco.com.br,http://qualicarchapeco.com.br/,"-27.095088,-52.62227",4.4,15,Concessionarias de veiculos em Chapeco SC,True,True,True,12.1994,0.0617,False,False,"verificando, navegador, favor, aguarde, alguns, segundos",False,True,57.0,medium
ChIJ15BOGC-05JQRbFoVk4B5uYY,https://www.google.com/maps/place/?q=place_id:ChIJ15BOGC-05JQRbFoVk4B5uYY,Chapeco Automóveis,Concessionária,"Av. São Pedro, 631-E - São Cristóvão, Chapecó - SC, 89803-400",(49) 3322-3983,+55 49 3322-3983,chapecoautomoveis.com.br,http://www.chapecoautomoveis.com.br/,"-27.093514799999998,-52.624010899999995",3.8,4,Concessionarias de veiculos em Chapeco SC,True,True,True,6.1159,0.0165,False,False,"flex, detalhes, contato, motors, inicio, estoque, sportage, empresa, quero, vender",False,True,48.0,small
ChIJe1-DJte15JQRFcnNOxbM5q0,https://www.google.com/maps/place/?q=place_id:ChIJe1-DJte15JQRFcnNOxbM5q0,Lider Veículos Chapecó,Revendedora de carros usados,"R. Borges de Medeiros - Passo Dos Fortes, Chapecó - SC, 89805-570",(49) 99951-7587,+55 49 99951-7587,liderveiculoschapeco.com.br,http://liderveiculoschapeco.com.br/,"-27.086007499999997,-52.6113278",4.6,6,Concessionarias de veiculos em Chapeco SC,True,True,True,8.9512,0.0247,False,False,,False,False,58.0,medium
ChIJFaoTj4225JQRktduqXtGCu4,https://www.google.com/maps/place/?q=place_id:ChIJFaoTj4225JQRktduqXtGCu4,Mais Automóveis,Revendedora de carros usados,"Av. São Pedro, 539 E - São Cristóvão, Chapecó - SC, 89803-064",(49) 99987-0025,+55 49 99987-0025,maisautomoveis.com.br,https://www.maisautomoveis.com.br/,"-27.0933696,-52.623220599999996",4.4,62,Concessionarias de veiculos em Chapeco SC,True,True,True,18.2298,0.2551,False,False,"detalhes, volkswagen, mais, flex, contato, diesel, inicio, estoque, manual, empresa",False,True,62.0,medium
ChIJpYFCB_S35JQRZpgHy-VR5Hc,https://www.google.com/maps/place/?q=place_id:ChIJpYFCB_S35JQRZpgHy-VR5Hc,New Motors Multimarcas,Concessionária,"Av. Getúlio Dorneles Vargas - Líder, Chapecó - SC, 89805-184",(49) 3050-1133,+55 49 3050-1133,instagram.com,https://www.instagram.com/newmotorscco/?hl=pt,"-27.0823099,-52.6201996",4.7,41,Concessionarias de veiculos em Chapeco SC,True,True,True,17.567,0.1687,False,False,instagram,True,True,67.0,medium
ChIJHfUxwye05JQRajAsmzTKrWw,https://www.google.com/maps/place/?q=place_id:ChIJHfUxwye05JQRajAsmzTKrWw,BN Auto,Revendedora de carros usados,"R. Rio de Janeiro, 185 - E - Centro, Chapecó - SC, 89802-230",(49) 3322-4872,+55 49 3322-4872,bnauto.com.br,http://www.bnauto.com.br/,"-27.094731499999998,-52.618821399999995",4.5,1,Concessionarias de veiculos em Chapeco SC,True,True,True,3.1192,0.0041,False,False,"contato, estoque, sobre, auto, loading, completo, carro, fale, para, acessar",False,True,58.0,medium
ChIJ-1j-dJi15JQRKpcuAELPglk,https://www.google.com/maps/place/?q=place_id:ChIJ-1j-dJi15JQRKpcuAELPglk,Santapedra Chapecó seminovos,Concessionária Volkswagen,"R. Benjamin Constant, 620d - Jardim Itália, Chapecó - SC, 89806-102",(49) 3321-8866,+55 49 3321-8866,,,"-27.100671199999997,-52.6217608",4.6,4,Concessionarias de veiculos em Chapeco SC,True,False,False,7.4034,0.0165,False,False,,False,False,43.0,small
ChIJsUOee9C15JQRe1lr2n37pk4,https://www.google.com/maps/place/?q=place_id:ChIJsUOee9C15JQRe1lr2n37pk4,FIAT Gambatto - Concessionária,Concessionária de veículos motorizados,"Av. Fernando Machado, 3345 D - Bela Vista, Chapecó - SC, 89804-000",(49) 3513-0400,+55 49 3513-0400,fiat.gambatto.com.br,https://fiat.gambatto.com.br/,"-27.076545099999997,-52.625743299999996",4.2,75,Concessionarias de veiculos em Chapeco SC,True,True,True,18.1891,0.3086,False,False,"fiat, quero, agora, flex, gambatto, pulse, fastback, toro, pessoa, vendas",True,True,67.0,medium
ChIJuS52xqm25JQRjkammlz_vpE,https://www.google.com/maps/place/?q=place_id:ChIJuS52xqm25JQRjkammlz_vpE,Auto Totti,Concessionária de veículos motorizados,"R. Atlanta, 71 - Passo Dos Fortes, Chapecó - SC, 89805-040",(49) 98402-7768,+55 49 98402-7768,autototti.com.br,https://autototti.com.br/,"-27.0875368,-52.615492499999995",4.6,19,Concessionarias de veiculos em Chapeco SC,True,True,True,13.7804,0.0782,False,False,,False,True,62.0,medium
