id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJKf1KIJm25JQR0Y7TW-fW44I,https://www.google.com/maps/place/?q=place_id:ChIJKf1KIJm25JQR0Y7TW-fW44I,Construtora e Incorporadora Nostra Casa,Construtor Imobiliário,"R. Quintino Bocaiúva, 72 - D - Centro, Chapecó - SC, 89801-080",(49) 3321-1700,+55 49 3321-1700,nostracasa.com.br,https://nostracasa.com.br/empreendimentos/,"-27.097862499999998,-52.615462799999996",4.6,14,Construtoras em Chapeco SC,True,True,True,12.457,0.1842,False,False,"empreendimentos, nostra, casa, obra, para, obras, comprar, alugar, blog, andamento",True,True,67.0,medium
ChIJ4ciPBEzd56QRoYAzP0XKW-w,https://www.google.com/maps/place/?q=place_id:ChIJ4ciPBEzd56QRoYAzP0XKW-w,Construtora Chapecó,Construtora,"R. Duque de Caxias, 138 - Centro, Chapecó - SC, 89802-420",(49) 98805-7422,+55 49 98805-7422,construtorachapeco.com.br,https://construtorachapeco.com.br/,"-27.1057879,-52.6153778",5,42,Construtoras em Chapeco SC,True,True,True,18.806,0.5526,False,False,,False,False,62.0,medium
ChIJ2ynGONe15JQRLGCE85ZHO1U,https://www.google.com/maps/place/?q=place_id:ChIJ2ynGONe15JQRLGCE85ZHO1U,SGS Construtora,Construtora,"Av. Getúlio Dorneles Vargas, 3230N - Líder, Chapecó - SC, 89805-184",(49) 3323-0655,+55 49 3323-0655,sgsconstrutora.com.br,http://www.sgsconstrutora.com.br/,"-27.076147799999998,-52.6219596",4.8,16,Construtoras em Chapeco SC,True,True,True,13.5994,0.2105,False,False,"construtora, grandes, obras, nossa, assinatura",False,True,62.0,medium
ChIJXTtEbSq05JQR0fcs0joKLH4,https://www.google.com/maps/place/?q=place_id:ChIJXTtEbSq05JQR0fcs0joKLH4,GCA Empreendimentos,Construtora,"R. Esparta, 155 - Centro, Chapecó - SC, 89805-025",(49) 99822-4003,+55 49 99822-4003,gcaempreendimentos.com,http://gcaempreendimentos.com/,"-27.087605999999997,-52.6180835",4.3,12,Construtoras em Chapeco SC,True,True,True,11.0293,0.1579,False,False,"saiba, mais, privativas, entregues, esquina, fale, studios, uruguai, residence, para",False,True,57.0,medium
ChIJ_yVHt6S25JQR7s8Nw0dziVk,https://www.google.com/maps/place/?q=place_id:ChIJ_yVHt6S25JQR7s8Nw0dziVk,JBW Construções Ltda,Construtora,"R. Mal. Floriano Peixoto, 1791 - L - Bom Pastor, Chapecó - SC, 89806-018",(49) 3329-1342,+55 49 3329-1342,jbwconstrucoes.com.br,http://jbwconstrucoes.com.br/,"-27.100641099999997,-52.5967942",4.6,7,Construtoras em Chapeco SC,True,True,True,9.5654,0.0921,False,False,"ltda, desenvolvido, ideias",False,True,58.0,medium
ChIJ9y1kfbu25JQRzztNX_qZTY8,https://www.google.com/maps/place/?q=place_id:ChIJ9y1kfbu25JQRzztNX_qZTY8,Construtora Catarinense,Apartamentos,"R. Assis Brasil, 223 - D - Centro, Chapecó - SC, 89801-222",(49) 3323-2002,+55 49 3323-2002,construtoracatarinense.com.br,https://construtoracatarinense.com.br/,"-27.1046727,-52.604484299999996",4.5,14,Construtoras em Chapeco SC,True,True,True,12.1862,0.1842,False,False,"catarinense, construtora, mais, constru, contato, apartamento, chapec, continuar, ncia, informa",False,True,62.0,medium
ChIJoxxuSSK05JQRihjozctY244,https://www.google.com/maps/place/?q=place_id:ChIJoxxuSSK05JQRihjozctY244,BCI Construtora e Incorporadora,Construtora,"R. Marechal José B. Bormann, 939-E - Jardim Itália, Chapecó - SC, 89802-121",(49) 3328-8025,+55 49 3328-8025,bciconstrutora.com.br,http://www.bciconstrutora.com.br/,"-27.103979799999998,-52.6241845",4.7,5,Construtoras em Chapeco SC,True,True,True,8.4213,0.0658,False,False,"residencial, residence, santo, jardim, obras, breve, andamento, obra, construtora, passo",False,True,58.0,medium
ChIJH38UCQC05JQRlNkj__qOl-M,https://www.google.com/maps/place/?q=place_id:ChIJH38UCQC05JQRlNkj__qOl-M,Dimensão Construtora e Incoporadora,Construtor Imobiliário,"Av. Gen. Osório, 273 - Centro, Chapecó - SC, 89802-271",(49) 2049-6666,+55 49 2049-6666,dimensaoeng.com.br,http://www.dimensaoeng.com.br/,"-27.103517399999998,-52.6199534",4.6,18,Construtoras em Chapeco SC,True,True,True,13.5444,0.2368,False,False,"mais, saiba, para, residencial, gente, empreendimento, empreendimentos, cada, unidades, legatto",False,True,62.0,medium
ChIJS7Vx4va15JQRgN0avcD2h-w,https://www.google.com/maps/place/?q=place_id:ChIJS7Vx4va15JQRgN0avcD2h-w,KA Empreendimentos,Construtora,"R. Iguaçu, 587 E - Saic, Chapecó - SC, 89802-171",(49) 2049-3900,+55 49 2049-3900,ka.com.br,https://ka.com.br/,"-27.1124188,-52.625203",4,10,Construtoras em Chapeco SC,True,True,True,9.5916,0.1316,False,False,,False,False,57.0,medium
ChIJDYGcbSK05JQRIIYGjjhHjME,https://www.google.com/maps/place/?q=place_id:ChIJDYGcbSK05JQRIIYGjjhHjME,M5 Construção e Incorporação,Construtor Imobiliário,"R. Sete de Setembro, 1556 D - Presidente Médici, Chapecó - SC, 89801-142",(49) 3025-5555,+55 49 3025-5555,m5construtora.com.br,http://m5construtora.com.br/,"-27.0921213,-52.601835799999996",4.4,7,Construtoras em Chapeco SC,True,True,True,9.1495,0.0921,False,False,"copyright, todos, direitos, reservados, desenvolvido, ideias",True,True,58.0,medium
