id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJDQcz3ge15JQRn5Czlt0fUUM,https://www.google.com/maps/place/?q=place_id:ChIJDQcz3ge15JQRn5Czlt0fUUM,Company Eventos,Escritório da empresa,"R. Visc. de Mauá, 250 - Passo Dos Fortes, Chapecó - SC, 89805-055",(49) 99102-4370,+55 49 99102-4370,instagram.com,https://www.instagram.com/companyeventoscco/,"-27.0837073,-52.6205126",4.9,138,Organizacao de eventos corporativos em Chapeco SC,True,True,True,24.1789,0.92,False,False,instagram,True,True,78.0,large
ChIJJUuZHFOz5JQRiQB0pm8HEQc,https://www.google.com/maps/place/?q=place_id:ChIJJUuZHFOz5JQRiQB0pm8HEQc,AMO Eventos Corporativos,Empresa de organização de eventos,"R. Marechal José B. Bormann, 1055-E - Jardim Itália, Chapecó - SC, 89802-121",(49) 98409-4766,+55 49 98409-4766,instagram.com,https://www.instagram.com/amoeventoscorporativos/,"-27.1041982,-52.6253399",,146,Organizacao de eventos corporativos em Chapeco SC,True,True,True,0.0,0.9733,False,False,instagram,True,True,53.0,medium
ChIJ0-e1r3C35JQRb1Lrr2G67hg,https://www.google.com/maps/place/?q=place_id:ChIJ0-e1r3C35JQRb1Lrr2G67hg,Pontual Formaturas e Eventos Chapecó,Empresa de organização de eventos,"R. Condá - Universitário, Chapecó - SC, 89801-130",(49) 3316-2543,+55 49 3316-2543,pontualformaturas.com.br,http://www.pontualformaturas.com.br/,"-27.118017,-52.6038621",4.6,12,Organizacao de eventos corporativos em Chapeco SC,True,True,True,11.7988,0.08,False,False,,False,False,62.0,medium
ChIJHYK2Fd635JQRnCwG3r_xq2E,https://www.google.com/maps/place/?q=place_id:ChIJHYK2Fd635JQRnCwG3r_xq2E,Singular Assessoria e Eventos,Organização de eventos e cerimonial,"Centro Empresarial Patriarca - R. Condá, Sl 302 - Presidente Médici, Chapecó - SC, 89801-141",(49) 99824-8804,+55 49 99824-8804,,,"-27.093345499999998,-52.6106738",4.8,1,Organizacao de eventos corporativos em Chapeco SC,True,False,False,3.3271,0.0067,False,False,,False,False,43.0,small
ChIJ37QLZAO05JQRoDtsI-VFc4g,https://www.google.com/maps/place/?q=place_id:ChIJ37QLZAO05JQRoDtsI-VFc4g,FOSSÁ EVENTOS,Empresa de organização de eventos,"R. João Elói Mendes, 581 - Santo Antônio, Chapecó - SC, 89815-400",(49) 99990-7010,+55 49 99990-7010,,,"-27.117010099999998,-52.622435599999996",4.7,7,Organizacao de eventos corporativos em Chapeco SC,True,False,False,9.7734,0.0467,False,False,,False,False,43.0,small
ChIJybvt82W35JQRlpm5Ai8LgzA,https://www.google.com/maps/place/?q=place_id:ChIJybvt82W35JQRlpm5Ai8LgzA,Eventos e Formaturas em Chapecó - ADV eventos,Planejador de eventos,"R. Teotônio Viléla, 239 e - Passo Dos Fortes, Chapecó - SC, 89805-680",(49) 99174-6990,+55 49 99174-6990,adveventos.com.br,https://adveventos.com.br/,"-27.078964,-52.606921",4.5,1,Organizacao de eventos corporativos em Chapeco SC,True,True,True,3.1192,0.0067,False,False,,False,False,58.0,medium
ChIJIVn1md-35JQRZxCWnHBehag,https://www.google.com/maps/place/?q=place_id:ChIJIVn1md-35JQRZxCWnHBehag,Agora Sim - Assessoria de Eventos e Cerimonial,Empresa de organização de eventos,"Avenida Nereu Ramos, 75 E, Sala 803 B - CPC - Centro, Chapecó - SC, 89801-023",(49) 99913-2628,+55 49 99913-2628,eagorasim.com.br,https://www.eagorasim.com.br/,"-27.1050704,-52.6119519",5,10,Organizacao de eventos corporativos em Chapeco SC,True,True,True,11.9895,0.0667,False,False,"cada, agora, para, fale, evento, mais, eventos, conosco, inicial, page",True,True,67.0,medium
ChIJg_4d-F205JQRc9YIs74PUq8,https://www.google.com/maps/place/?q=place_id:ChIJg_4d-F205JQRc9YIs74PUq8,Sede do Álvaro,Local para eventos,"R. Nilso Braun, 851 - Chapecó, SC, 89803-604",(49) 99823-1784,+55 49 99823-1784,instagram.com,https://www.instagram.com/sededoalvaro/,"-27.115071699999998,-52.653842399999995",4.7,150,Organizacao de eventos corporativos em Chapeco SC,True,True,True,23.5812,1.0,False,False,instagram,True,True,78.0,large
ChIJNa-n8NDSJSER7Z2eshzZF5g,https://www.google.com/maps/place/?q=place_id:ChIJNa-n8NDSJSER7Z2eshzZF5g,Aparato Decorações,Planejador de eventos,"R. Ferdinando Ricieri Tusseti, 201 - São Cristóvão, Chapecó - SC, 89804-796",(49) 99989-7272,+55 49 99989-7272,aparatodecoracao.com.br,https://www.aparatodecoracao.com.br/,"-27.0938442,-52.6375069",5,23,Organizacao de eventos corporativos em Chapeco SC,True,True,True,15.8903,0.1533,False,False,"eventos, corporativos, aparato, made",False,True,62.0,medium
ChIJxxEwWee35JQRMZANPwGOVU0,https://www.google.com/maps/place/?q=place_id:ChIJxxEwWee35JQRMZANPwGOVU0,THF Marketing e Eventos,Empresa de organização de eventos,"R. Lauro Müller, 1260 - Santa Maria, Chapecó - SC, 89812-216",(49) 3312-0987,+55 49 3312-0987,,,"-27.1065595,-52.6008898",4.8,11,Organizacao de eventos corporativos em Chapeco SC,True,False,False,11.9276,0.0733,False,False,,False,False,47.0,small
ChIJoQ1-Mee15JQRlvifCw8-EeU,https://www.google.com/maps/place/?q=place_id:ChIJoQ1-Mee15JQRlvifCw8-EeU,Mix Brasil Eventos,Empresa de organização de eventos,"R. Cel. Freitas - Efapi, Chapecó - SC, 89809-510",(49) 99964-7636,+55 49 99964-7636,,,"-27.0961477,-52.679116799999996",,6,Organizacao de eventos corporativos em Chapeco SC,True,False,False,0.0,0.04,False,False,,False,False,18.0,micro
ChIJY4igmeceRSkRbr6sRuCEifU,https://www.google.com/maps/place/?q=place_id:ChIJY4igmeceRSkRbr6sRuCEifU,FEST SUL EVENTOS E PRODUÇÕES,Empresa de organização de eventos,"R. Cunha Porã, 140 - Efapi, Chapecó - SC, 89809-500",(49) 98890-5319,+55 49 98890-5319,instagram.com,https://www.instagram.com/festsuleventos,"-27.097013,-52.674085",5,7,Organizacao de eventos corporativos em Chapeco SC,True,True,True,10.3972,0.0467,False,False,instagram,True,True,63.0,medium
ChIJLa-OJtC15JQRo-3NW08F0P8,https://www.google.com/maps/place/?q=place_id:ChIJLa-OJtC15JQRo-3NW08F0P8,Dilkin Comunicação e Eventos,Empresa de organização de eventos,"R. Casemiro de Abreu, 19 e - Bela Vista, Chapecó - SC, 89804-190",(49) 99129-1092,+55 49 99129-1092,dilkineventos.com.br,http://dilkineventos.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7224132202598706889,"-27.0784102,-52.627688199999994",4.5,34,Organizacao de eventos corporativos em Chapeco SC,True,True,True,15.9991,0.2267,False,True,"eventos, para, dilkin, grupo, sociais, mais, solicitar, corporativos, protocolo, evento",False,True,67.0,medium
ChIJOWQzu0u15JQR5OnlYLJ-2gI,https://www.google.com/maps/place/?q=place_id:ChIJOWQzu0u15JQR5OnlYLJ-2gI,Nós Assessoria de Casamentos,Organização de eventos e cerimonial,"Rua Guaporé, 370E - Sl 3 - Centro, Chapecó - SC, 89802-300",(49) 99829-6860,+55 49 99829-6860,nosassessoria.com.br,https://nosassessoria.com.br/,"-27.0971507,-52.620198099999996",5,2,Organizacao de eventos corporativos em Chapeco SC,True,True,True,5.4931,0.0133,False,False,,False,False,58.0,medium
ChIJyeFU9ie05JQRRur7liMg7M4,https://www.google.com/maps/place/?q=place_id:ChIJyeFU9ie05JQRRur7liMg7M4,Centro Executivo E.T Renovável,Local para eventos,"89802002, Av. Getúlio Dorneles Vargas, 1183N - Centro, Chapecó - SC, 89802-002",(49) 99186-3332,+55 49 99186-3332,etrenovavel.com.br,https://etrenovavel.com.br/,"-27.094458,-52.6174032",4.9,38,Organizacao de eventos corporativos em Chapeco SC,True,True,True,17.9515,0.2533,False,False,"para, aqui, diretor, tecnologia, estar, evento, centro, eventos, salas, estrutura",False,True,62.0,medium
ChIJFbWXApe25JQRfGLFv5Ef-NA,https://www.google.com/maps/place/?q=place_id:ChIJFbWXApe25JQRfGLFv5Ef-NA,UQ Eventos Ltda video e fotografia chapeco,Empresa de organização de eventos,"R. Quatorze de Agosto, 2982E - Passo Dos Fortes, Chapecó - SC, 89805-700",(49) 99993-4668,+55 49 99993-4668,uqdesign.com.br,http://www.uqdesign.com.br/,"-27.0760862,-52.6096836",4.8,1,Organizacao de eventos corporativos em Chapeco SC,True,True,True,3.3271,0.0067,False,False,"para, publicado, evento, vivo, digital, fotografia, feira, resumo, nosso, show",False,True,58.0,medium
ChIJqdMe5xi05JQRDO2GvhbQVWY,https://www.google.com/maps/place/?q=place_id:ChIJqdMe5xi05JQRDO2GvhbQVWY,Fina Folia Festas e Eventos,Local para eventos,"R. Nicácio Portela Diniz, 401D - Jardim Itália, Chapecó - SC, 89802-400",(49) 99984-5991,+55 49 99984-5991,,,"-27.107950499999998,-52.623994499999995",4.6,79,Organizacao de eventos corporativos em Chapeco SC,True,False,False,20.1573,0.5267,False,False,,False,False,52.0,medium
ChIJH0P-3ge15JQRAj8OFBrv6sc,https://www.google.com/maps/place/?q=place_id:ChIJH0P-3ge15JQRAj8OFBrv6sc,ECO EVENTOS,Local para eventos,"R. Balduíno Nicknick - Engenho Braun, Chapecó - SC, 89804-609",(49) 99112-0034,+55 49 99112-0034,,,"-27.087509599999997,-52.662487",4.4,43,Organizacao de eventos corporativos em Chapeco SC,True,False,False,16.6504,0.2867,False,False,,False,False,42.0,small
ChIJ-2t9Y-SpJIURkBc1V5xvu9U,https://www.google.com/maps/place/?q=place_id:ChIJ-2t9Y-SpJIURkBc1V5xvu9U,Karini Decorações,Organização de eventos e cerimonial,"R. Alfredo Wagner - Alvorada, Chapecó - SC, 89804-430",(49) 99146-1257,+55 49 99146-1257,instagram.com,https://www.instagram.com/karinidecoracoes/,"-27.081485299999997,-52.6423722",5,16,Organizacao de eventos corporativos em Chapeco SC,True,True,True,14.1661,0.1067,False,False,instagram,True,True,67.0,medium
ChIJAdy274q15JQRuSd1srPSRHA,https://www.google.com/maps/place/?q=place_id:ChIJAdy274q15JQRuSd1srPSRHA,UnoHall Eventos,Local para eventos,"Servidão Anjo da Guarda, 85 - Efapi, Chapecó - SC, 89809-503",(49) 99812-5804,+55 49 99812-5804,unohalleventos.com.br,https://unohalleventos.com.br/,"-27.095368399999998,-52.667566",4.6,20,Organizacao de eventos corporativos em Chapeco SC,True,True,True,14.0048,0.1333,False,False,"eventos, unohall",False,True,62.0,medium
ChIJKRLy0hy15JQRCBO-JYhfSj8,https://www.google.com/maps/place/?q=place_id:ChIJKRLy0hy15JQRCBO-JYhfSj8,Executa Eventos,Empresa de organização de eventos,"R. Quintino Bocaiúva, 104 e - Centro, Chapecó - SC, 89803-065",(49) 99987-1405,+55 49 99987-1405,,,"-27.0978857,-52.6173183",,16,Organizacao de eventos corporativos em Chapeco SC,True,False,False,0.0,0.1067,False,False,,False,False,22.0,micro
