id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJA6p3F5-25JQRYZMvsRmyG-w,https://www.google.com/maps/place/?q=place_id:ChIJA6p3F5-25JQRYZMvsRmyG-w,PEGEPEL IMPRESSÕES - GRÁFICA RÁPIDA,Gráfica,"Av. Nereu Ramos, 429E - Centro, Chapecó - SC, 89801-020",(49) 98807-2012,+55 49 98807-2012,pegepel.com.br,http://www.pegepel.com.br/,"-27.1006178,-52.6134808",4.5,9,Grafica rapida em Chapeco SC,True,True,True,10.3616,0.0245,False,False,,False,False,58.0,medium
ChIJKZxipfS35JQRmTLKpt8VMjM,https://www.google.com/maps/place/?q=place_id:ChIJKZxipfS35JQRmTLKpt8VMjM,UP IMPRESSÕES - GRÁFICA RÁPIDA,Gráfica,"Av. Gen. Osório, 112 E - Centro, Chapecó - SC, 89802-213",(49) 99938-4292,+55 49 99938-4292,sites.google.com,https://sites.google.com/upimprime.com/upimpressoes/p%C3%A1gina-inicial,"-27.1071216,-52.6185948",4.7,367,Grafica rapida em Chapeco SC,True,True,True,27.768,1.0,False,False,"sign, english, united, google, drive, email, guest, mode, states, loading",True,True,84.0,large
ChIJp7pzQ4i35JQRZ8Mugvjp77c,https://www.google.com/maps/place/?q=place_id:ChIJp7pzQ4i35JQRZ8Mugvjp77c,Art Gráfica Rápida,Gráfica,"R. Barão do Rio Branco, 95 E - Centro, Chapecó - SC, 89802-001",(49) 99955-1244,+55 49 99955-1244,instagram.com,https://www.instagram.com/art_graficachapeco/,"-27.1032853,-52.615696799999995",5,16,Grafica rapida em Chapeco SC,True,True,True,14.1661,0.0436,False,False,instagram,True,True,67.0,medium
ChIJUYxrJia05JQRDS77tQQed_c,https://www.google.com/maps/place/?q=place_id:ChIJUYxrJia05JQRDS77tQQed_c,Expresso Indústria Gráfica,Gráfica,"R. Sete de Setembro, 306-E - Centro, Chapecó - SC, 89802-220",(49) 3025-9400,+55 49 3025-9400,expressoindustriagrafica.com.br,https://expressoindustriagrafica.com.br/,"-27.0958369,-52.6199319",4.3,11,Grafica rapida em Chapeco SC,True,True,True,10.6851,0.03,False,False,"qualidade, produtos, mais, atendimento, para, embalagens, brindes, home, quem, somos",False,True,57.0,medium
ChIJbTxGdLW35JQRj38tzlIigxU,https://www.google.com/maps/place/?q=place_id:ChIJbTxGdLW35JQRj38tzlIigxU,Copy & Print - A sua Central de Cópias,Copiadora,"Edifício Ernesto Diavan - Av. Getúlio Dorneles Vargas, 180S - sala 12 - Centro, Chapecó - SC, 89802-001",(49) 99959-7684,+55 49 99959-7684,instagram.com,https://www.instagram.com/copyeprintchapeco/,"-27.1062865,-52.6140486",4.7,25,Grafica rapida em Chapeco SC,True,True,True,15.3131,0.0681,False,False,instagram,True,True,67.0,medium
ChIJQ4J58py25JQR5teUTrJchSQ,https://www.google.com/maps/place/?q=place_id:ChIJQ4J58py25JQR5teUTrJchSQ,Gráfica Pantone,Gráfica,"R. Rui Barbosa, 1114-E - Pres. Médici, Chapecó - SC, 89801-148",(49) 3322-4589,+55 49 3322-4589,graficapantone.com,http://graficapantone.com/,"-27.094310699999998,-52.613433199999996",4.5,5,Grafica rapida em Chapeco SC,True,True,True,8.0629,0.0136,False,False,,False,False,58.0,medium
ChIJf8AB3g235JQR_IfSMqgktcg,https://www.google.com/maps/place/?q=place_id:ChIJf8AB3g235JQR_IfSMqgktcg,BRAVE ART IMPRESSAO DIGITAL em chapecó | Gráfica Rápida,Impressão digital,"R. Guaíra, 60E - Pinheirinho, Chapecó - SC, 89806-706",(49) 99904-4200,+55 49 99904-4200,,,"-27.0865269,-52.5968593",5,12,Grafica rapida em Chapeco SC,True,False,False,12.8247,0.0327,False,False,,False,False,47.0,small
ChIJpZGSm5i25JQROu0V9JWTC7s,https://www.google.com/maps/place/?q=place_id:ChIJpZGSm5i25JQROu0V9JWTC7s,Franpar Digital,Impressões fotográficas,"R. Uruguai, 60E - Centro, Chapecó - SC, 89801-570",(49) 3323-6774,+55 49 3323-6774,franpardigital.com.br,http://www.franpardigital.com.br/,"-27.1078939,-52.6128016",4.4,8,Grafica rapida em Chapeco SC,True,True,True,9.6678,0.0218,False,False,,False,False,53.0,medium
ChIJp8quBSq05JQRqIihD8JkY1I,https://www.google.com/maps/place/?q=place_id:ChIJp8quBSq05JQRqIihD8JkY1I,Gráfica e Serigrafia Rota,Gráfica,"R. Esparta, 73 - Centro, Chapecó - SC, 89805-025",(49) 3323-3963,+55 49 3323-3963,graficarota.com.br,http://www.graficarota.com.br/,"-27.088179099999998,-52.617996299999994",4.6,1,Grafica rapida em Chapeco SC,True,True,True,3.1885,0.0027,False,False,"rota, flyer, todos, vindo, nossa, adesivo, banner, cartaz, cartilha, folder",False,True,58.0,medium
ChIJ_1abLii05JQRuG15KljtAoI,https://www.google.com/maps/place/?q=place_id:ChIJ_1abLii05JQRuG15KljtAoI,Perfil Digital Fotografias,Serviço de fotografia,"R. Benjamin Constant, 84 E - Centro - Calçadão, Chapecó - SC, 89802-200",(49) 98809-7681,+55 49 98809-7681,perfildigital.com.br,http://www.perfildigital.com.br/,"-27.0991941,-52.616667899999996",4.8,62,Grafica rapida em Chapeco SC,True,True,True,19.887,0.1689,False,False,"perfil, digital",False,True,67.0,medium
