id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJnxmV2Z225JQRw2BqrVIphd8,https://www.google.com/maps/place/?q=place_id:ChIJnxmV2Z225JQRw2BqrVIphd8,Imobiliária Nostra Casa - Chapecó,Imobiliária,"R. Quintino Bocaiúva, 72 - D - Centro, Chapecó - SC, 89801-080",(49) 3321-1700,+55 49 3321-1700,nostracasa.com.br,https://www.nostracasa.com.br/,"-27.097862499999998,-52.615462799999996",4.5,21,Imobiliarias em Chapeco SC
ChIJH1KXyym05JQRsDZ0N_z_qMo,https://www.google.com/maps/place/?q=place_id:ChIJH1KXyym05JQRsDZ0N_z_qMo,Plaza Imóveis Imobiliária em Chapecó,Imobiliária,"Av. Getúlio Dorneles Vargas, 1549-N - Sl 02 - Centro, Chapecó - SC, 89805-000",(49) 3316-3020,+55 49 3316-3020,plazachapeco.com.br,http://plazachapeco.com.br/,"-27.0912452,-52.6183257",4.5,22,Imobiliarias em Chapeco SC
ChIJO9O4_Z625JQR2SnnFqJqheA,https://www.google.com/maps/place/?q=place_id:ChIJO9O4_Z625JQR2SnnFqJqheA,Imobiliária Casa Imóveis – Aluguel e Venda em Chapecó,Imobiliária,"R. Mal. Deodoro, 131 D - Centro, Chapecó - SC, 89801-060",(49) 3319-8100,+55 49 3319-8100,casaimoveis.net,http://www.casaimoveis.net/,"-27.0999527,-52.614206599999996",4.3,24,Imobiliarias em Chapeco SC
ChIJvedE2Ce05JQRFyW7cSQunlU,https://www.google.com/maps/place/?q=place_id:ChIJvedE2Ce05JQRFyW7cSQunlU,SM Imobiliária,Imobiliária,"Av. Fernando Machado, 1230 - D - Centro, Chapecó - SC, 89802-111",(49) 3321-6002,+55 49 3321-6002,smimob.com.br,https://smimob.com.br/,"-27.0943124,-52.6191065",4.4,49,Imobiliarias em Chapeco SC
ChIJlc6L6Ci05JQRZuPJe4lrwAU,https://www.google.com/maps/place/?q=place_id:ChIJlc6L6Ci05JQRZuPJe4lrwAU,Katedral Imóveis - Imobiliária em Chapecó,Imobiliária,"Av. Porto Alegre, 257 D - Centro, Chapecó - SC, 89802-130",(49) 3322-4677,+55 49 3322-4677,katedralimoveis.com.br,http://katedralimoveis.com.br/,"-27.1033995,-52.6185779",4.9,4,Imobiliarias em Chapeco SC
ChIJgUtEuYG15JQRTX2vp5Eli04,https://www.google.com/maps/place/?q=place_id:ChIJgUtEuYG15JQRTX2vp5Eli04,Imobiliária Chapecó,Imobiliária,"Av. Fernando Machado, 600-E - Centro, Chapecó - SC, 89814-210",(49) 3322-0882,+55 49 3322-0882,imobiliariachapeco.com.br,https://www.imobiliariachapeco.com.br/,"-27.110701499999998,-52.6149348",4.8,36,Imobiliarias em Chapeco SC
ChIJ9xknK5y25JQR9t8GFczNTHU,https://www.google.com/maps/place/?q=place_id:ChIJ9xknK5y25JQR9t8GFczNTHU,Sim Imóveis,Imobiliária,"R. Quintino Bocaiúva, 148 D - Centro, Chapecó - SC, 89801-080",(49) 3324-4500,+55 49 3324-4500,simimoveischapeco.com,http://www.simimoveischapeco.com/,"-27.097676999999997,-52.6147396",3.9,8,Imobiliarias em Chapeco SC
ChIJgfjnYye05JQR0kZ2BRvFlNs,https://www.google.com/maps/place/?q=place_id:ChIJgfjnYye05JQR0kZ2BRvFlNs,Fênix Imóveis,Imobiliária,"R. Florianópolis, 297- D - Centro, Chapecó - SC, 89812-120",(49) 3321-4600,+55 49 3321-4600,fenixmelhornegocio.com.br,https://fenixmelhornegocio.com.br/,"-27.111207999999998,-52.6156389",4,21,Imobiliarias em Chapeco SC
ChIJlemOxCa05JQRmlnQ_LFaYEI,https://www.google.com/maps/place/?q=place_id:ChIJlemOxCa05JQRmlnQ_LFaYEI,Padra Imóveis Ltda,Imobiliária,"Edifício Vértice Office - R. Borges de Medeiros, 897E - Sl 01 - Presidente Médici, Chapecó - SC, 89801-101",(49) 3361-1900,+55 49 3361-1900,padra.com.br,http://www.padra.com.br/,"-27.095259199999997,-52.6090088",4.1,16,Imobiliarias em Chapeco SC
ChIJYRprgJ-25JQRhpjhXAS5UyA,https://www.google.com/maps/place/?q=place_id:ChIJYRprgJ-25JQRhpjhXAS5UyA,Imobiliária Markize,Imobiliária,"Av. Getúlio Dorneles Vargas, 182N - Centro, Chapecó - SC, 89801-000",(49) 2049-7000,+55 49 2049-7000,markize.com.br,http://www.markize.com.br/,"-27.103101,-52.6145165",3.9,54,Imobiliarias em Chapeco SC
ChIJb517koi35JQRHhZtzpGD0bU,https://www.google.com/maps/place/?q=place_id:ChIJb517koi35JQRHhZtzpGD0bU,Exclusivittá imóveis & negócios,Imobiliária,"Av. Nereu Ramos, 808 - Centro, Chapecó - SC, 89801-021",(49) 98801-0909,+55 49 98801-0909,exclusivittaimoveisenegocios.com,http://exclusivittaimoveisenegocios.com/,"-27.0972378,-52.614047199999995",5,17,Imobiliarias em Chapeco SC
ChIJFfQcJkZzwqsR60DHOEXOIPY,https://www.google.com/maps/place/?q=place_id:ChIJFfQcJkZzwqsR60DHOEXOIPY,Smart Aluguel Chapecó,Imobiliária,"R. Colômbia - Líder, Chapecó - SC, 89805-215",(49) 3340-0234,+55 49 3340-0234,smartaluguelevenda.com.br,https://www.smartaluguelevenda.com.br/,"-27.0768134,-52.622681899999996",4.8,24,Imobiliarias em Chapeco SC
ChIJZYXKBAaE8qQR7Dk7txwU1Uc,https://www.google.com/maps/place/?q=place_id:ChIJZYXKBAaE8qQR7Dk7txwU1Uc,Mobg - Imobiliária digital em Chapecó,Imobiliária,"Av. Getúlio Dorneles Vargas, 1183N - Sl 903 - Centro, Chapecó - SC, 89802-002",0800 123 1750,+55 800 123 1750,mobg.com.br,https://mobg.com.br/,"-27.0942378,-52.6173868",4.1,14,Imobiliarias em Chapeco SC
ChIJC0l4MgW35JQRbAjFW24hri8,https://www.google.com/maps/place/?q=place_id:ChIJC0l4MgW35JQRbAjFW24hri8,Alugah Chapecó,Imobiliária de aluguel de residências,"Av. Fernando Machado, 141 E - Sl 303 - Centro, Chapecó - SC, 89802-112",(49) 98830-7102,+55 49 98830-7102,alugahchapeco.com.br,https://alugahchapeco.com.br/,"-27.1065291,-52.615798399999996",4.7,14,Imobiliarias em Chapeco SC
ChIJE427MUa15JQRrbq_gXRnCnU,https://www.google.com/maps/place/?q=place_id:ChIJE427MUa15JQRrbq_gXRnCnU,Flety Imobiliária,Imobiliária,"R. Benjamin Constant, 141E - Centro, Chapecó - SC, 89802-200",(49) 99820-4444,+55 49 99820-4444,flety.com.br,https://flety.com.br/,"-27.0996313,-52.617193",5,3,Imobiliarias em Chapeco SC
ChIJZ434dSC05JQROsazZUS9CCA,https://www.google.com/maps/place/?q=place_id:ChIJZ434dSC05JQROsazZUS9CCA,Lunardi Imóveis,Imobiliária,"R. Marechal José B. Bormann, 270- E - Centro, Chapecó - SC, 89801-050",(49) 3025-4295,+55 49 3025-4295,lunardiimoveis.com.br,http://www.lunardiimoveis.com.br/,"-27.102141699999997,-52.617939899999996",4.8,8,Imobiliarias em Chapeco SC
ChIJ0WXILrTD5JQRRWi10Nh4W2A,https://www.google.com/maps/place/?q=place_id:ChIJ0WXILrTD5JQRRWi10Nh4W2A,LORENZON IMÓVEIS CHAPECÓ,Imobiliária,"R. Mal. Deodoro, E, 299 - Centro, Chapecó - SC, 89802-140",(49) 3319-9491,+55 49 3319-9491,lorenzonimoveis.com.br,https://www.lorenzonimoveis.com.br/,"-27.1011113,-52.6183615",4.7,19,Imobiliarias em Chapeco SC
ChIJJwjLdwO15JQRfVLwkDf0zI4,https://www.google.com/maps/place/?q=place_id:ChIJJwjLdwO15JQRfVLwkDf0zI4,Sim! Imóveis,Imobiliária,"R. Garças D, 613 - Efapi, Chapecó - SC, 89809-621",(49) 3324-4501,+55 49 3324-4501,simimoveischapeco.com,https://simimoveischapeco.com/,"-27.0949667,-52.6680691",3.7,1,Imobiliarias em Chapeco SC
ChIJV9741Ju35JQRRlFdUB8qx0c,https://www.google.com/maps/place/?q=place_id:ChIJV9741Ju35JQRRlFdUB8qx0c,Kaban Imóveis,Imobiliária,"R. Benjamin Constant, n° 500 - n° 500 - D - Centro, Chapecó - SC, 89801-070",(49) 3340-1010,+55 49 3340-1010,kabanimoveis.com.br,http://www.kabanimoveis.com.br/,"-27.0981998,-52.610816799999995",4.9,9,Imobiliarias em Chapeco SC
ChIJBfaDwB615JQRY90EEhGe6EY,https://www.google.com/maps/place/?q=place_id:ChIJBfaDwB615JQRY90EEhGe6EY,Machado Imóveis Efapi - Imobiliária Chapecó,Imobiliária,"R. Maravilha, 89e - Sala 02 - Efapi, Chapecó - SC, 89809-540",(49) 3340-0716,+55 49 3340-0716,machadoimoveis.imb.br,https://machadoimoveis.imb.br/,"-27.0965389,-52.672410199999995",5,68,Imobiliarias em Chapeco SC
