id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJL4ltYnS15JQRdxnEq8b2FN0,https://www.google.com/maps/place/?q=place_id:ChIJL4ltYnS15JQRdxnEq8b2FN0,Agência Hoppa - Marketing Digital e Publicidade,Agência de Marketing,"Rua José Garibaldi da Rocha, Tinn, 216D - Centro, Chapecó - SC, 89814-040",(49) 99166-2528,+55 49 99166-2528,agenciahoppa.com,http://www.agenciahoppa.com/,"-27.1136248,-52.6162371",4.6,12,Agencias de marketing digital em Chapeco SC,True,True,True,11.7988,0.0952,False,False,"hoppa, marketing, quem, somos, contato, digital, trabalhos, nossos, marca, para",True,True,67.0,medium
ChIJudZPuia15JQR5Cg6NF1xmtY,https://www.google.com/maps/place/?q=place_id:ChIJudZPuia15JQR5Cg6NF1xmtY,Gm Digital | Assessoria de Marketing e Vendas,Agência de Marketing,"R. Sady de Marco, 64d - Jardim Itália, Chapecó - SC, 89802-280",(49) 99921-4188,+55 49 99921-4188,,,"-27.1014196,-52.6228213",5,9,Agencias de marketing digital em Chapeco SC,True,False,False,11.5129,0.0714,False,False,,False,False,43.0,small
ChIJT6p47TS35JQRF3hOW_FqDVo,https://www.google.com/maps/place/?q=place_id:ChIJT6p47TS35JQRF3hOW_FqDVo,Agência de Tráfego Pago Metadot - Marketing Digital,Agência de marketing digital,"R. Duque de Caxias, 138 - Centro, Chapecó - SC, 89802-420",(41) 99834-6805,+55 41 99834-6805,metadot.com.br,https://metadot.com.br/,"-27.1058356,-52.6153595",5,16,Agencias de marketing digital em Chapeco SC,True,True,True,14.1661,0.127,False,False,"receita, para, metadot, dados, case, performance, real, meta, google, tracking",False,True,62.0,medium
ChIJ07lmLrq15JQRcMzSDfnJfRw,https://www.google.com/maps/place/?q=place_id:ChIJ07lmLrq15JQRcMzSDfnJfRw,Vanessa Presotto Assessoria de Marketing,Agência de Marketing,"R. Itália, 1610 - Cs 2335 - Esplanada, Chapecó - SC, 89812-590",(49) 99903-3007,+55 49 99903-3007,vanessapresottomarketing.com,https://www.vanessapresottomarketing.com/,"-27.1154358,-52.5941252",4.9,3,Agencias de marketing digital em Chapeco SC,True,True,True,6.7928,0.0238,False,False,"marketing, para, marca, assessoria, vanessa, presotto, agende, conversa, resultado, gerar",True,True,63.0,medium
ChIJY2q9xIC35JQRya1i9ePK8rs,https://www.google.com/maps/place/?q=place_id:ChIJY2q9xIC35JQRya1i9ePK8rs,Oquíron Digital | Agência Marketing Chapecó,Agência de marketing digital,"Rua Guaporé, 433 - Letra D, Sala 01 - Presidente Médici, Chapecó - SC, 89801-101",(49) 99941-4937,+55 49 99941-4937,oquirondigital.com.br,https://www.oquirondigital.com.br/,"-27.095475099999998,-52.612393",5,9,Agencias de marketing digital em Chapeco SC,True,True,True,11.5129,0.0714,False,False,"clientes, todos, resultados, novos, dias, envie, mensagem, nossos, objetivo, digital",True,True,63.0,medium
ChIJZ2_vKX615JQRODdDTIT5Gt8,https://www.google.com/maps/place/?q=place_id:ChIJZ2_vKX615JQRODdDTIT5Gt8,Fênix Marketing 360º - Brasil,Agência de Marketing,"Ed. Carde Dien - R. Rui Barbosa, 1510 - Passo dos Fortes, Chapecó - SC, 89805-108",(49) 99133-5898,+55 49 99133-5898,agenciafenix360.com.br,http://www.agenciafenix360.com.br/,"-27.0907357,-52.614380999999995",4.9,8,Agencias de marketing digital em Chapeco SC,True,True,True,10.7664,0.0635,False,False,,False,False,58.0,medium
ChIJQwJcm5QpyaMR2qJhrNcMLMk,https://www.google.com/maps/place/?q=place_id:ChIJQwJcm5QpyaMR2qJhrNcMLMk,Bêlha Comunicação - Branding | Marcas,Agência de Marketing,"R. Maravilha, 89 - E - Efapi, Chapecó - SC, 89809-540",(49) 99820-3206,+55 49 99820-3206,belhacomunica.com,http://belhacomunica.com/,"-27.0965456,-52.672401199999996",5,7,Agencias de marketing digital em Chapeco SC,True,True,True,10.3972,0.0556,False,False,"para, marketing, cada, nosso, sobre, futuro, hoje, estamos, aqui, mundo",False,True,58.0,medium
ChIJSW6Pc5-25JQRueTV6wzM3hE,https://www.google.com/maps/place/?q=place_id:ChIJSW6Pc5-25JQRueTV6wzM3hE,oalexdigital - Agência de Marketing Digital,Agência de marketing digital,,(49) 99927-7777,+55 49 99927-7777,oalexdigital.com,http://oalexdigital.com/,"-26.8784675,-52.3085105",4.9,72,Agencias de marketing digital em Chapeco SC,True,True,True,21.0233,0.5714,False,False,"marketing, digital, oalexdigital",True,True,72.0,medium
ChIJyVZP2myx5JQRh2IPFIoa3wE,https://www.google.com/maps/place/?q=place_id:ChIJyVZP2myx5JQRh2IPFIoa3wE,V4 Company - Kloh & Co. - Assessoria de Marketing Digital,Agência de marketing digital,"Avenida Nereu Ramos 2209 Universitario - Centro, Chapecó - SC, 89812-111",(49) 99903-5566,+55 49 99903-5566,lp.v4kloh.com,https://lp.v4kloh.com/empresas,"-27.123632699999998,-52.606796499999994",5,126,Agencias de marketing digital em Chapeco SC,True,True,False,24.2209,1.0,False,False,"para, marketing, mais, empresa, qual, empresas, como, receita, tecnologia, especialistas",False,True,68.0,medium
ChIJ_9pB6qC25JQRqcUZYjb8QbQ,https://www.google.com/maps/place/?q=place_id:ChIJ_9pB6qC25JQRqcUZYjb8QbQ,Agência T12,Agência de publicidade,"R. Barão do Rio Branco, 171 - D 4º Andar - Centro, Chapecó - SC, 89801-030",(49) 3321-6200,+55 49 3321-6200,t12.com.br,http://t12.com.br/,"-27.102490799999998,-52.613101799999995",4.7,1,Agencias de marketing digital em Chapeco SC,True,True,True,3.2578,0.0079,False,False,"criatividade, todos, aurora, aqui, ideias, nascem, dias, anos, conecta, futuro",False,True,58.0,medium
