id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJiR0MED635JQRhySnRI6vNRY,https://www.google.com/maps/place/?q=place_id:ChIJiR0MED635JQRhySnRI6vNRY,"Estamparia Chapecó, fornece brindes personalizados, camisetas, canecas, copos, taças, copos térmicos, garrafas de água.",Fornecedor de Brindes,"R. Alcides Badalotti, 97 - Passo Dos Fortes, Chapecó - SC, 89805-792",,,lojaintegrada.com.br,https://estamparia-chapeco.lojaintegrada.com.br/,"-27.078968999999997,-52.601624",4.5,30,Serigrafia e estamparia em Chapeco SC
ChIJUcBY6Zy25JQRIJF2UK4fvtk,https://www.google.com/maps/place/?q=place_id:ChIJUcBY6Zy25JQRIJF2UK4fvtk,OL7 Impressão - Adesivos Chapecó- Estamparia Digital DTF,Gráfica,"Av. Gen. Osório, 116 E - Centro, Chapecó - SC, 89802-258",(49) 3328-3521,+55 49 3328-3521,,,"-27.1069244,-52.618959999999994",4.5,11,Serigrafia e estamparia em Chapeco SC
ChIJn1BH6yW05JQRMaIdwJsLfv0,https://www.google.com/maps/place/?q=place_id:ChIJn1BH6yW05JQRMaIdwJsLfv0,Arte e Cor Confecções,Loja de uniformes,"Rua Rua Bom Senso, 135 E Sala 01 - São Cristóvão, Chapecó - SC, 89803-222",(49) 98903-7223,+55 49 98903-7223,disksc.com.br,http://www.disksc.com.br/arteecor,"-27.0966302,-52.623945299999995",4.7,5,Serigrafia e estamparia em Chapeco SC
ChIJR7WL0-S05JQRUlfkqPNNaXc,https://www.google.com/maps/place/?q=place_id:ChIJR7WL0-S05JQRUlfkqPNNaXc,Pé de Estampa,Escritório da empresa,"R. Oswaldo Aranha, 525 D - Maria Goretti, Chapecó - SC, 89801-422",(49) 98882-7116,+55 49 98882-7116,,,"-27.0978899,-52.6052075",4,7,Serigrafia e estamparia em Chapeco SC
ChIJC8DbQdy15JQRKjkLlxqD_mQ,https://www.google.com/maps/place/?q=place_id:ChIJC8DbQdy15JQRKjkLlxqD_mQ,Bude Estampas,Loja de materiais para serigrafia,"R. Silvia Wolffenbuettel Weber, 54e - Efapi, Chapecó - SC, 89809-555",(49) 99802-5242,+55 49 99802-5242,,,"-27.105064199999997,-52.6773927",1,15,Serigrafia e estamparia em Chapeco SC
ChIJcWcfAwK15JQRGPai63qloSQ,https://www.google.com/maps/place/?q=place_id:ChIJcWcfAwK15JQRGPai63qloSQ,Don Vest Estamparia,Loja de uniformes,"R. José Costa Carvalho, 222 - São Cristóvão, Chapecó - SC, 89803-320",(49) 98913-1000,+55 49 98913-1000,donvest.com.br,https://donvest.com.br/,"-27.0947455,-52.6315179",5,46,Serigrafia e estamparia em Chapeco SC
ChIJ_8Jb2Ry05JQRb6_ruK2U-i8,https://www.google.com/maps/place/?q=place_id:ChIJ_8Jb2Ry05JQRb6_ruK2U-i8,bah serigrafia,Escritório da empresa,"R. Lindolfo Stangler, 41e - Palmital, Chapecó - SC, 89814-050",3304-1455,+55 33041455,,,"-27.1137525,-52.620179199999995",4.5,1,Serigrafia e estamparia em Chapeco SC
ChIJwQZsucy15JQR0CAFnov9RXc,https://www.google.com/maps/place/?q=place_id:ChIJwQZsucy15JQR0CAFnov9RXc,Carfashion sublimação,Loja de presentes,"R. Humberto de Campos, 202 - Jardim América, Chapecó - SC, 89803-480",(49) 98878-9396,+55 49 98878-9396,,,"-27.096011299999997,-52.636850599999995",5,5,Serigrafia e estamparia em Chapeco SC
ChIJ_7jEOSe05JQRbQQQI_Aq3PI,https://www.google.com/maps/place/?q=place_id:ChIJ_7jEOSe05JQRbQQQI_Aq3PI,EASY WORK - ACM - DIRETO DE FABRICA,Loja de comunicação visual em vinil,"Av. Fernando Machado, 871D - Centro, Chapecó - SC, 89802-111",(49) 3329-5050,+55 49 3329-5050,,,"-27.0976935,-52.618585599999996",4.1,12,Serigrafia e estamparia em Chapeco SC
ChIJS_T8cNW15JQRANO7amE_-fY,https://www.google.com/maps/place/?q=place_id:ChIJS_T8cNW15JQRANO7amE_-fY,Gráfica Trojarte / Estampa,Gráfica,"R. Heriberto Hulse, 268 - Passo dos Fortes, Chapecó - SC, 90000-000",(49) 3323-2728,+55 49 3323-2728,graficaestampa.com.br,http://www.graficaestampa.com.br/,"-27.081762899999998,-52.6177942",4.6,2,Serigrafia e estamparia em Chapeco SC
