id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJyxTUV31_45QRaZnso80fLsU,https://www.google.com/maps/place/?q=place_id:ChIJyxTUV31_45QRaZnso80fLsU,Única Propaganda,Agência de publicidade,"R. Dr. Maruri, 1555 - Sl 01 - Centro, Concórdia - SC, 89700-158",(49) 3444-1601,+55 49 3444-1601,unicapropaganda.com,http://www.unicapropaganda.com/,"-27.226818299999998,-52.0185367",4.6,9,Agencias de publicidade em Concordia SC,True,True,True,10.5919,0.1184,False,False,,False,True,58.0,medium
ChIJ3c0uG92B45QRhWLN8vyguQo,https://www.google.com/maps/place/?q=place_id:ChIJ3c0uG92B45QRhWLN8vyguQo,AGÊNCIA FLAMA,Agência de publicidade,"R. Romano Anselmo Fontana, 935 - Sl 03 - Jardim, Concórdia - SC, 89703-078",(49) 3425-9669,+55 49 3425-9669,agenciaflama.com.br,https://agenciaflama.com.br/,"-27.224889299999997,-52.029871",4.3,6,Agencias de publicidade em Concordia SC,True,True,True,8.3674,0.0789,False,False,"flama, home, jobs, fazemos, seja, flameiro, contato, blog, energia, gera",False,True,53.0,medium
ChIJ9b7TtGh_45QRcDRndzmXbiA,https://www.google.com/maps/place/?q=place_id:ChIJ9b7TtGh_45QRcDRndzmXbiA,Agência Mona,Agência de Marketing,"R. Júlio Moritz, 578 - SALA 01 - Sunti, Concórdia - SC, 89708-003",(49) 3442-2177,+55 49 3442-2177,agenciamona.com,https://agenciamona.com/,"-27.239514099999997,-52.0290518",4.8,16,Agencias de publicidade em Concordia SC,True,True,True,13.5994,0.2105,False,False,"mona, para, marca, mais, quem, site, campanha, design, somos, cliente",False,True,62.0,medium
ChIJ1e8pnZvLc4oRopA89d0i1x4,https://www.google.com/maps/place/?q=place_id:ChIJ1e8pnZvLc4oRopA89d0i1x4,Agência Jóya,Agência de Marketing,"Edifício Sette Office - R. do Comércio, 383 - Sl 05 - Centro, Concórdia - SC, 89700-089",(49) 98856-9345,+55 49 98856-9345,agenciajoya.com.br,https://agenciajoya.com.br/,"-27.2299397,-52.0276723",4.6,2,Agencias de publicidade em Concordia SC,True,True,True,5.0536,0.0263,False,True,"marketing, marca, trabalho, como, contato, para, home, quem, somos, fazemos",False,True,63.0,medium
ChIJm_GmzJ2B45QRqYpahlNr3gI,https://www.google.com/maps/place/?q=place_id:ChIJm_GmzJ2B45QRqYpahlNr3gI,DGT'all Agência Digital,Agência de Marketing,"Tv. Marcon, 74 - Centro, Concórdia - SC, 89700-033",(49) 3030-5575,+55 49 3030-5575,dgtallagencia.com.br,http://www.dgtallagencia.com.br/,"-27.234727799999998,-52.0288536",5,9,Agencias de publicidade em Concordia SC,True,True,True,11.5129,0.1184,False,False,"cookies, cookie, consent, website, used, these, user, necessary, months, gdpr",False,True,58.0,medium
ChIJkQ5VVdiB45QRaoTKffnyZ3Y,https://www.google.com/maps/place/?q=place_id:ChIJkQ5VVdiB45QRaoTKffnyZ3Y,Pulsar - Design e Propaganda,Agência de Marketing,"Ed Mirage - R. Mal. Deodoro, 772 - Centro, Concórdia - SC, 89700-905",(49) 99821-6018,+55 49 99821-6018,pulsarppg.com.br,https://www.pulsarppg.com.br/,"-27.2329167,-52.025242299999995",5,3,Agencias de publicidade em Concordia SC,True,True,True,6.9315,0.0395,False,False,"page, jobs, podcast, produtora, desenvolvimento, materiais, pulsar, design, propaganda, quem",True,True,63.0,medium
ChIJ7xWUWimB45QRzS3qslCMbes,https://www.google.com/maps/place/?q=place_id:ChIJ7xWUWimB45QRzS3qslCMbes,Next Marketing e Comunicação,Agência de Marketing,"R. Henrique Cerutti, 47 - Parque de Exposicao, Concórdia - SC, 89711-224",(49) 99916-8848,+55 49 99916-8848,next.ppg.br,http://next.ppg.br/,"-27.2328974,-52.0036278",4.9,3,Agencias de publicidade em Concordia SC,True,True,True,6.7928,0.0395,False,False,"mais, marketing, para, empresa, videomaker, branding, next, mathei, assessoria, inbound",False,True,58.0,medium
ChIJU6gby3p_45QRcqb1GfHFPvU,https://www.google.com/maps/place/?q=place_id:ChIJU6gby3p_45QRcqb1GfHFPvU,Agência Marketing Job Content,Agência de marketing digital,"Ed. Spazi Vitta - R. Osvaldo Valentim Zandavalli, 163 - Sl 201 - Centro, Concórdia - SC, 89700-136",(49) 99111-1704,+55 49 99111-1704,jobcontent.com.br,https://jobcontent.com.br/,"-27.2276167,-52.0232002",4.8,4,Agencias de publicidade em Concordia SC,True,True,True,7.7253,0.0526,False,False,"marketing, vendas, mais, para, leads, crescimento, comercial, funil, inbound, empresas",False,True,58.0,medium
ChIJ45ZVMWB_45QRlIi849mZOXM,https://www.google.com/maps/place/?q=place_id:ChIJ45ZVMWB_45QRlIi849mZOXM,Blue Comunicação Visual,Impressões,"Rua Adolfo Bortoli, Lot. Vila Lobos, 199 - Primavera, Concórdia - SC, 89701-138",(49) 99176-0573,+55 49 99176-0573,instagram.com,http://instagram.com/blueimpressoes,"-27.214353499999998,-52.019880199999996",4.7,76,Agencias de publicidade em Concordia SC,True,True,True,20.4159,1.0,False,False,instagram,True,True,72.0,medium
ChIJBXacCKGD45QRQRDNXDxYNcM,https://www.google.com/maps/place/?q=place_id:ChIJBXacCKGD45QRQRDNXDxYNcM,Impresscione Marketing,Agência de Marketing,"R. Pedro Balbinot, 349 - Tamanduá, Concórdia - SC, 89700-991",(49) 3442-8786,+55 49 3442-8786,impresscione.com.br,http://www.impresscione.com.br/,"-27.304121,-51.997077399999995",5,28,Agencias de publicidade em Concordia SC,True,True,True,16.8365,0.3684,False,False,,False,False,62.0,medium
