id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJGXgOtGt_45QRh7Y8KEHAAY4,https://www.google.com/maps/place/?q=place_id:ChIJGXgOtGt_45QRh7Y8KEHAAY4,BTM Brindes,Fornecedor de Brindes,"R. Vinte e Nove de Julho, 1429 - Itaíba, Concórdia - SC, 89700-000",(49) 3444-5235,+55 49 3444-5235,btmbrindes.com.br,http://www.btmbrindes.com.br/,"-27.240429499999998,-52.0390191",4.6,4,Brindes corporativos em Concordia SC
ChIJJUoAt75_45QRzDbXBTxJSgk,https://www.google.com/maps/place/?q=place_id:ChIJJUoAt75_45QRzDbXBTxJSgk,G2 Personalizados,Fornecedor de Brindes,"R. Mal. Deodoro, 1344 - Centro, Concórdia - SC, 89700-055",(49) 99812-2684,+55 49 99812-2684,g2personalizados.com.br,https://www.g2personalizados.com.br/,"-27.2329077,-52.0304504",5,10,Brindes corporativos em Concordia SC
ChIJ522eGVl_45QR75rjtS_HCVE,https://www.google.com/maps/place/?q=place_id:ChIJ522eGVl_45QR75rjtS_HCVE,MVA Brindes,Fornecedor de Brindes,"Rua Emília Simioni Poente - Sol, Concórdia - SC, 89705-470",(49) 99921-5188,+55 49 99921-5188,mvabrindes.com.br,http://www.mvabrindes.com.br/,"-27.2208039,-52.06164",,2,Brindes corporativos em Concordia SC
ChIJj7Gc_Q1_45QRkxRX6jdNLC4,https://www.google.com/maps/place/?q=place_id:ChIJj7Gc_Q1_45QRkxRX6jdNLC4,Eli Arte e Chimarrão Presentes e Brindes Personalizados,Fornecedor de Brindes,"R. Mal. Deodoro, 1400 - Centro, Concórdia - SC, 89700-055",(49) 99911-4008,+55 49 99911-4008,eliarteechimarrao.com.br,http://www.eliarteechimarrao.com.br/,"-27.232985499999998,-52.0309968",5,53,Brindes corporativos em Concordia SC
ChIJtxM6IzuB45QR1z4vKY_M1a8,https://www.google.com/maps/place/?q=place_id:ChIJtxM6IzuB45QR1z4vKY_M1a8,Xtreme Personalizações e embalagens,Fornecedor de Brindes,"R. Mal. Deodoro, 658 - Sl 05 - Centro, Concórdia - SC, 89700-003",(49) 99925-4565,+55 49 99925-4565,instagram.com,https://instagram.com/xtremepersonalizacoes?igshid=YmMyMTA2M2Y=,"-27.2326162,-52.024069399999995",4.6,67,Brindes corporativos em Concordia SC
ChIJjeNN0I-D5JQRUATxlRh2wm0,https://www.google.com/maps/place/?q=place_id:ChIJjeNN0I-D5JQRUATxlRh2wm0,Ke Coração Criativo | Presentes Personalizados,Loja de presentes,"Iria Alberti - Santo Antônio, Concórdia - SC, 89703-866",(49) 99143-9222,+55 49 99143-9222,instagram.com,https://www.instagram.com/ke_coracao_criativo/,"-27.1921449,-52.1159166",5,54,Brindes corporativos em Concordia SC
ChIJj3tLrnCC45QRjwZPt5xpT78,https://www.google.com/maps/place/?q=place_id:ChIJj3tLrnCC45QRjwZPt5xpT78,Boxbe,Empresa de embalagens,"Linha Alto Suruvi Interior, Concórdia - SC, 89700-000",(49) 3030-5588,+55 49 3030-5588,boxbe.com.br,https://www.boxbe.com.br/,"-27.2562055,-51.9618714",4.3,12,Brindes corporativos em Concordia SC
ChIJ6888FX1_45QRb9qtv1_8bC8,https://www.google.com/maps/place/?q=place_id:ChIJ6888FX1_45QRb9qtv1_8bC8,VBA Personalizados,Fornecedor de Brindes,"Próximo loja Senhor Smart - R. do Comércio, 257 - Centro, Concórdia - SC, 89700-085",(54) 98402-5965,+55 54 98402-5965,,,"-27.2304517,-52.026419",,1,Brindes corporativos em Concordia SC
ChIJ29XmRSuB45QRajMpmYcjwFk,https://www.google.com/maps/place/?q=place_id:ChIJ29XmRSuB45QRajMpmYcjwFk,ge personalizados-Canecas e Convites para Batismo em Concórdia.,Fornecedor de Brindes,"Rua Angelo Ari Biasus 666, Concórdia - SC, 89711-068",(49) 98842-8823,+55 49 98842-8823,contate.me,https://contate.me/produtospersonalizadosdage,"-27.2348474,-52.014238899999995",5,89,Brindes corporativos em Concordia SC
ChIJV2hhrH6B45QRyI7kWN21Eyk,https://www.google.com/maps/place/?q=place_id:ChIJV2hhrH6B45QRyI7kWN21Eyk,PG Personalizados,Fornecedor de Brindes,,(49) 98426-7617,+55 49 98426-7617,,,"-27.2225933,-52.0193337",5,145,Brindes corporativos em Concordia SC
ChIJsXZNJx0kg2MRQBR4CQYkgyI,https://www.google.com/maps/place/?q=place_id:ChIJsXZNJx0kg2MRQBR4CQYkgyI,BIATEC Cortes a Laser,Fornecedor de Brindes,"R. José Colla, 408 - Parque de Exposicao, Concórdia - SC, 89711-210",(49) 99177-0508,+55 49 99177-0508,biateclaser.com.br,http://www.biateclaser.com.br/,"-27.2345169,-52.002152599999995",5,14,Brindes corporativos em Concordia SC
