id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJKWIInWV_45QRjckMvhp3Ue8,https://www.google.com/maps/place/?q=place_id:ChIJKWIInWV_45QRjckMvhp3Ue8,Odonto Excellence Concórdia,Clínica odontológica,"R. Dr. Maruri, 978 - Centro, Concórdia - SC, 89700-000",(49) 3425-2564,+55 49 3425-2564,instagram.com,https://www.instagram.com/odontoexcellenceconcordia/,"-27.2305238,-52.0224586",4.9,27,Clinicas odontologicas em Concordia SC,True,True,True,16.3278,0.1274,False,False,instagram,True,True,67.0,medium
ChIJHxfC22N_45QRFSvJqtp1NaA,https://www.google.com/maps/place/?q=place_id:ChIJHxfC22N_45QRFSvJqtp1NaA,Implante Dentário | Lente de Contato Dental | Clic Odontologia | Centro | Concórdia - SC,Clínica odontológica,"R. Mal. Deodoro, 773 - Centro, Concórdia - SC, 89700-001",(49) 3090-6786,+55 49 3090-6786,clinicaclicodontologia.com.br,https://clinicaclicodontologia.com.br/clinica-odontologica/,"-27.2333784,-52.025116499999996",5,55,Clinicas odontologicas em Concordia SC,True,True,True,20.1268,0.2594,False,False,"sorriso, para, mais, whatsapp, tratamento, dentes, implantes, agora, liberdade, agende",False,True,67.0,medium
ChIJHzSnlAF_45QR9hCILo42thk,https://www.google.com/maps/place/?q=place_id:ChIJHzSnlAF_45QR9hCILo42thk,Clínica Oral Unic Concórdia,Clínica odontológica,"R. Anita Garibaldi, 215 - Centro, Concórdia - SC, 89700-000",(49) 3442-5555,+55 49 3442-5555,oralunic.com.br,https://www.oralunic.com.br/concordia-sc,"-27.2299109,-52.025441799999996",5,7,Clinicas odontologicas em Concordia SC,True,True,True,10.3972,0.033,False,False,"oral, unic, agende, consulta, gratuita, saiba, mais, sorriso, dentista, tratamentos",True,True,63.0,medium
ChIJfZ3Drp-B45QRf5KAmuMgmZg,https://www.google.com/maps/place/?q=place_id:ChIJfZ3Drp-B45QRf5KAmuMgmZg,OdontoTop Concórdia - Hospital do Dente,Dentista,"R. Dr. Maruri, 1441 - Centro, Concórdia - SC, 89700-168",(49) 2025-0050,+55 49 2025-0050,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/concordia/,"-27.2275074,-52.0190571",5,16,Clinicas odontologicas em Concordia SC,True,True,True,14.1661,0.0755,False,False,,False,False,62.0,medium
ChIJJxMsVhx_45QRFBf-oZJoAXo,https://www.google.com/maps/place/?q=place_id:ChIJJxMsVhx_45QRFBf-oZJoAXo,Refinate Odontologia Concórdia,Dentista,"R. Getúlio Vargas, 354 - Centro, Concórdia - SC, 89700-019",(49) 99938-2829,+55 49 99938-2829,refinateodontologiaconcordia.com,https://refinateodontologiaconcordia.com/refinate/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnMNY1nGyVcEwns3Uh1xRUCFbm9dgEZWibJA-DVr7xCUpKxHcDf0w0mF_D--g_aem_SrL6O-zEQzhccYRGixtJ7g,"-27.2323094,-52.0263899",4.7,15,Clinicas odontologicas em Concordia SC,True,True,True,13.0312,0.0708,False,False,"agendar, refinate, odontologia, implantes, sorriso, quem, mais, para, anos, realizando",False,True,62.0,medium
ChIJQYDoUgB_45QRxLANAdGnZMk,https://www.google.com/maps/place/?q=place_id:ChIJQYDoUgB_45QRxLANAdGnZMk,Clínica Odontológica Santa Maria,Dentista,"R. Getúlio Vargas, 484 - Centro, Concórdia - SC, 89700-017",(49) 98408-6380,+55 49 98408-6380,,,"-27.2333888,-52.026481399999994",5,5,Clinicas odontologicas em Concordia SC,True,False,False,8.9588,0.0236,False,False,,False,False,43.0,small
ChIJSbF-8WN_45QRkPS_hFlnT7c,https://www.google.com/maps/place/?q=place_id:ChIJSbF-8WN_45QRkPS_hFlnT7c,Clínica Odonto San Concórdia - Especialista em Implantes Dentários,Clínica odontológica,"R. Getúlio Vargas, 415 - Centro, Concórdia - SC, 89700-017",(49) 99180-3458,+55 49 99180-3458,odontosanconcordia.com.br,https://odontosanconcordia.com.br/,"-27.2328908,-52.026154399999996",4.3,7,Clinicas odontologicas em Concordia SC,True,True,True,8.9416,0.033,False,False,"agendar, para, sorriso, implantes, sorrir, como, todos, funcionalidade, dentes, contato",True,True,58.0,medium
ChIJF4SleZJ_45QR3vYl-D53PU0,https://www.google.com/maps/place/?q=place_id:ChIJF4SleZJ_45QR3vYl-D53PU0,Dra. Gabriela Ansolin | Dr. Rafael Vigolo - Sublime Odontologia,Clínica odontológica,"Em frente a UNIMED, Edifício Vitalitá - R. Sete de Setembro, 17 - Sl 204 segundo andar - Centro, Concórdia - SC, 89700-015",(49) 99926-3013,+55 49 99926-3013,,,"-27.2353909,-52.0235918",5,35,Clinicas odontologicas em Concordia SC,True,False,False,17.9176,0.1651,False,False,,False,False,47.0,small
ChIJy5zos2N_45QR9a11AhOofUQ,https://www.google.com/maps/place/?q=place_id:ChIJy5zos2N_45QR9a11AhOofUQ,Mailini Centro Odontológico,Dentista,"R. Mal. Deodoro, 352 - Centro, Concórdia - SC, 89700-172",(49) 3444-9515,+55 49 3444-9515,mailini.com.br,http://www.mailini.com.br/,"-27.231009399999998,-52.021574699999995",4.9,35,Clinicas odontologicas em Concordia SC,True,True,True,17.5592,0.1651,False,False,"sorriso, para, mais, centro, mailini, saiba, aqui, nossos, cada, novo",True,True,67.0,medium
ChIJYUNkzYp_45QRC_Aot05i7UY,https://www.google.com/maps/place/?q=place_id:ChIJYUNkzYp_45QRC_Aot05i7UY,OrthoDontic,Clínica odontológica,"R. do Comércio, 180 - 2º andar - Centro, Concórdia - SC, 89700-083",(49) 3191-0910,+55 49 3191-0910,orthodonticbrasil.com.br,https://www.orthodonticbrasil.com.br/clinicas/clinica-odontologica-orthodontic-concordia-289/,"-27.2305393,-52.025605899999995",4.9,13,Clinicas odontologicas em Concordia SC,True,True,True,12.9314,0.0613,False,False,"sexta, quinta, quarta, segunda, mais, para, saiba, aparelho, orthodontic, blog",False,True,62.0,medium
