id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJKWIInWV_45QRjckMvhp3Ue8,https://www.google.com/maps/place/?q=place_id:ChIJKWIInWV_45QRjckMvhp3Ue8,Odonto Excellence Concórdia,Clínica odontológica,"R. Dr. Maruri, 978 - Centro, Concórdia - SC, 89700-000",(49) 3425-2564,+55 49 3425-2564,instagram.com,https://www.instagram.com/odontoexcellenceconcordia/,"-27.2305238,-52.0224586",4.9,27,Clinicas odontologicas em Concordia SC
ChIJHxfC22N_45QRFSvJqtp1NaA,https://www.google.com/maps/place/?q=place_id:ChIJHxfC22N_45QRFSvJqtp1NaA,Implante Dentário | Lente de Contato Dental | Clic Odontologia | Centro | Concórdia - SC,Clínica odontológica,"R. Mal. Deodoro, 773 - Centro, Concórdia - SC, 89700-001",(49) 3090-6786,+55 49 3090-6786,clinicaclicodontologia.com.br,https://clinicaclicodontologia.com.br/clinica-odontologica/,"-27.2333784,-52.025116499999996",5,55,Clinicas odontologicas em Concordia SC
ChIJHzSnlAF_45QR9hCILo42thk,https://www.google.com/maps/place/?q=place_id:ChIJHzSnlAF_45QR9hCILo42thk,Clínica Oral Unic Concórdia,Clínica odontológica,"R. Anita Garibaldi, 215 - Centro, Concórdia - SC, 89700-000",(49) 3442-5555,+55 49 3442-5555,oralunic.com.br,https://www.oralunic.com.br/concordia-sc,"-27.2299109,-52.025441799999996",5,7,Clinicas odontologicas em Concordia SC
ChIJfZ3Drp-B45QRf5KAmuMgmZg,https://www.google.com/maps/place/?q=place_id:ChIJfZ3Drp-B45QRf5KAmuMgmZg,OdontoTop Concórdia - Hospital do Dente,Dentista,"R. Dr. Maruri, 1441 - Centro, Concórdia - SC, 89700-168",(49) 2025-0050,+55 49 2025-0050,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/concordia/,"-27.2275074,-52.0190571",5,16,Clinicas odontologicas em Concordia SC
ChIJJxMsVhx_45QRFBf-oZJoAXo,https://www.google.com/maps/place/?q=place_id:ChIJJxMsVhx_45QRFBf-oZJoAXo,Refinate Odontologia Concórdia,Dentista,"R. Getúlio Vargas, 354 - Centro, Concórdia - SC, 89700-019",(49) 99938-2829,+55 49 99938-2829,refinateodontologiaconcordia.com,https://refinateodontologiaconcordia.com/refinate/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnMNY1nGyVcEwns3Uh1xRUCFbm9dgEZWibJA-DVr7xCUpKxHcDf0w0mF_D--g_aem_SrL6O-zEQzhccYRGixtJ7g,"-27.2323094,-52.0263899",4.7,15,Clinicas odontologicas em Concordia SC
ChIJQYDoUgB_45QRxLANAdGnZMk,https://www.google.com/maps/place/?q=place_id:ChIJQYDoUgB_45QRxLANAdGnZMk,Clínica Odontológica Santa Maria,Dentista,"R. Getúlio Vargas, 484 - Centro, Concórdia - SC, 89700-017",(49) 98408-6380,+55 49 98408-6380,,,"-27.2333888,-52.026481399999994",5,5,Clinicas odontologicas em Concordia SC
ChIJSbF-8WN_45QRkPS_hFlnT7c,https://www.google.com/maps/place/?q=place_id:ChIJSbF-8WN_45QRkPS_hFlnT7c,Clínica Odonto San Concórdia - Especialista em Implantes Dentários,Clínica odontológica,"R. Getúlio Vargas, 415 - Centro, Concórdia - SC, 89700-017",(49) 99180-3458,+55 49 99180-3458,odontosanconcordia.com.br,https://odontosanconcordia.com.br/,"-27.2328908,-52.026154399999996",4.3,7,Clinicas odontologicas em Concordia SC
ChIJF4SleZJ_45QR3vYl-D53PU0,https://www.google.com/maps/place/?q=place_id:ChIJF4SleZJ_45QR3vYl-D53PU0,Dra. Gabriela Ansolin | Dr. Rafael Vigolo - Sublime Odontologia,Clínica odontológica,"Em frente a UNIMED, Edifício Vitalitá - R. Sete de Setembro, 17 - Sl 204 segundo andar - Centro, Concórdia - SC, 89700-015",(49) 99926-3013,+55 49 99926-3013,,,"-27.2353909,-52.0235918",5,35,Clinicas odontologicas em Concordia SC
ChIJy5zos2N_45QR9a11AhOofUQ,https://www.google.com/maps/place/?q=place_id:ChIJy5zos2N_45QR9a11AhOofUQ,Mailini Centro Odontológico,Dentista,"R. Mal. Deodoro, 352 - Centro, Concórdia - SC, 89700-172",(49) 3444-9515,+55 49 3444-9515,mailini.com.br,http://www.mailini.com.br/,"-27.231009399999998,-52.021574699999995",4.9,35,Clinicas odontologicas em Concordia SC
ChIJYUNkzYp_45QRC_Aot05i7UY,https://www.google.com/maps/place/?q=place_id:ChIJYUNkzYp_45QRC_Aot05i7UY,OrthoDontic,Clínica odontológica,"R. do Comércio, 180 - 2º andar - Centro, Concórdia - SC, 89700-083",(49) 3191-0910,+55 49 3191-0910,orthodonticbrasil.com.br,https://www.orthodonticbrasil.com.br/clinicas/clinica-odontologica-orthodontic-concordia-289/,"-27.2305393,-52.025605899999995",4.9,13,Clinicas odontologicas em Concordia SC
ChIJQVLoIhl_45QRfSwmP0SNXP4,https://www.google.com/maps/place/?q=place_id:ChIJQVLoIhl_45QRfSwmP0SNXP4,Stefanny Wolff Odontologia,Dentista,"R. Getúlio Vargas, 400 - Sala 504 - Centro, Concórdia - SC, 89700-017",(49) 99141-2528,+55 49 99141-2528,stefannywolffodontologia.com.br,https://stefannywolffodontologia.com.br/,"-27.2329123,-52.026405",5,13,Clinicas odontologicas em Concordia SC
ChIJdailpVh_45QRdLf3oBT-mcM,https://www.google.com/maps/place/?q=place_id:ChIJdailpVh_45QRdLf3oBT-mcM,OdontoVIP,Clínica odontológica,"BR-283, 914 - Centro, Concórdia - SC, 89700-000",(49) 3442-6115,+55 49 3442-6115,,,"-27.2330388,-52.026187",4.9,1,Clinicas odontologicas em Concordia SC
ChIJD49tHK5_45QRrMsi40jlU3g,https://www.google.com/maps/place/?q=place_id:ChIJD49tHK5_45QRrMsi40jlU3g,Consultório Dr. Luis Fernando Latreille | Consultório Odontológico em Concórdia,Dentista,"Rua Atalípio Magarinos, 438 - Centro, Concórdia - SC, 89700-000",(49) 3030-0600,+55 49 3030-0600,consultoriocro.com.br,https://consultoriocro.com.br/concordia/,"-27.2348882,-52.0245392",5,2,Clinicas odontologicas em Concordia SC
ChIJd9GHqnt_45QRadaLeQPTVrk,https://www.google.com/maps/place/?q=place_id:ChIJd9GHqnt_45QRadaLeQPTVrk,Dra. Aline Dalberti - Clínica Geral e Especialista em Odontopediatria - Ortopedista dos Maxilares - Laserterapia - Sedações,Consultório médico,"R. Anita Garibaldi, 242 - Centro, Concórdia - SC, 89700-000",(49) 99142-6696,+55 49 99142-6696,draalinedalberti.com.br,https://draalinedalberti.com.br/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAdGRleASjb8tleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacaWaaYMDP752cqTKO1044KuFF5ae8YMEtdrIGqxKe7Bhi8qnH-D7OJWL0VSA_aem_qXpl1_YGQKgUCjZHFd5DXQ,"-27.2293797,-52.0254427",5,212,Clinicas odontologicas em Concordia SC
ChIJqXSz82N_45QR7QVVY92Df7s,https://www.google.com/maps/place/?q=place_id:ChIJqXSz82N_45QR7QVVY92Df7s,Odontoclínica Concórdia,Dentista,"R. Getúlio Vargas, 401 - Centro, Concórdia - SC, 89700-000",(49) 3442-4704,+55 49 3442-4704,,,"-27.2327123,-52.0261608",5,1,Clinicas odontologicas em Concordia SC
ChIJW8h7w_V_45QRhLZ6rMxUJP4,https://www.google.com/maps/place/?q=place_id:ChIJW8h7w_V_45QRhLZ6rMxUJP4,Dra. Taís Letícia de Rossi - Hellodonto - Clínica Odontológica,Dentista,"Edifício Dom Afonso - R. Mal. Deodoro, 1040 - Sl 04 - Centro, Concórdia - SC, 89700-055",(49) 99146-8779,+55 49 99146-8779,bit.ly,http://bit.ly/DigiCard_Hellodonto,"-27.2331589,-52.028037999999995",5,8,Clinicas odontologicas em Concordia SC
ChIJJ-Of9ot_45QR7LEgQjr0yHo,https://www.google.com/maps/place/?q=place_id:ChIJJ-Of9ot_45QR7LEgQjr0yHo,Odonto Vitta,Clínica odontológica,"Edifício Officenter - R. Anita Garibaldi, n° 365 - Sl 304 - Centro, Concórdia - SC, 89700-129",(49) 3444-3460,+55 49 3444-3460,facebook.com,https://www.facebook.com/odontovittaconcordia,"-27.228720499999998,-52.0263869",5,2,Clinicas odontologicas em Concordia SC
ChIJbeeuYGR_45QRSwGSwrlhXx4,https://www.google.com/maps/place/?q=place_id:ChIJbeeuYGR_45QRSwGSwrlhXx4,Odonto Clínica Michelon,Dentista,"R. Dr. Maruri, 330 - Sl 02 - Centro, Concórdia - SC, 89700-065",(49) 3442-0498,+55 49 3442-0498,,,"-27.2320718,-52.028512899999996",5,3,Clinicas odontologicas em Concordia SC
ChIJtfuaL2R_45QRwXfgbc2UkJA,https://www.google.com/maps/place/?q=place_id:ChIJtfuaL2R_45QRwXfgbc2UkJA,Jean e Tíssiana Schneider Consultório Odontológico,Dentista,"R. Vinte e Nove de Julho, 274 - Sala 101 - Centro, Concórdia - SC, 89700-041",(49) 3444-4168,+55 49 3444-4168,wa.me,http://wa.me/554984051903,"-27.234311299999998,-52.0298399",5,16,Clinicas odontologicas em Concordia SC
ChIJn_wzdWZ_45QRDLVbW-pctDI,https://www.google.com/maps/place/?q=place_id:ChIJn_wzdWZ_45QRDLVbW-pctDI,Clínica Odontológica Locatelli,Dentista,"R. Mal. Deodoro, 1289 - Sala 11 - Centro, Concórdia - SC, 89700-053",(49) 98859-9841,+55 49 98859-9841,instagram.com,https://www.instagram.com/odontologialocatelli/,"-27.233062699999998,-52.029892399999994",5,17,Clinicas odontologicas em Concordia SC
ChIJkdfYWWF_45QRCBkYdbdJbIc,https://www.google.com/maps/place/?q=place_id:ChIJkdfYWWF_45QRCBkYdbdJbIc,Consultório Odontológio Dra. Kelly k. Levandovski e Ricardo Mazonetto,Clínica odontológica,"R. Getúlio Vargas, 673 - Centro, Concórdia - SC, 89700-021",(49) 99913-2515,+55 49 99913-2515,facebook.com,https://www.facebook.com/KellyLevandovskieRicardoMazonetto/,"-27.2348862,-52.025351199999996",5,2,Clinicas odontologicas em Concordia SC
