id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJ45ZVMWB_45QRlIi849mZOXM,https://www.google.com/maps/place/?q=place_id:ChIJ45ZVMWB_45QRlIi849mZOXM,Blue Comunicação Visual,Faixas e placas,"Rua Adolfo Bortoli, Lot. Vila Lobos, 199 - Primavera, Concórdia - SC, 89701-138",(49) 99176-0573,+55 49 99176-0573,instagram.com,http://instagram.com/blueimpressoes,"-27.214353499999998,-52.019880199999996",4.7,76,Comunicacao visual em Concordia SC,True,True,True,20.4159,1.0,False,False,instagram,True,True,72.0,medium
ChIJr1EratmB45QRSNPd1eel28k,https://www.google.com/maps/place/?q=place_id:ChIJr1EratmB45QRSNPd1eel28k,Artmídia Comunicação Visual,Designer Gráfico,"R. Ângelo Ary Biazus, 30 - Centro, Concórdia - SC, 89700-194",(49) 3442-3004,+55 49 3442-3004,artmidia.art.br,http://www.artmidia.art.br/,"-27.2295739,-52.0170497",4.5,2,Comunicacao visual em Concordia SC,True,True,True,4.9438,0.0263,False,False,"index, name, last, modified, size, description",False,True,58.0,medium
ChIJOzQgVMGB45QRrX76HnS8sjA,https://www.google.com/maps/place/?q=place_id:ChIJOzQgVMGB45QRrX76HnS8sjA,Varela Comunicação Visual e Outdoors,Designer Gráfico,"R. Sen. Atílio Francisco Xavier Fontana, 1237 - Sala 02 - Santa Cruz, Concórdia - SC, 89703-148",(49) 99921-5180,+55 49 99921-5180,varelaoutdoor.com.br,http://www.varelaoutdoor.com.br/,"-27.222522299999998,-52.0377973",4.6,4,Comunicacao visual em Concordia SC,True,True,True,7.4034,0.0526,False,False,"mais, saiba, outdoor, lona, varela, javascript, como, cartazes, navegador, para",False,True,58.0,medium
ChIJ_5m8z4OB45QRKhq1zUuEqEE,https://www.google.com/maps/place/?q=place_id:ChIJ_5m8z4OB45QRKhq1zUuEqEE,Prosign Comunicação Visual LTDA ME,Faixas e placas,"R. Mal. Deodoro, 35 - Centro, Concórdia - SC, 89700-172",(49) 3442-1274,+55 49 3442-1274,,,"-27.229419999999998,-52.018589999999996",4.4,3,Comunicacao visual em Concordia SC,True,False,False,6.0997,0.0395,False,False,,False,False,38.0,small
ChIJPxLmi0WB45QRsHE7Q_Pronk,https://www.google.com/maps/place/?q=place_id:ChIJPxLmi0WB45QRsHE7Q_Pronk,Viaprint Comunicação Visual Ltda.,Gráfica,"R. Adolfo Knob, 232 - Cinquentenário, Concórdia - SC, 89700-246",(49) 99944-2798,+55 49 99944-2798,instagram.com,http://instagram.com/viaprintcomunicacao,"-27.2311089,-52.011849999999995",5,2,Comunicacao visual em Concordia SC,True,True,True,5.4931,0.0263,False,False,instagram,True,True,63.0,medium
ChIJl5KY21GD45QRqGrBh5bCo70,https://www.google.com/maps/place/?q=place_id:ChIJl5KY21GD45QRqGrBh5bCo70,Artmania adesivos e películas,Impressão digital,"BR 153 km 101, Concórdia - SC, 89750-000",(49) 99985-2083,+55 49 99985-2083,,,"-27.238837,-51.9548905",4.7,2,Comunicacao visual em Concordia SC,True,False,False,5.1635,0.0263,False,False,,False,False,43.0,small
ChIJQ0zJ3Jh_45QRK-MsFHu_TUI,https://www.google.com/maps/place/?q=place_id:ChIJQ0zJ3Jh_45QRK-MsFHu_TUI,Open Mídia Concórdia,Faixas e placas,"R. Pref. Segundo Dala Costa, 842 - Das Nações, Concórdia - SC, 89708-230",(49) 98400-9899,+55 49 98400-9899,,,"-27.245078799999998,-52.0251467",5,9,Comunicacao visual em Concordia SC,True,False,False,11.5129,0.1184,False,False,,False,False,43.0,small
ChIJu8T7q6V_45QROHs6CwvAgTs,https://www.google.com/maps/place/?q=place_id:ChIJu8T7q6V_45QROHs6CwvAgTs,Massocco Comunicaçao Visual,Escritório da empresa,"Linha Lageado Quintino - Área rural, Concórdia - SC, 89700-000",(49) 3442-0689,+55 49 3442-0689,massoccocomunicacao.com.br,https://massoccocomunicacao.com.br/,"-27.2300507,-52.075409799999996",5,5,Comunicacao visual em Concordia SC,True,True,True,8.9588,0.0658,False,False,"placas, letreiros, para, nosso, outdoor, fachadas, rodovias, visual, lona, estrutura",False,True,58.0,medium
ChIJm8MMcQ6D5JQRrCeCb7RPrV8,https://www.google.com/maps/place/?q=place_id:ChIJm8MMcQ6D5JQRrCeCb7RPrV8,Printart - Comunicação Visual,Faixas e placas,"Tv. Frozza, 5180 - Santo Antônio, Concórdia - SC, 89703-882",(49) 99933-0235,+55 49 99933-0235,printartcomunicacao.com,http://www.printartcomunicacao.com/,"-27.1962495,-52.114689399999996",5,5,Comunicacao visual em Concordia SC,True,True,True,8.9588,0.0658,False,False,"printart, visual, envelopamento",False,True,58.0,medium
ChIJO3gqHGF_45QRtaM2hoN84ac,https://www.google.com/maps/place/?q=place_id:ChIJO3gqHGF_45QRtaM2hoN84ac,Arte Digital Sites - Mídias On e Off,Agência de marketing digital,"R. Getúlio Vargas, 778 - Centro, Concórdia - SC, 89700-017",(49) 3442-6009,+55 49 3442-6009,artedigitalmidias.com.br,https://artedigitalmidias.com.br/,"-27.2356907,-52.025161999999995",4.9,18,Comunicacao visual em Concordia SC,True,True,True,14.4278,0.2368,False,False,"para, empresa, site, sociais, home, arte, digital, trabalhos, contato, sites",True,True,67.0,medium
