id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJM2huemR_45QRdMJhpiTeKTU,https://www.google.com/maps/place/?q=place_id:ChIJM2huemR_45QRdMJhpiTeKTU,Jecar Veículos,Concessionária,"R. Dr. Maruri, 415 - Centro, Concórdia - SC, 89700-000",(49) 3442-3319,+55 49 3442-3319,jecarveiculos.com.br,http://www.jecarveiculos.com.br/,"-27.231835999999998,-52.0277567",4.2,23,Concessionarias de veiculos em Concordia SC,True,True,True,13.3478,0.0732,False,False,"todos, home, destaque, blog, sobre, contato, jecar, politica, privacidade, siga",True,True,62.0,medium
ChIJk9HQdJ5_45QRk4jPhJzQZsI,https://www.google.com/maps/place/?q=place_id:ChIJk9HQdJ5_45QRk4jPhJzQZsI,Resmini Automóveis,Concessionária,"R. Sen. Atílio Francisco Xavier Fontana, 1362 - Santa Cruz, Concórdia - SC, 89703-148",(49) 3442-4566,+55 49 3442-4566,resminiautomoveis.com.br,http://resminiautomoveis.com.br/,"-27.2216064,-52.037548799999996",5,25,Concessionarias de veiculos em Concordia SC,True,True,True,16.2905,0.0796,False,False,"selecione, todos, privacidade, destaque, mensagem, para, nossa, este, politica, resmini",True,True,67.0,medium
ChIJl5WuWteB45QRwFzhXte-Pa4,https://www.google.com/maps/place/?q=place_id:ChIJl5WuWteB45QRwFzhXte-Pa4,Ativa Veículos,Concessionária,"R. Tancredo de Almeida Neves, 44 - Cinquentenário, Concórdia - SC, 89700-000",(49) 3444-0092,+55 49 3444-0092,ativaveiculosconcordia.com.br,https://www.ativaveiculosconcordia.com.br/,"-27.2255556,-52.016111099999996",4.4,56,Concessionarias de veiculos em Concordia SC,True,True,True,17.7894,0.1783,False,False,"motor, flex, turbo, selecione, jeep, sport, hyundai, fiat, sedan, renault",True,True,67.0,medium
ChIJD-LFQteB45QRMgCk8ZxGu9w,https://www.google.com/maps/place/?q=place_id:ChIJD-LFQteB45QRMgCk8ZxGu9w,Nova Veículos,Concessionária,"R. Dr. Maruri, 1741 - Centro, Concórdia - SC, 89700-000",(49) 3444-0075,+55 49 3444-0075,novaveiculos.com,http://www.novaveiculos.com/,"-27.225416,-52.017368999999995",4.5,69,Concessionarias de veiculos em Concordia SC,True,True,True,19.1182,0.2197,False,False,"motor, flex, turbo, selecione, todos, volkswagen, este, privacidade, nova, home",True,True,72.0,medium
ChIJ1YpF1mV_45QRxwaq9J9d_84,https://www.google.com/maps/place/?q=place_id:ChIJ1YpF1mV_45QRxwaq9J9d_84,Santa Maria Automóveis,Concessionária,"R. Vinte e Nove de Julho, 325 - Centro, Concórdia - SC, 89700-039",(49) 3442-0030,+55 49 3442-0030,santamariaauto.com.br,https://santamariaauto.com.br/,"-27.2349091,-52.0300625",4.1,3,Concessionarias de veiculos em Concordia SC,True,True,True,5.6838,0.0096,False,False,"flex, mais, chevrolet, volkswagen, fiat, santa, maria, auto, peugeot, siga",False,True,53.0,medium
ChIJ0_GMbsOB45QRCZdTzfx2vVE,https://www.google.com/maps/place/?q=place_id:ChIJ0_GMbsOB45QRCZdTzfx2vVE,Supra Multimarcas,Garagem de automóveis,"Parque de Exposições - R. Tancredo de Almeida Neves, 5775 - São Cristóvão, Concórdia - SC, 89711-280",(49) 3030-8565,+55 49 3030-8565,supramultimarcas.com.br,http://www.supramultimarcas.com.br/,"-27.224368799999997,-51.9642999",4.5,81,Concessionarias de veiculos em Concordia SC,True,True,True,19.8302,0.258,False,False,"flex, volkswagen, irani, hyundai, turbo, novos, seminovos, mais, jeep, anos",False,True,67.0,medium
ChIJsf8AONiB45QRaG_RBG6VE20,https://www.google.com/maps/place/?q=place_id:ChIJsf8AONiB45QRaG_RBG6VE20,Ivel Automóveis,Concessionária,"R. Dr. Maruri, 1810 - Centro, Concórdia - SC, 89700-266",(49) 3444-1616,+55 49 3444-1616,ivelautomoveis.com.br,http://www.ivelautomoveis.com.br/,"-27.2253711,-52.016657699999996",3.9,4,Concessionarias de veiculos em Concordia SC,True,True,True,6.2768,0.0127,False,False,"venda, estoque, carro, financie, ivel, automoveis, feira, carros, usados, seminovos",True,True,53.0,medium
ChIJmyJVJr6B45QRRnJH1tgAVHs,https://www.google.com/maps/place/?q=place_id:ChIJmyJVJr6B45QRRnJH1tgAVHs,Concórdia Multimarcas,Revendedora de carros usados,"R. Vitório Celante, 164 - Centro, Concórdia - SC, 89700-000",(49) 99828-2163,+55 49 99828-2163,,,"-27.2289316,-52.0210845",4.9,1,Concessionarias de veiculos em Concordia SC,True,False,False,3.3964,0.0032,False,False,,False,False,43.0,small
ChIJASU2Q9eB45QRY1BjUsVIbiU,https://www.google.com/maps/place/?q=place_id:ChIJASU2Q9eB45QRY1BjUsVIbiU,Dinarte Veículos,Concessionária,"R. Dr. Maruri, 1770 - Centro, Concórdia - SC, 89700-156",(49) 99815-5000,+55 49 99815-5000,dinarteveiculos.com.br,http://www.dinarteveiculos.com.br/,"-27.2255763,-52.017031599999996",4.4,58,Concessionarias de veiculos em Concordia SC,True,True,True,17.9412,0.1847,False,False,"selecione, todos, home, sobre, destaque, contato, mensagem, para, nossa, este",True,True,67.0,medium
ChIJYYzRomR_45QR7CVJgO2c9cY,https://www.google.com/maps/place/?q=place_id:ChIJYYzRomR_45QR7CVJgO2c9cY,Versátil Veículos,Concessionária,"R. Pref. Domingos Machado de Lima, 580 - Centro, Concórdia - SC, 89700-000",(49) 3444-2823,+55 49 3444-2823,versatilveiculos.com.br,http://www.versatilveiculos.com.br/,"-27.2310189,-52.02757",4.5,49,Concessionarias de veiculos em Concordia SC,True,True,True,17.6041,0.1561,False,False,"privacidade, home, sobre, contato, mensagem, para, nossa, este, politica, envie",True,True,67.0,medium
