id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJM2huemR_45QRdMJhpiTeKTU,https://www.google.com/maps/place/?q=place_id:ChIJM2huemR_45QRdMJhpiTeKTU,Jecar Veículos,Concessionária,"R. Dr. Maruri, 415 - Centro, Concórdia - SC, 89700-000",(49) 3442-3319,+55 49 3442-3319,jecarveiculos.com.br,http://www.jecarveiculos.com.br/,"-27.231835999999998,-52.0277567",4.2,23,Concessionarias de veiculos em Concordia SC
ChIJk9HQdJ5_45QRk4jPhJzQZsI,https://www.google.com/maps/place/?q=place_id:ChIJk9HQdJ5_45QRk4jPhJzQZsI,Resmini Automóveis,Concessionária,"R. Sen. Atílio Francisco Xavier Fontana, 1362 - Santa Cruz, Concórdia - SC, 89703-148",(49) 3442-4566,+55 49 3442-4566,resminiautomoveis.com.br,http://resminiautomoveis.com.br/,"-27.2216064,-52.037548799999996",5,25,Concessionarias de veiculos em Concordia SC
ChIJl5WuWteB45QRwFzhXte-Pa4,https://www.google.com/maps/place/?q=place_id:ChIJl5WuWteB45QRwFzhXte-Pa4,Ativa Veículos,Concessionária,"R. Tancredo de Almeida Neves, 44 - Cinquentenário, Concórdia - SC, 89700-000",(49) 3444-0092,+55 49 3444-0092,ativaveiculosconcordia.com.br,https://www.ativaveiculosconcordia.com.br/,"-27.2255556,-52.016111099999996",4.4,56,Concessionarias de veiculos em Concordia SC
ChIJD-LFQteB45QRMgCk8ZxGu9w,https://www.google.com/maps/place/?q=place_id:ChIJD-LFQteB45QRMgCk8ZxGu9w,Nova Veículos,Concessionária,"R. Dr. Maruri, 1741 - Centro, Concórdia - SC, 89700-000",(49) 3444-0075,+55 49 3444-0075,novaveiculos.com,http://www.novaveiculos.com/,"-27.225416,-52.017368999999995",4.5,69,Concessionarias de veiculos em Concordia SC
ChIJ1YpF1mV_45QRxwaq9J9d_84,https://www.google.com/maps/place/?q=place_id:ChIJ1YpF1mV_45QRxwaq9J9d_84,Santa Maria Automóveis,Concessionária,"R. Vinte e Nove de Julho, 325 - Centro, Concórdia - SC, 89700-039",(49) 3442-0030,+55 49 3442-0030,santamariaauto.com.br,https://santamariaauto.com.br/,"-27.2349091,-52.0300625",4.1,3,Concessionarias de veiculos em Concordia SC
ChIJ0_GMbsOB45QRCZdTzfx2vVE,https://www.google.com/maps/place/?q=place_id:ChIJ0_GMbsOB45QRCZdTzfx2vVE,Supra Multimarcas,Garagem de automóveis,"Parque de Exposições - R. Tancredo de Almeida Neves, 5775 - São Cristóvão, Concórdia - SC, 89711-280",(49) 3030-8565,+55 49 3030-8565,supramultimarcas.com.br,http://www.supramultimarcas.com.br/,"-27.224368799999997,-51.9642999",4.5,81,Concessionarias de veiculos em Concordia SC
ChIJsf8AONiB45QRaG_RBG6VE20,https://www.google.com/maps/place/?q=place_id:ChIJsf8AONiB45QRaG_RBG6VE20,Ivel Automóveis,Concessionária,"R. Dr. Maruri, 1810 - Centro, Concórdia - SC, 89700-266",(49) 3444-1616,+55 49 3444-1616,ivelautomoveis.com.br,http://www.ivelautomoveis.com.br/,"-27.2253711,-52.016657699999996",3.9,4,Concessionarias de veiculos em Concordia SC
ChIJmyJVJr6B45QRRnJH1tgAVHs,https://www.google.com/maps/place/?q=place_id:ChIJmyJVJr6B45QRRnJH1tgAVHs,Concórdia Multimarcas,Revendedora de carros usados,"R. Vitório Celante, 164 - Centro, Concórdia - SC, 89700-000",(49) 99828-2163,+55 49 99828-2163,,,"-27.2289316,-52.0210845",4.9,1,Concessionarias de veiculos em Concordia SC
ChIJASU2Q9eB45QRY1BjUsVIbiU,https://www.google.com/maps/place/?q=place_id:ChIJASU2Q9eB45QRY1BjUsVIbiU,Dinarte Veículos,Concessionária,"R. Dr. Maruri, 1770 - Centro, Concórdia - SC, 89700-156",(49) 99815-5000,+55 49 99815-5000,dinarteveiculos.com.br,http://www.dinarteveiculos.com.br/,"-27.2255763,-52.017031599999996",4.4,58,Concessionarias de veiculos em Concordia SC
ChIJYYzRomR_45QR7CVJgO2c9cY,https://www.google.com/maps/place/?q=place_id:ChIJYYzRomR_45QR7CVJgO2c9cY,Versátil Veículos,Concessionária,"R. Pref. Domingos Machado de Lima, 580 - Centro, Concórdia - SC, 89700-000",(49) 3444-2823,+55 49 3444-2823,versatilveiculos.com.br,http://www.versatilveiculos.com.br/,"-27.2310189,-52.02757",4.5,49,Concessionarias de veiculos em Concordia SC
ChIJM5BZeGN_45QRpJxSICwCOn8,https://www.google.com/maps/place/?q=place_id:ChIJM5BZeGN_45QRpJxSICwCOn8,Santapedra Volkswagen - Concórdia,Concessionária Volkswagen,"R. Tancredo de Almeida Neves, 3200 - São Cristóvão, Concórdia - SC, 89711-500",(49) 3030-8888,+55 49 3030-8888,santapedra.com.br,http://www.santapedra.com.br/,"-27.229248,-51.9898494",4.6,314,Concessionarias de veiculos em Concordia SC
ChIJ8ZvoR52B45QR-cogrDbUHo4,https://www.google.com/maps/place/?q=place_id:ChIJ8ZvoR52B45QR-cogrDbUHo4,Agostinho Veículos,Revendedora de carros usados,"Rua João Suzin Marini, 1115 - Nossa Sra. da Salete, Concórdia - SC, 89700-280",(49) 99957-2839,+55 49 99957-2839,agostinhoveiculos.com.br,https://www.agostinhoveiculos.com.br/,"-27.215011,-52.0163831",5,17,Concessionarias de veiculos em Concordia SC
ChIJNxNhPu-B45QRwcGuJQO3AyI,https://www.google.com/maps/place/?q=place_id:ChIJNxNhPu-B45QRwcGuJQO3AyI,Vencar Automoveis Ltda,Revendedora de carros usados,"R. Dr. Maruri, 1845 - Centro, Concórdia - SC, 89700-158",(49) 98834-2640,+55 49 98834-2640,vencarautomoveis.com.br,https://vencarautomoveis.com.br/,"-27.225127,-52.016168699999994",4.5,4,Concessionarias de veiculos em Concordia SC
ChIJv7OeZGV_45QRKf0I1lhNcbg,https://www.google.com/maps/place/?q=place_id:ChIJv7OeZGV_45QRKf0I1lhNcbg,Primo Veículos Revenda de Veículos Usados e Seminovos,Revendedora de carros usados,"R. Luiz Delfino, 1 - Centro, Concórdia - SC, 89700-000",(49) 3442-0790,+55 49 3442-0790,instagram.com,https://www.instagram.com/primo_veiculos/?hl=pt-br,"-27.232322399999997,-52.031607699999995",4,1,Concessionarias de veiculos em Concordia SC
ChIJDx0Zf8SB45QR1WSqOwjpWZU,https://www.google.com/maps/place/?q=place_id:ChIJDx0Zf8SB45QR1WSqOwjpWZU,FIAT Cordial Concórdia,Concessionária,"R. Tancredo de Almeida Neves, 1452 - Parque de Exposicao, Concórdia - SC, 89711-280",(49) 3090-8041,+55 49 3090-8041,cordialfiat.com.br,http://www.cordialfiat.com.br/,"-27.228116,-52.0051583",4.4,51,Concessionarias de veiculos em Concordia SC
ChIJwb0lYW5_45QRDVUJ5N-CtJk,https://www.google.com/maps/place/?q=place_id:ChIJwb0lYW5_45QRDVUJ5N-CtJk,Pravato Automóveis,Concessionária,"R. Mal. Deodoro, 1958 - Nazaré, Concórdia - SC, 89700-000",(49) 99915-2391,+55 49 99915-2391,pravatoautomoveis.com.br,http://pravatoautomoveis.com.br/,"-27.2344494,-52.0362565",4.9,92,Concessionarias de veiculos em Concordia SC
ChIJx1VMXeeB45QRMNqjaL_T8CY,https://www.google.com/maps/place/?q=place_id:ChIJx1VMXeeB45QRMNqjaL_T8CY,Chevrolet Autoshow Concórdia,Concessionária Chevrolet,"R. Tancredo de Almeida Neves, 5740 - São Cristóvão, Concórdia - SC, 89711-650",(49) 3442-5444,+55 49 3442-5444,autoshowchevrolet.com.br,https://www.autoshowchevrolet.com.br/?cid=meu_negocio-ddp-315969,"-27.2248315,-51.964645",4.5,15,Concessionarias de veiculos em Concordia SC
ChIJd1MtZaR_45QRlPRxOJNEsa0,https://www.google.com/maps/place/?q=place_id:ChIJd1MtZaR_45QRlPRxOJNEsa0,Bengala Automóveis,Concessionária de veículos motorizados,"R. Sen. Atílio Francisco Xavier Fontana, 1876 - Santa Cruz, Concórdia - SC, 89700-000",(49) 3444-8582,+55 49 3444-8582,bengalaautomoveis.com.br,http://www.bengalaautomoveis.com.br/,"-27.2180724,-52.0406707",4.1,3,Concessionarias de veiculos em Concordia SC
ChIJicXMyIN_45QRiOfXIoemhDg,https://www.google.com/maps/place/?q=place_id:ChIJicXMyIN_45QRiOfXIoemhDg,Ferreira Automoveis LTDA,Loja,"R. do Comércio, 480 - Centro, Concórdia - SC, 89700-087",(49) 99965-4592,+55 49 99965-4592,ferreiraautomoveis.net.br,https://www.ferreiraautomoveis.net.br/,"-27.2293479,-52.0283872",4.9,44,Concessionarias de veiculos em Concordia SC
ChIJHYZqQfV_45QR_O1fZWev_CE,https://www.google.com/maps/place/?q=place_id:ChIJHYZqQfV_45QR_O1fZWev_CE,Rótula Veículos,Garagem de automóveis,"R. Anita Garibaldi, 300 - Centro, Concórdia - SC, 89700-124",(49) 3442-2233,+55 49 3442-2233,rotulaveiculos.net.br,https://www.rotulaveiculos.net.br/,"-27.229109299999998,-52.025635699999995",5,5,Concessionarias de veiculos em Concordia SC
