id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJt_zFqWd_45QRHh3eVQGUALc,https://www.google.com/maps/place/?q=place_id:ChIJt_zFqWd_45QRHh3eVQGUALc,H&G Construtora,Construtora,"R. Adolfo Bortoli, 287 - Primavera, Concórdia - SC, 89701-138",,,construtoraheg.com.br,https://construtoraheg.com.br/,"-27.215263999999998,-52.0204348",5,10,Construtoras em Concordia SC,False,True,True,11.9895,0.2778,False,False,,False,False,47.0,small
ChIJLyP3dXSB45QRyjKWMlnGfwk,https://www.google.com/maps/place/?q=place_id:ChIJLyP3dXSB45QRyjKWMlnGfwk,IACC Tecnologia em Construção,Construtora,"R. Tancredo de Almeida Neves, 5192 - São Cristóvão, Concórdia - SC, 89711-650",(49) 3441-3600,+55 49 3441-3600,iacc.com.br,https://www.iacc.com.br/,"-27.224747699999998,-51.968455299999995",4.7,4,Construtoras em Concordia SC,True,True,True,7.5644,0.1111,False,False,"iacc, mais, obras, para, projetos, nossos, futuro, anos, estruturas, concreto",False,True,58.0,medium
ChIJc2g0DmR_45QREsYIHFHFyRE,https://www.google.com/maps/place/?q=place_id:ChIJc2g0DmR_45QREsYIHFHFyRE,Projetec Empreendimentos,Construtora,"R. Mal. Deodoro, 1040 - Centro, Concórdia - SC, 89700-055",,,projetec.net,http://www.projetec.net/,"-27.232852899999997,-52.0273543",4.6,3,Construtoras em Concordia SC,False,True,True,6.377,0.0833,False,False,,False,False,43.0,small
ChIJwQXQ0GN_45QR-p_IjW99lyg,https://www.google.com/maps/place/?q=place_id:ChIJwQXQ0GN_45QR-p_IjW99lyg,Pillares Construções e Incorporações,Construtora de casas personalizadas,"Edifício Leonardo da Vinci - R. Mal. Deodoro, 773 - Sl 205 - Centro, Concórdia - SC, 89700-000",(49) 3442-1116,+55 49 3442-1116,pillares.com.br,http://www.pillares.com.br/,"-27.233348499999998,-52.0251139",4.9,1,Construtoras em Concordia SC,True,True,True,3.3964,0.0278,False,False,"para, millennium, home, empreendimento, conforto, obra, contato, tour, plantas, cada",False,True,58.0,medium
ChIJTy_cZMCB45QRiFZ7axpVlCU,https://www.google.com/maps/place/?q=place_id:ChIJTy_cZMCB45QRiFZ7axpVlCU,Kamenge Engenharia e Construções Ltda,Construtora,"R. Alexandre Lorenzet, 530 - Parque de Exposicao, Concórdia - SC, 89711-226",(49) 3444-5450,+55 49 3444-5450,kamenge.com.br,http://kamenge.com.br/,"-27.2291788,-52.000712899999996",4.7,4,Construtoras em Concordia SC,True,True,True,7.5644,0.1111,False,False,"kamenge, engenharia, obra, obras, conosco, projetos, trabalhe, como, clientes, comerciais",False,True,58.0,medium
ChIJJYFzQWN_45QRKq3yhUcBtmk,https://www.google.com/maps/place/?q=place_id:ChIJJYFzQWN_45QRKq3yhUcBtmk,Engaste Projetos e Construções,Construtora,"R. Anita Garibaldi, 270 - Centro, Concórdia - SC, 89700-126",(49) 3425-9203,+55 49 3425-9203,,,"-27.229191,-52.025521",4.4,1,Construtoras em Concordia SC,True,False,False,3.0498,0.0278,False,False,,False,False,38.0,small
ChIJt2VmR2R_45QRVxqm2Nbf6QA,https://www.google.com/maps/place/?q=place_id:ChIJt2VmR2R_45QRVxqm2Nbf6QA,CVX Engenharia,Construtora,"R. Thereza Gulowski Vanzo, 30 - Poente do Sol, Concórdia - SC, 89705-482",(49) 3442-4577,+55 49 3442-4577,cvx.com.br,http://www.cvx.com.br/,"-27.2211212,-52.0601278",4.4,2,Construtoras em Concordia SC,True,True,True,4.8339,0.0556,False,False,"obras, industriais, saneamento, contato, engenharia, sobre, incorporadora, andamento, residencial, jardim",False,True,53.0,medium
ChIJCak5mmR_45QR0Q1w_xxK9LI,https://www.google.com/maps/place/?q=place_id:ChIJCak5mmR_45QR0Q1w_xxK9LI,Verticalle Empreendimentos,Construtora,"R. Pref. Domingos Machado de Lima - Centro, Concórdia - SC, 89700-025",(49) 98813-1502,+55 49 98813-1502,facebook.com,http://www.facebook.com/verticalle,"-27.230850399999998,-52.027474999999995",4.7,3,Construtoras em Concordia SC,True,True,True,6.5156,0.0833,False,False,,False,False,58.0,medium
ChIJUVn_oW9_45QRogYRgWih_5o,https://www.google.com/maps/place/?q=place_id:ChIJUVn_oW9_45QRogYRgWih_5o,Construtora Plena LTDA,Construtor Imobiliário,"R. Mal. Deodoro, 1654 - Sl 102 - Centro, Concórdia - SC, 89700-055",(49) 3442-5029,+55 49 3442-5029,construtoraplena.com.br,http://www.construtoraplena.com.br/,"-27.23352,-52.033476",4.5,3,Construtoras em Concordia SC,True,True,True,6.2383,0.0833,False,False,"obras, industriais, para, industrial, plena, contato, construtora, setor, foco, sobre",False,True,58.0,medium
ChIJ1b1YOmF_45QR1S_4Yl7AK1k,https://www.google.com/maps/place/?q=place_id:ChIJ1b1YOmF_45QR1S_4Yl7AK1k,Decc Construção Civil,Construtora,"R. Isidóro Maito, 71 - Centro, Concórdia - SC, 89700-031",(49) 3442-0942,+55 49 3442-0942,,,"-27.235277099999998,-52.0260955",3.4,1,Construtoras em Concordia SC,True,False,False,2.3567,0.0278,False,False,,False,False,28.0,small
ChIJ9zTJUsB_45QR_qFrkdj8qoQ,https://www.google.com/maps/place/?q=place_id:ChIJ9zTJUsB_45QR_qFrkdj8qoQ,Mathei Industrial,Escritório da empresa,"R. Leônidas Fávero, 935 - 2° Andar - Sala 03 - Arvoredo, Concórdia - SC, 89701-360",(49) 3442-7099,+55 49 3442-7099,mathei.com.br,https://www.mathei.com.br/,"-27.2190253,-52.027062699999995",5,12,Construtoras em Concordia SC,True,True,True,12.8247,0.3333,False,False,"mathei, obras, contato, trabalhe, conosco, menu, engenharia, endconcordia, industrial, institucional",True,True,67.0,medium
ChIJKUjaAp-B45QRcvHwJbytBbg,https://www.google.com/maps/place/?q=place_id:ChIJKUjaAp-B45QRcvHwJbytBbg,Fletor Engenharia e Construções,Construtora,"Ed. Vitalitá Center - R. Sete de Setembro, 17 - Sl 306 - Centro, Concórdia - SC, 89700-015",(49) 99979-1333,+55 49 99979-1333,facebook.com,https://www.facebook.com/FletorConstrucoes,"-27.235277699999997,-52.0240708",5,2,Construtoras em Concordia SC,True,True,True,5.4931,0.0556,False,False,,False,False,58.0,medium
ChIJcQIlAmF_45QR-AdD1kvSe5o,https://www.google.com/maps/place/?q=place_id:ChIJcQIlAmF_45QR-AdD1kvSe5o,Edsul Construtora e Incorporadora Ltda.,Construtora,"R. Osvaldo Valentim Zandavalli, 851 - Centro, Concórdia - SC, 89700-000",(49) 3442-0442,+55 49 3442-0442,,,"-27.224473,-52.0169255",5,1,Construtoras em Concordia SC,True,False,False,3.4657,0.0278,False,False,,False,False,43.0,small
ChIJSeOK5Ru05JQRm1PMn54L6qM,https://www.google.com/maps/place/?q=place_id:ChIJSeOK5Ru05JQRm1PMn54L6qM,Araujo Construções,Construtora,"R. Dep. Carlos Buchele, 174 - Sl 01 - Centro, Concórdia - SC, 89700-130",(49) 3011-1032,+55 49 3011-1032,araujoconstrucoes.com,http://www.araujoconstrucoes.com/,"-27.228415499999997,-52.024650099999995",3,4,Construtoras em Concordia SC,True,True,True,4.8283,0.1111,False,False,"mais, obras, para, nossos, saiba, sobre, conosco, javascript, equipe, nossa",False,True,43.0,small
ChIJe1nMGDuF5JQRqZXNst4El5A,https://www.google.com/maps/place/?q=place_id:ChIJe1nMGDuF5JQRqZXNst4El5A,Harmonia Construtora e Incorporadora,Construtora,"R. Anita Garibaldi, 393 - Centro, Concórdia - SC, 89700-124",(49) 98412-4510,+55 49 98412-4510,,,"-27.228286599999997,-52.026713799999996",5,1,Construtoras em Concordia SC,True,False,False,3.4657,0.0278,False,False,,False,False,43.0,small
ChIJ-3qzkZp_45QRQlg0E57lRJE,https://www.google.com/maps/place/?q=place_id:ChIJ-3qzkZp_45QRQlg0E57lRJE,GH Empreiteira de Mão de Obra,Construtora,"R. Guaramirim, 66 - Arvoredo, Concórdia - SC, 85460-000",(49) 3442-4190,+55 49 3442-4190,,,"-27.2122584,-52.034000899999995",5,1,Construtoras em Concordia SC,True,False,False,3.4657,0.0278,False,False,,False,False,43.0,small
ChIJo84UP2R_45QRE8YcC6OiJbE,https://www.google.com/maps/place/?q=place_id:ChIJo84UP2R_45QRE8YcC6OiJbE,Dalvemar Pré-moldados e Construção,Empresa de engenharia civil,"Rua Leonel Jacinto Baseggio - nº 153 - BR - 153 - Área Industrial, Concórdia - SC, 89713-198",(49) 3444-8544,+55 49 3444-8544,,,"-27.2179257,-51.943875899999995",3.9,1,Construtoras em Concordia SC,True,False,False,2.7033,0.0278,False,False,,False,False,33.0,small
