id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ30X3eIyVWUQRRjLFZzLL3wk,https://www.google.com/maps/place/?q=place_id:ChIJ30X3eIyVWUQRRjLFZzLL3wk,HJ Conference,Empresa de organização de eventos,"Rua Victor Sopelsa, 847-1201 - Parque de Exposicao, Concórdia - SC, 89700-000",(49) 3090-9907,+55 49 3090-9907,hjconference.com.br,https://hjconference.com.br/,"-27.2258197,-52.003338199999995",4.9,65,Organizacao de eventos corporativos em Concordia SC
ChIJVc25ZN6D45QRQITm0eYBFUQ,https://www.google.com/maps/place/?q=place_id:ChIJVc25ZN6D45QRQITm0eYBFUQ,Top Eventos,Empresa de organização de eventos,"R. Pedro Balbinot, 349 - Tamanduá, Concórdia - SC, 89700-991",(49) 99907-7701,+55 49 99907-7701,,,"-27.304151599999997,-51.997055499999995",,2,Organizacao de eventos corporativos em Concordia SC
ChIJD948ZNiB45QRhGVCyrfvnxs,https://www.google.com/maps/place/?q=place_id:ChIJD948ZNiB45QRhGVCyrfvnxs,ASSCONPP,Empresa de organização de eventos,"R. Dr. Maruri, 1204 - Sala A - Centro, Concórdia - SC, 89700-000",(49) 3442-1254,+55 49 3442-1254,assconpp.com.br,http://assconpp.com.br/,"-27.2293392,-52.0205948",5,55,Organizacao de eventos corporativos em Concordia SC
ChIJbySPMod_45QRRNMXOEQY3OU,https://www.google.com/maps/place/?q=place_id:ChIJbySPMod_45QRRNMXOEQY3OU,Adri Eventos,Organização de eventos e cerimonial,"R. Mal. Deodoro, 449 - Centro, Concórdia - SC, 89700-174",(49) 99900-4325,+55 49 99900-4325,,,"-27.2316437,-52.0221184",,9,Organizacao de eventos corporativos em Concordia SC
ChIJX2rUYDR_45QREvWdiQng1jA,https://www.google.com/maps/place/?q=place_id:ChIJX2rUYDR_45QREvWdiQng1jA,Minusculi Assessoria e Cerimonial,Assessoria e cerimonial de casamentos,"R. Claudino Pinto De Moraes, 70 - Arvoredo, Concórdia - SC, 89701-396",(49) 99979-6294,+55 49 99979-6294,,,"-27.2152939,-52.0360042",,,Organizacao de eventos corporativos em Concordia SC
ChIJ15_P4JCB45QREkStFl4NYJQ,https://www.google.com/maps/place/?q=place_id:ChIJ15_P4JCB45QREkStFl4NYJQ,Centro de Eventos Concórdia,Centro de conferências,"Centro de Eventos Concórdia - Rua Victor Sopelsa - Parque de Exposicao, Concórdia - SC, 89700-000",,,,,"-27.2261815,-52.002492399999994",4.7,84,Organizacao de eventos corporativos em Concordia SC
ChIJEYZ7GWyB45QR3VdjpiVTZ7g,https://www.google.com/maps/place/?q=place_id:ChIJEYZ7GWyB45QR3VdjpiVTZ7g,IACC Garden,Local para eventos,"R. Tancredo de Almeida Neves, 5745 - São Cristóvão, Concórdia - SC, 89711-570",(49) 3441-3600,+55 49 3441-3600,iaccgarden.com.br,https://www.iaccgarden.com.br/,"-27.223750799999998,-51.964160899999996",4.8,143,Organizacao de eventos corporativos em Concordia SC
ChIJbwOY4WR_45QREkcez5QJ6OA,https://www.google.com/maps/place/?q=place_id:ChIJbwOY4WR_45QREkcez5QJ6OA,Katine Bandeira Assessoria e Cerimonial,Organização de eventos e cerimonial,"R. Nossa Sra. de Lourdes, 1487 - Gruta, Concórdia - SC, 89700-000",(49) 99965-6131,+55 49 99965-6131,,,"-27.227393199999998,-52.0496355",,2,Organizacao de eventos corporativos em Concordia SC
ChIJ_3XzBOhk6I8RRjUNvbl0lDY,https://www.google.com/maps/place/?q=place_id:ChIJ_3XzBOhk6I8RRjUNvbl0lDY,Beehap - Play & Festa,Buffet infantil,"Rua Valentin - R. Valetin Dalla Costa, 150 - Colinas, Concórdia - SC, 89700-519",(49) 99922-5450,+55 49 99922-5450,,,"-27.2041437,-52.0178278",4.7,25,Organizacao de eventos corporativos em Concordia SC
ChIJi2IEM9iB45QRx4Q3f57YWpo,https://www.google.com/maps/place/?q=place_id:ChIJi2IEM9iB45QRx4Q3f57YWpo,Águas do Oeste Catarinense Convention & Visitors Bureau,Empresa de organização de eventos,"R. Dr. Maruri, 1474 - Centro, Concórdia - SC, 89700-156",(49) 98818-3749,+55 49 98818-3749,aguasdooestecatarinense.com.br,http://aguasdooestecatarinense.com.br/,"-27.2276375,-52.018645199999995",4.7,18,Organizacao de eventos corporativos em Concordia SC
