id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJM9-oqdyB45QR0TiVXqdO7ig,https://www.google.com/maps/place/?q=place_id:ChIJM9-oqdyB45QR0TiVXqdO7ig,Gráfica Sul Oeste,Gráfica,"R. Horacio Sandi, 61 - Parque de Exposicao, Concórdia - SC, 89711-295",(49) 3442-2445,+55 49 3442-2445,,,"-27.2289149,-52.0110558",4.7,3,Grafica rapida em Concordia SC,True,False,False,6.5156,0.0395,False,False,,False,False,43.0,small
ChIJRWHMUvJ_45QRoyQhGwOcHnQ,https://www.google.com/maps/place/?q=place_id:ChIJRWHMUvJ_45QRoyQhGwOcHnQ,Print + Serviços Gráficos,Gráfica,"R. Carlos Gabiatti, 53 - Arvoredo, Concórdia - SC, 89701-545",(49) 98870-7619,+55 49 98870-7619,,,"-27.2059382,-52.027974699999994",5,36,Grafica rapida em Concordia SC,True,False,False,18.0546,0.4737,False,False,,False,False,47.0,small
ChIJJxmkUp6B45QRZwcmVQGjK2c,https://www.google.com/maps/place/?q=place_id:ChIJJxmkUp6B45QRZwcmVQGjK2c,M & R Impressões Gráficas,Gráfica,"R. Tancredo de Almeida Neves, 4040 - São Cristóvão, Concórdia - SC, 89700-000",(49) 3444-5333,+55 49 3444-5333,graficamr.com.br,https://www.graficamr.com.br/,"-27.2281119,-51.981046899999996",4.9,1,Grafica rapida em Concordia SC,True,True,True,3.3964,0.0132,False,False,"qualidade, tecnologia, inovadora, empresa, produtos, contato, trabalhe, conosco, para, implementar",True,True,63.0,medium
ChIJGf_DylM4J5URnTGny0GZ8UM,https://www.google.com/maps/place/?q=place_id:ChIJGf_DylM4J5URnTGny0GZ8UM,dezégn Criação & Gráfica Rápida,Gráfica,"R. Cândido Ramos, 41 - Sl 01 - Nazaré, Concórdia - SC, 89707-021",(49) 99946-0691,+55 49 99946-0691,dezegn.com.br,http://dezegn.com.br/,"-27.2359507,-52.0344316",5,14,Grafica rapida em Concordia SC,True,True,True,13.5403,0.1842,False,False,,False,False,62.0,medium
ChIJyW-TCmF_45QRT97oxo5Jt5s,https://www.google.com/maps/place/?q=place_id:ChIJyW-TCmF_45QRT97oxo5Jt5s,Mundo das Cópias,Copiadora,"R. Lauro Müller, 28 - Centro, Concórdia - SC, 89700-009",(49) 99813-0954,+55 49 99813-0954,mundodascopias.com,https://mundodascopias.com/,"-27.233192499999998,-52.022849699999995",4.6,12,Grafica rapida em Concordia SC,True,True,True,11.7988,0.1579,False,False,"hostinger, horizons",False,True,62.0,medium
ChIJm26kcG9_45QRB2D6HZMLSbI,https://www.google.com/maps/place/?q=place_id:ChIJm26kcG9_45QRB2D6HZMLSbI,Brindal Serviços Gráficos,Gráfica,"R. Mal. Deodoro, 583 - Centro, Concórdia - SC, 89700-000",(49) 3442-0835,+55 49 3442-0835,,,"-27.2324056,-52.023354499999996",2.5,4,Grafica rapida em Concordia SC,True,False,False,4.0236,0.0526,False,False,,False,False,23.0,micro
ChIJSbQrmWh_45QRqn8bDHZzlVY,https://www.google.com/maps/place/?q=place_id:ChIJSbQrmWh_45QRqn8bDHZzlVY,Nova Print Gráfica E Editora,Gráfica,"R. Tancredo de Almeida Neves, 7180 - São Cristóvão, Concórdia - SC, 89711-880",(49) 3444-1828,+55 49 3444-1828,,,"-27.2255205,-51.9522512",3.9,1,Grafica rapida em Concordia SC,True,False,False,2.7033,0.0132,False,False,,False,False,33.0,small
ChIJPQhAmpeB45QRDsY_5b83h2I,https://www.google.com/maps/place/?q=place_id:ChIJPQhAmpeB45QRDsY_5b83h2I,Gráfica Estrela,Gráfica,"Rod. Faustino Sopelsa, 400 - Colinas, Concórdia - SC, 89700-635",(49) 3441-0200,+55 49 3441-0200,graficaestrela.com.br,http://www.graficaestrela.com.br/,"-27.2149638,-51.9820795",4.5,13,Grafica rapida em Concordia SC,True,True,True,11.8758,0.1711,False,False,"nossa, estrela, para, nossos, clientes, home, menu, equipe, trabalhamos, qualidade",False,True,62.0,medium
ChIJeYMzg1Ll45QRO8tCIYJMivE,https://www.google.com/maps/place/?q=place_id:ChIJeYMzg1Ll45QRO8tCIYJMivE,Joaçaba Gráfica Rápida,Gráfica,"R. Sete de Setembro, 59 - Centro, Joaçaba - SC, 89600-000",(49) 99137-8257,+55 49 99137-8257,,,"-27.1731874,-51.5045983",4.3,,Grafica rapida em Concordia SC,True,False,False,0.0,0.0,False,False,,False,False,35.0,small
ChIJ56lBUwB_45QRX2l2k_XCXgk,https://www.google.com/maps/place/?q=place_id:ChIJ56lBUwB_45QRX2l2k_XCXgk,Deise Fantin Gráfica Rápida,Gráfica,"R. dos Abacateiros, 194 - Petrópolis, Concórdia - SC, 89703-297",(49) 99831-3113,+55 49 99831-3113,,,"-27.2246702,-52.047802999999995",,2,Grafica rapida em Concordia SC,True,False,False,0.0,0.0263,False,False,,False,False,18.0,micro
ChIJK2Zn1Hp_45QRtrc6XccLgWI,https://www.google.com/maps/place/?q=place_id:ChIJK2Zn1Hp_45QRtrc6XccLgWI,Imagem Digital,Loja de artigos para fotografia,"R. do Comércio, 128 - Centro, Concórdia - SC, 89700-000",(49) 3444-4477,+55 49 3444-4477,,,"-27.230713899999998,-52.025244799999996",4.6,13,Grafica rapida em Concordia SC,True,False,False,12.1397,0.1711,False,False,,False,False,47.0,small
ChIJ45ZVMWB_45QRlIi849mZOXM,https://www.google.com/maps/place/?q=place_id:ChIJ45ZVMWB_45QRlIi849mZOXM,Blue Comunicação Visual,Impressões,"Rua Adolfo Bortoli, Lot. Vila Lobos, 199 - Primavera, Concórdia - SC, 89701-138",(49) 99176-0573,+55 49 99176-0573,instagram.com,http://instagram.com/blueimpressoes,"-27.214353499999998,-52.019880199999996",4.7,76,Grafica rapida em Concordia SC,True,True,True,20.4159,1.0,False,False,instagram,True,True,72.0,medium
ChIJM-2gCqGB45QRDhldVgyItwA,https://www.google.com/maps/place/?q=place_id:ChIJM-2gCqGB45QRDhldVgyItwA,Rotular Pequenas Tiragens,Gráfica de etiquetas personalizadas,"R. Mal. Deodoro - Centro, Concórdia - SC, 89700-172",(49) 99946-0774,+55 49 99946-0774,,,"-27.2293843,-52.018614799999995",5,3,Grafica rapida em Concordia SC,True,False,False,6.9315,0.0395,False,False,,False,False,43.0,small
ChIJPxLmi0WB45QRsHE7Q_Pronk,https://www.google.com/maps/place/?q=place_id:ChIJPxLmi0WB45QRsHE7Q_Pronk,Viaprint Comunicação Visual Ltda.,Gráfica,"R. Adolfo Knob, 232 - Cinquentenário, Concórdia - SC, 89700-246",(49) 99944-2798,+55 49 99944-2798,instagram.com,http://instagram.com/viaprintcomunicacao,"-27.2311089,-52.011849999999995",5,2,Grafica rapida em Concordia SC,True,True,True,5.4931,0.0263,False,False,instagram,True,True,63.0,medium
ChIJi_vEEWh_45QRWBAsB4BUnNw,https://www.google.com/maps/place/?q=place_id:ChIJi_vEEWh_45QRWBAsB4BUnNw,Gráfica Pelprint,Gráfica,"R. Clóvis César de Oliveira, 113 - Santa Cruz, Concórdia - SC, 89703-142",(49) 99921-9434,+55 49 99921-9434,graficapelprint.com.br,http://www.graficapelprint.com.br/,"-27.2241471,-52.0356318",,1,Grafica rapida em Concordia SC,True,True,True,0.0,0.0132,False,False,,False,False,33.0,small
ChIJr1EratmB45QRSNPd1eel28k,https://www.google.com/maps/place/?q=place_id:ChIJr1EratmB45QRSNPd1eel28k,Artmídia Comunicação Visual,Designer Gráfico,"R. Ângelo Ary Biazus, 30 - Centro, Concórdia - SC, 89700-194",(49) 3442-3004,+55 49 3442-3004,artmidia.art.br,http://www.artmidia.art.br/,"-27.2295739,-52.0170497",4.5,2,Grafica rapida em Concordia SC,True,True,True,4.9438,0.0263,False,False,"index, name, last, modified, size, description",False,True,58.0,medium
ChIJ2zg-ryx_45QRjz6b9SMXddw,https://www.google.com/maps/place/?q=place_id:ChIJ2zg-ryx_45QRjz6b9SMXddw,La Vie Design Mídia,Agência de design,"R. Pref. Domingos Machado de Lima, 560 - Centro, Concórdia - SC, 89700-025",(49) 99840-7068,+55 49 99840-7068,,,"-27.2308406,-52.027460399999995",5,26,Grafica rapida em Concordia SC,True,False,False,16.4792,0.3421,False,False,,False,False,47.0,small
ChIJOzQgVMGB45QRrX76HnS8sjA,https://www.google.com/maps/place/?q=place_id:ChIJOzQgVMGB45QRrX76HnS8sjA,Varela Comunicação Visual e Outdoors,Impressão digital,"R. Sen. Atílio Francisco Xavier Fontana, 1237 - Sala 02 - Santa Cruz, Concórdia - SC, 89703-148",(49) 99921-5180,+55 49 99921-5180,varelaoutdoor.com.br,http://www.varelaoutdoor.com.br/,"-27.222522299999998,-52.0377973",4.6,4,Grafica rapida em Concordia SC,True,True,True,7.4034,0.0526,False,False,"mais, saiba, outdoor, adesivos, varela, javascript, para, como, adesivo, navegador",False,True,58.0,medium
ChIJO3gqHGF_45QRtaM2hoN84ac,https://www.google.com/maps/place/?q=place_id:ChIJO3gqHGF_45QRtaM2hoN84ac,Arte Digital Sites - Mídias On e Off,Agência de marketing digital,"R. Getúlio Vargas, 778 - Centro, Concórdia - SC, 89700-017",(49) 3442-6009,+55 49 3442-6009,artedigitalmidias.com.br,https://artedigitalmidias.com.br/,"-27.2356907,-52.025161999999995",4.9,18,Grafica rapida em Concordia SC,True,True,True,14.4278,0.2368,False,False,"para, empresa, site, sociais, home, arte, digital, trabalhos, contato, sites",True,True,67.0,medium
ChIJ9e3VxNt_45QR2_JPiThULu8,https://www.google.com/maps/place/?q=place_id:ChIJ9e3VxNt_45QR2_JPiThULu8,Cyber Tech Informática e Celulares Concórdia Atacado Picolé e Sorvete,Impressões,"R. Vinte e Nove de Julho, 444 - Lj 04 - Centro, Concórdia - SC, 89700-041",(49) 99968-0062,+55 49 99968-0062,,,"-27.235097,-52.0313545",4.6,68,Grafica rapida em Concordia SC,True,False,False,19.4769,0.8947,False,False,,False,False,52.0,medium
