id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJYUscgV-B45QRTgSxLxmB1Ok,https://www.google.com/maps/place/?q=place_id:ChIJYUscgV-B45QRTgSxLxmB1Ok,Gráfica Concordia,Fabricante,"Concórdia, SC, 89700-000",,,,,"-27.2235452,-51.9427215",3.6,1,Graficas em Concordia SC
ChIJM9-oqdyB45QR0TiVXqdO7ig,https://www.google.com/maps/place/?q=place_id:ChIJM9-oqdyB45QR0TiVXqdO7ig,Gráfica Sul Oeste,Gráfica,"R. Horacio Sandi, 61 - Parque de Exposicao, Concórdia - SC, 89711-295",(49) 3442-2445,+55 49 3442-2445,,,"-27.2289149,-52.0110558",4.7,3,Graficas em Concordia SC
ChIJJxmkUp6B45QRZwcmVQGjK2c,https://www.google.com/maps/place/?q=place_id:ChIJJxmkUp6B45QRZwcmVQGjK2c,M & R Impressões Gráficas,Gráfica,"R. Tancredo de Almeida Neves, 4040 - São Cristóvão, Concórdia - SC, 89700-000",(49) 3444-5333,+55 49 3444-5333,graficamr.com.br,https://www.graficamr.com.br/,"-27.2281119,-51.981046899999996",4.9,1,Graficas em Concordia SC
ChIJPQhAmpeB45QRDsY_5b83h2I,https://www.google.com/maps/place/?q=place_id:ChIJPQhAmpeB45QRDsY_5b83h2I,Gráfica Estrela,Gráfica,"Rod. Faustino Sopelsa, 400 - Colinas, Concórdia - SC, 89700-635",(49) 3441-0200,+55 49 3441-0200,graficaestrela.com.br,http://www.graficaestrela.com.br/,"-27.2149638,-51.9820795",4.5,13,Graficas em Concordia SC
ChIJm26kcG9_45QRB2D6HZMLSbI,https://www.google.com/maps/place/?q=place_id:ChIJm26kcG9_45QRB2D6HZMLSbI,Brindal Serviços Gráficos,Gráfica,"R. Mal. Deodoro, 583 - Centro, Concórdia - SC, 89700-000",(49) 3442-0835,+55 49 3442-0835,,,"-27.2324056,-52.023354499999996",2.5,4,Graficas em Concordia SC
ChIJSbQrmWh_45QRqn8bDHZzlVY,https://www.google.com/maps/place/?q=place_id:ChIJSbQrmWh_45QRqn8bDHZzlVY,Nova Print Gráfica E Editora,Gráfica,"R. Tancredo de Almeida Neves, 7180 - São Cristóvão, Concórdia - SC, 89711-880",(49) 3444-1828,+55 49 3444-1828,,,"-27.2255205,-51.9522512",3.9,1,Graficas em Concordia SC
ChIJRWHMUvJ_45QRoyQhGwOcHnQ,https://www.google.com/maps/place/?q=place_id:ChIJRWHMUvJ_45QRoyQhGwOcHnQ,Print + Serviços Gráficos,Gráfica,"R. Carlos Gabiatti, 53 - Arvoredo, Concórdia - SC, 89701-545",(49) 98870-7619,+55 49 98870-7619,,,"-27.2059382,-52.027974699999994",5,36,Graficas em Concordia SC
ChIJn77AH2x_45QR1BPInmFyugU,https://www.google.com/maps/place/?q=place_id:ChIJn77AH2x_45QR1BPInmFyugU,Visograf Indústria Gráfica,Gráfica,"R. Santa Catarina, 685 - Nazaré, Concórdia - SC, 89707-024",(49) 3442-0514,+55 49 3442-0514,visograf.ind.br,http://www.visograf.ind.br/,"-27.2359452,-52.0375875",4.8,3,Graficas em Concordia SC
ChIJoX63CGN_45QReoFHbujW00E,https://www.google.com/maps/place/?q=place_id:ChIJoX63CGN_45QReoFHbujW00E,Equiplan Gráfica Editora,Gráfica,"R. Anita Garibaldi, 138 - Centro, Concórdia - SC, 89700-126",(49) 3442-0881,+55 49 3442-0881,graficaequiplan.com.br,https://graficaequiplan.com.br/,"-27.2302446,-52.0247805",5,1,Graficas em Concordia SC
ChIJGf_DylM4J5URnTGny0GZ8UM,https://www.google.com/maps/place/?q=place_id:ChIJGf_DylM4J5URnTGny0GZ8UM,dezégn Criação & Gráfica Rápida,Gráfica,"R. Cândido Ramos, 41 - Sl 01 - Nazaré, Concórdia - SC, 89707-021",(49) 99946-0691,+55 49 99946-0691,dezegn.com.br,http://dezegn.com.br/,"-27.2359507,-52.0344316",5,14,Graficas em Concordia SC
