id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJAUYr-2V_45QRw_3hTK8KLIM,https://www.google.com/maps/place/?q=place_id:ChIJAUYr-2V_45QRw_3hTK8KLIM,Imobiliária Bonato Concórdia SC,Imobiliária,"Ed. Dona Olga - R. Mal. Deodoro, 1000 - Sl 03 - Térreo - Centro, Concórdia - SC, 89700-055",(49) 3444-2020,+55 49 3444-2020,bonatoimoveis.com,https://bonatoimoveis.com/,"-27.2330382,-52.026723499999996",4.5,4,Imobiliarias em Concordia SC
ChIJVVWGomV_45QRmtF_IxA4SZw,https://www.google.com/maps/place/?q=place_id:ChIJVVWGomV_45QRmtF_IxA4SZw,Imobiliária Munaretto Concórdia,Imobiliária,"R. Mal. Deodoro, 1356 - Sala 04 - Centro, Concórdia - SC, 89700-055",(49) 3030-0303,+55 49 3030-0303,munarettoimoveis.com.br,https://munarettoimoveis.com.br/,"-27.232836,-52.030493299999996",4.3,9,Imobiliarias em Concordia SC
ChIJzVd5h2V_45QRgOnCSerkqpk,https://www.google.com/maps/place/?q=place_id:ChIJzVd5h2V_45QRgOnCSerkqpk,Imobiliária Ideal,Imobiliária,"R. Vitório Celante, 245 - Centro, Concórdia - SC, 89700-140",(49) 3442-1744,+55 49 3442-1744,imobiliariaidealsc.com.br,http://www.imobiliariaidealsc.com.br/,"-27.227860099999997,-52.022341399999995",4.6,39,Imobiliarias em Concordia SC
ChIJLVIVYmJ_45QRxM5oqknZh7k,https://www.google.com/maps/place/?q=place_id:ChIJLVIVYmJ_45QRxM5oqknZh7k,Imobiliária Concórdia Ltda,Imobiliária,"R. Dr. Maruri, 990 - Centro, Concórdia - SC, 89700-168",(49) 3442-4717,+55 49 3442-4717,imobiliariaconcordia.com.br,http://www.imobiliariaconcordia.com.br/,"-27.2304212,-52.022297699999996",4.5,5,Imobiliarias em Concordia SC
ChIJHaidgmN_45QRQnPLglg7Qbk,https://www.google.com/maps/place/?q=place_id:ChIJHaidgmN_45QRQnPLglg7Qbk,Coliseu Imóveis,Imobiliária,"Tv. Antônio Brunetto, 71 - Centro, Concórdia - SC, 89700-166",(49) 3442-0712,+55 49 3442-0712,imobicoliseu.com.br,http://www.imobicoliseu.com.br/,"-27.230000099999998,-52.0244344",4.9,7,Imobiliarias em Concordia SC
ChIJf6AnjWN_45QRyNc4Z44kR44,https://www.google.com/maps/place/?q=place_id:ChIJf6AnjWN_45QRyNc4Z44kR44,Modelo Imobiliária,Imobiliária,"R. Getúlio Vargas, 401 - Centro, Concórdia - SC, 89700-019",(49) 3442-1177,+55 49 3442-1177,imobiliariamodelo.com.br,http://www.imobiliariamodelo.com.br/,"-27.232712,-52.026160999999995",3.9,1,Imobiliarias em Concordia SC
ChIJf_BqZDSB45QRQTFsvWUSwHQ,https://www.google.com/maps/place/?q=place_id:ChIJf_BqZDSB45QRQTFsvWUSwHQ,PitBull Negócios Imobiliários,Imobiliária,"Edifício Maria Virgínia - R. Carlos Gomes, 137 - Sala 01 - Centro, Concórdia - SC, 89700-000",(49) 99956-5008,+55 49 99956-5008,pitbullimoveis.com.br,http://www.pitbullimoveis.com.br/,"-27.226642,-52.019906",4.6,2,Imobiliarias em Concordia SC
ChIJtTrh5pJ_45QRIuGQN5VzEm4,https://www.google.com/maps/place/?q=place_id:ChIJtTrh5pJ_45QRIuGQN5VzEm4,"Imóveis Concórdia, Concórdia - SC - CRECI 36.567 Concórdia-SC",Imobiliária,"R. Antônio Fadion, 121 - Dos Imigrantes, Concórdia - SC, 89711-052",,,imoveisconcordia.com.br,https://imoveisconcordia.com.br/,"-27.2367842,-52.0152011",4.6,6,Imobiliarias em Concordia SC
ChIJVVWJwWR_45QRf8CXwtuwTQ8,https://www.google.com/maps/place/?q=place_id:ChIJVVWJwWR_45QRf8CXwtuwTQ8,Imobiliária Ferri,Imobiliária,"R. Orestes Farina, 125 - Centro, Concórdia - SC, 89700-000",(49) 3444-5010,+55 49 3444-5010,imobiliariaferri.com.br,https://www.imobiliariaferri.com.br/,"-27.230843699999998,-52.0285484",5,76,Imobiliarias em Concordia SC
ChIJpa-wFWR_45QR5Lq7dc8PQIE,https://www.google.com/maps/place/?q=place_id:ChIJpa-wFWR_45QR5Lq7dc8PQIE,Cristal Imobiliária,Imobiliária,"R. Mal. Deodoro, 1076 - 101 - Centro, Concórdia - SC, 89700-000",(49) 3442-2952,+55 49 3442-2952,cristalimobiliaria.com,http://www.cristalimobiliaria.com/,"-27.232871799999998,-52.0278104",4,2,Imobiliarias em Concordia SC
