id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ1e8pnZvLc4oRopA89d0i1x4,https://www.google.com/maps/place/?q=place_id:ChIJ1e8pnZvLc4oRopA89d0i1x4,Agência Jóya,Agência de Marketing,"Edifício Sette Office - R. do Comércio, 383 - Sl 05 - Centro, Concórdia - SC, 89700-089",(49) 98856-9345,+55 49 98856-9345,agenciajoya.com.br,https://agenciajoya.com.br/,"-27.2299397,-52.0276723",4.6,2,Agencias de marketing digital em Concordia SC
ChIJm_GmzJ2B45QRqYpahlNr3gI,https://www.google.com/maps/place/?q=place_id:ChIJm_GmzJ2B45QRqYpahlNr3gI,DGT'all Agência Digital,Agência de Marketing,"Tv. Marcon, 74 - Centro, Concórdia - SC, 89700-033",(49) 3030-5575,+55 49 3030-5575,dgtallagencia.com.br,http://www.dgtallagencia.com.br/,"-27.234727799999998,-52.0288536",5,9,Agencias de marketing digital em Concordia SC
ChIJ9b7TtGh_45QRcDRndzmXbiA,https://www.google.com/maps/place/?q=place_id:ChIJ9b7TtGh_45QRcDRndzmXbiA,Agência Mona,Agência de Marketing,"R. Júlio Moritz, 578 - SALA 01 - Sunti, Concórdia - SC, 89708-003",(49) 3442-2177,+55 49 3442-2177,agenciamona.com,https://agenciamona.com/,"-27.239514099999997,-52.0290518",4.8,16,Agencias de marketing digital em Concordia SC
ChIJPSgDmA8o_YwRDLhBpmmIItc,https://www.google.com/maps/place/?q=place_id:ChIJPSgDmA8o_YwRDLhBpmmIItc,BEFIRST - Agência de Marketing Digital | Tráfego Pago | Social Media | Criação de Site,Agência de Marketing,,(49) 99163-2830,+55 49 99163-2830,agenciabefirst.com.br,https://www.agenciabefirst.com.br/,"-26.1125945,-51.906589499999995",5,6,Agencias de marketing digital em Concordia SC
ChIJlcv5LN6B45QRLCWM-evkW8U,https://www.google.com/maps/place/?q=place_id:ChIJlcv5LN6B45QRLCWM-evkW8U,Arete Company - Agência de Marketing,Agência de marketing digital,"R. Albino Rota, 135 - Vista Alegre, Concórdia - SC, 89701-000",(49) 99840-2617,+55 49 99840-2617,aretecompany.com.br,https://aretecompany.com.br/,"-27.223851399999997,-52.0176551",5,3,Agencias de marketing digital em Concordia SC
ChIJO3gqHGF_45QRtaM2hoN84ac,https://www.google.com/maps/place/?q=place_id:ChIJO3gqHGF_45QRtaM2hoN84ac,Arte Digital Sites - Mídias On e Off,Agência de marketing digital,"R. Getúlio Vargas, 778 - Centro, Concórdia - SC, 89700-017",(49) 3442-6009,+55 49 3442-6009,artedigitalmidias.com.br,https://artedigitalmidias.com.br/,"-27.2356907,-52.025161999999995",4.9,18,Agencias de marketing digital em Concordia SC
ChIJ7xWUWimB45QRzS3qslCMbes,https://www.google.com/maps/place/?q=place_id:ChIJ7xWUWimB45QRzS3qslCMbes,Next Marketing e Comunicação,Agência de Marketing,"R. Henrique Cerutti, 47 - Parque de Exposicao, Concórdia - SC, 89711-224",(49) 99916-8848,+55 49 99916-8848,next.ppg.br,http://next.ppg.br/,"-27.2328974,-52.0036278",4.9,3,Agencias de marketing digital em Concordia SC
ChIJUbxk6iqD45QRp99qXc4-gmQ,https://www.google.com/maps/place/?q=place_id:ChIJUbxk6iqD45QRp99qXc4-gmQ,FH Marketing Digital,Agência de marketing digital,"R. Mal. Deodoro, 1240 - Centro, Concórdia - SC, 89700-055",(49) 99936-2866,+55 49 99936-2866,fhmarketingdigital.my.canva.site,https://fhmarketingdigital.my.canva.site/?fbclid=PAQ0xDSwK1WXRleHRuA2FlbQIxMQABpzXilrH8YjIf3TlA0PkhaXnXsQWOBGSsQgbLCM09619Ne0twna3RL1uCvoJJ_aem_do1zI6uuG96Jvyn4WBCaoQ,"-27.232814599999998,-52.029214499999995",5,49,Agencias de marketing digital em Concordia SC
ChIJU6gby3p_45QRcqb1GfHFPvU,https://www.google.com/maps/place/?q=place_id:ChIJU6gby3p_45QRcqb1GfHFPvU,Agência Marketing Job Content,Agência de marketing digital,"Ed. Spazi Vitta - R. Osvaldo Valentim Zandavalli, 163 - Sl 201 - Centro, Concórdia - SC, 89700-136",(49) 99111-1704,+55 49 99111-1704,jobcontent.com.br,https://jobcontent.com.br/,"-27.2276167,-52.0232002",4.8,4,Agencias de marketing digital em Concordia SC
ChIJ0b18RGt_45QRQrInOXSfTHA,https://www.google.com/maps/place/?q=place_id:ChIJ0b18RGt_45QRQrInOXSfTHA,Golden Gestão de Tráfego,Agência de marketing digital,"R. Getúlio Vargas, 689 - Centro, Concórdia - SC, 89711-000",(49) 99184-0654,+55 49 99184-0654,,,"-27.2351323,-52.0250056",5,1,Agencias de marketing digital em Concordia SC
ChIJ6wk900R_45QR_gO6vDMiTxQ,https://www.google.com/maps/place/?q=place_id:ChIJ6wk900R_45QR_gO6vDMiTxQ,Agência de Marketing | FoxyB Agência Digital,Agência de marketing digital,"R. Anita Garibaldi, 1617 - Primavera, Concórdia - SC, 89701-130",(49) 98505-2358,+55 49 98505-2358,instagram.com,https://www.instagram.com/agencia_foxyb/,"-27.217122099999997,-52.023733299999996",,5,Agencias de marketing digital em Concordia SC
ChIJ3wUR2GV_45QRowgA_c9_Im8,https://www.google.com/maps/place/?q=place_id:ChIJ3wUR2GV_45QRowgA_c9_Im8,Agência Foco,Agência de Marketing,"R. Vinte e Nove de Julho, 141 - Sl 35 - Centro, Concórdia - SC, 89700-039",(49) 3442-1236,+55 49 3442-1236,,,"-27.233902999999998,-52.0285825",4.7,4,Agencias de marketing digital em Concordia SC
ChIJyxTUV31_45QRaZnso80fLsU,https://www.google.com/maps/place/?q=place_id:ChIJyxTUV31_45QRaZnso80fLsU,Única Propaganda,Agência de publicidade,"R. Dr. Maruri, 1555 - Sl 01 - Centro, Concórdia - SC, 89700-158",(49) 3444-1601,+55 49 3444-1601,unicapropaganda.com,http://www.unicapropaganda.com/,"-27.226818299999998,-52.0185367",4.6,9,Agencias de marketing digital em Concordia SC
ChIJBXacCKGD45QRQRDNXDxYNcM,https://www.google.com/maps/place/?q=place_id:ChIJBXacCKGD45QRQRDNXDxYNcM,Impresscione Marketing,Agência de Marketing,"R. Pedro Balbinot, 349 - Tamanduá, Concórdia - SC, 89700-991",(49) 3442-8786,+55 49 3442-8786,impresscione.com.br,http://www.impresscione.com.br/,"-27.304121,-51.997077399999995",5,28,Agencias de marketing digital em Concordia SC
ChIJBUrVBLJ_45QRk2Oa9w8h5DA,https://www.google.com/maps/place/?q=place_id:ChIJBUrVBLJ_45QRk2Oa9w8h5DA,P7 Marketing Digital,Agência de Marketing,"R. Imperial, 255 - Sunti, Concórdia - SC, 89708-015",(49) 99808-1280,+55 49 99808-1280,p7mktdigital.com.br,https://p7mktdigital.com.br/,"-27.23887,-52.0312658",5,10,Agencias de marketing digital em Concordia SC
ChIJ7-MksECB45QR5IueyQOZnZ4,https://www.google.com/maps/place/?q=place_id:ChIJ7-MksECB45QR5IueyQOZnZ4,Mob Full Web,Agência de marketing digital,"R. Osvaldo Valentim Zandavalli, 431 - Centro, Concórdia - SC, 89700-136",(49) 98825-0596,+55 49 98825-0596,instagram.com,https://www.instagram.com/mobfullweb/,"-27.226342499999998,-52.0208381",5,11,Agencias de marketing digital em Concordia SC
ChIJU3i8ReB_45QR4qLGKWKE-R0,https://www.google.com/maps/place/?q=place_id:ChIJU3i8ReB_45QR4qLGKWKE-R0,AB26 Marketing Estratégico,Agência de marketing digital,"Tv. Lamonato, 44 - Centro, Concórdia - SC, 89700-093",(47) 99714-2470,+55 47 99714-2470,ab26.com.br,https://www.ab26.com.br/,"-27.2289316,-52.0283683",5,3,Agencias de marketing digital em Concordia SC
ChIJYZ9BkGN_45QR_gDIZ5umsio,https://www.google.com/maps/place/?q=place_id:ChIJYZ9BkGN_45QR_gDIZ5umsio,Emporium Digital SC,Agência de marketing digital,"R. Augusto Sette, 216 - Industriários, Concórdia - SC, 89705-056",(49) 3442-6241,+55 49 3442-6241,,,"-27.232304499999998,-52.0401445",4.7,1,Agencias de marketing digital em Concordia SC
ChIJ3c0uG92B45QRhWLN8vyguQo,https://www.google.com/maps/place/?q=place_id:ChIJ3c0uG92B45QRhWLN8vyguQo,AGÊNCIA FLAMA,Agência de publicidade,"R. Romano Anselmo Fontana, 935 - Sl 03 - Jardim, Concórdia - SC, 89703-078",(49) 3425-9669,+55 49 3425-9669,agenciaflama.com.br,https://agenciaflama.com.br/,"-27.224889299999997,-52.029871",4.3,6,Agencias de marketing digital em Concordia SC
ChIJOXSKmqx_45QRRifuwHx6pmU,https://www.google.com/maps/place/?q=place_id:ChIJOXSKmqx_45QRRifuwHx6pmU,Dioto Ads - Agência de Marketing Digital e Tráfego Pago,Agência de Marketing,"R. Valentim Simonato - Santa Cruz, Concórdia - SC, 89703-157",(49) 99120-7029,+55 49 99120-7029,diotoads.com.br,http://diotoads.com.br/,"-27.2220999,-52.0370801",,1,Agencias de marketing digital em Concordia SC
