id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJ45ZVMWB_45QRlIi849mZOXM,https://www.google.com/maps/place/?q=place_id:ChIJ45ZVMWB_45QRlIi849mZOXM,Blue Comunicação Visual,Impressões,"Rua Adolfo Bortoli, Lot. Vila Lobos, 199 - Primavera, Concórdia - SC, 89701-138",(49) 99176-0573,+55 49 99176-0573,instagram.com,http://instagram.com/blueimpressoes,"-27.214353499999998,-52.019880199999996",4.7,76,Serigrafia e estamparia em Concordia SC,True,True,True,20.4159,0.5241,False,False,instagram,True,True,72.0,medium
ChIJyW-TCmF_45QRT97oxo5Jt5s,https://www.google.com/maps/place/?q=place_id:ChIJyW-TCmF_45QRT97oxo5Jt5s,Mundo das Cópias,Copiadora,"R. Lauro Müller, 28 - Centro, Concórdia - SC, 89700-009",(49) 99813-0954,+55 49 99813-0954,mundodascopias.com,https://mundodascopias.com/,"-27.233192499999998,-52.022849699999995",4.6,12,Serigrafia e estamparia em Concordia SC,True,True,True,11.7988,0.0828,False,False,"hostinger, horizons",False,True,62.0,medium
ChIJud89mGR_45QR6u-znnmFP1k,https://www.google.com/maps/place/?q=place_id:ChIJud89mGR_45QR6u-znnmFP1k,Unifor Uniformes - Confecções e Malharia em Concórdia,Loja de uniformes,"R. Dr. Maruri, 320 - Centro, Concórdia - SC, 89700-065",(49) 2040-5510,+55 49 2040-5510,wa.me,http://wa.me/554934445387/,"-27.2320282,-52.0286682",4.4,14,Serigrafia e estamparia em Concordia SC,True,True,True,11.9154,0.0966,True,True,"whatsapp, download, security, privacy, help, center, features, blog, apps, business",True,True,72.0,medium
ChIJM9-oqdyB45QR0TiVXqdO7ig,https://www.google.com/maps/place/?q=place_id:ChIJM9-oqdyB45QR0TiVXqdO7ig,Gráfica Sul Oeste,Gráfica,"R. Horacio Sandi, 61 - Parque de Exposicao, Concórdia - SC, 89711-295",(49) 3442-2445,+55 49 3442-2445,,,"-27.2289149,-52.0110558",4.7,3,Serigrafia e estamparia em Concordia SC,True,False,False,6.5156,0.0207,False,False,,False,False,43.0,small
ChIJJxmkUp6B45QRZwcmVQGjK2c,https://www.google.com/maps/place/?q=place_id:ChIJJxmkUp6B45QRZwcmVQGjK2c,M & R Impressões Gráficas,Gráfica,"R. Tancredo de Almeida Neves, 4040 - São Cristóvão, Concórdia - SC, 89700-000",(49) 3444-5333,+55 49 3444-5333,graficamr.com.br,https://www.graficamr.com.br/,"-27.2281119,-51.981046899999996",4.9,1,Serigrafia e estamparia em Concordia SC,True,True,True,3.3964,0.0069,False,False,"qualidade, tecnologia, inovadora, empresa, produtos, contato, trabalhe, conosco, para, implementar",True,True,63.0,medium
ChIJA05YPGV_45QRR-SMxdLRB6M,https://www.google.com/maps/place/?q=place_id:ChIJA05YPGV_45QRR-SMxdLRB6M,Arte Bella Bordados,Loja de bordados,"R. Romano Anselmo Fontana, 158 - Centro, Concórdia - SC, 89700-000",(49) 98821-5998,+55 49 98821-5998,,,"-27.2315059,-52.030312099999996",4.7,2,Serigrafia e estamparia em Concordia SC,True,False,False,5.1635,0.0138,False,False,,False,False,43.0,small
ChIJGf_DylM4J5URnTGny0GZ8UM,https://www.google.com/maps/place/?q=place_id:ChIJGf_DylM4J5URnTGny0GZ8UM,dezégn Criação & Gráfica Rápida,Designer Gráfico,"R. Cândido Ramos, 41 - Sl 01 - Nazaré, Concórdia - SC, 89707-021",(49) 99946-0691,+55 49 99946-0691,dezegn.com.br,http://dezegn.com.br/,"-27.2359507,-52.0344316",5,14,Serigrafia e estamparia em Concordia SC,True,True,True,13.5403,0.0966,False,False,,False,False,62.0,medium
ChIJGXgOtGt_45QRh7Y8KEHAAY4,https://www.google.com/maps/place/?q=place_id:ChIJGXgOtGt_45QRh7Y8KEHAAY4,BTM Brindes,Fornecedor de Brindes,"R. Vinte e Nove de Julho, 1429 - Itaíba, Concórdia - SC, 89700-000",(49) 3444-5235,+55 49 3444-5235,btmbrindes.com.br,http://www.btmbrindes.com.br/,"-27.240429499999998,-52.0390191",4.6,4,Serigrafia e estamparia em Concordia SC,True,True,True,7.4034,0.0276,True,False,"brindes, personalizado, para, brinde, personalizada, personalizados, porta, detalhes, personalizadas, corporativos",False,True,63.0,medium
ChIJSbQrmWh_45QRqn8bDHZzlVY,https://www.google.com/maps/place/?q=place_id:ChIJSbQrmWh_45QRqn8bDHZzlVY,Nova Print Gráfica E Editora,Gráfica,"R. Tancredo de Almeida Neves, 7180 - São Cristóvão, Concórdia - SC, 89711-880",(49) 3444-1828,+55 49 3444-1828,,,"-27.2255205,-51.9522512",3.9,1,Serigrafia e estamparia em Concordia SC,True,False,False,2.7033,0.0069,False,False,,False,False,33.0,small
ChIJi9IUze6B45QR6alSUSV_82U,https://www.google.com/maps/place/?q=place_id:ChIJi9IUze6B45QR6alSUSV_82U,Graf Sul Etiquetas,Gráfica de etiquetas personalizadas,"Rod. Caetano Chiucchetta, 2514 - Colinas, Concórdia - SC, 89700-489",(49) 3442-6747,+55 49 3442-6747,grafsuletiquetas.com.br,http://www.grafsuletiquetas.com.br/,"-27.2109839,-51.9968169",4.9,5,Serigrafia e estamparia em Concordia SC,True,True,True,8.7796,0.0345,False,False,"para, mais, etiquetas, produtos, qualidade, ideal, veja, produto, comprovada, produzimos",False,True,58.0,medium
