id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ51JBQsjD5JQR1k6wf-l-okQ,https://www.google.com/maps/place/?q=place_id:ChIJ51JBQsjD5JQR1k6wf-l-okQ,Aimirim Propaganda,Agência de publicidade,"Mello - R. Fidêncio de Souza Melo Filho, 169 - | sala 201 - Centro, Xanxerê - SC, 89820-000",(49) 3433-3667,+55 49 3433-3667,aimirimpropaganda.com.br,http://www.aimirimpropaganda.com.br/,"-26.8744445,-52.4064811",4.7,6,Agencias de publicidade em Xanxere SC
ChIJx_Sp7cbD5JQR5d17uw23pUM,https://www.google.com/maps/place/?q=place_id:ChIJx_Sp7cbD5JQR5d17uw23pUM,IPSE MARKETING ESTRATÉGICO,Agência de publicidade,"R. Independência, 40 - Sl 05 - Centro, Xanxerê - SC, 89820-000",(49) 3433-2020,+55 49 3433-2020,ipse.ag,http://www.ipse.ag/,"-26.8786483,-52.404746499999995",5,7,Agencias de publicidade em Xanxere SC
ChIJ78K3J7TD5JQRxUtuC1EjlTo,https://www.google.com/maps/place/?q=place_id:ChIJ78K3J7TD5JQRxUtuC1EjlTo,Wincom Agência de Publicidade,Agência de publicidade,"R. Olávo Bilac, 16 - Sl 25 - Centro, Xanxerê - SC, 89820-000",(49) 99927-5384,+55 49 99927-5384,wincom.com.br,https://www.wincom.com.br/novo/,"-26.876081199999998,-52.4067012",5,1,Agencias de publicidade em Xanxere SC
ChIJQx9LADfC5JQRJ7i3d4pOvKU,https://www.google.com/maps/place/?q=place_id:ChIJQx9LADfC5JQRJ7i3d4pOvKU,2op Digital,Agência de Marketing,"R. Araguaia, 494 - Colatto, Xanxerê - SC, 89820-000",(49) 3431-0070,+55 49 3431-0070,2op.com.br,https://2op.com.br/,"-26.877569299999998,-52.395754499999995",4.8,3,Agencias de publicidade em Xanxere SC
ChIJOcantk7C5JQR1HTb0fAA9oM,https://www.google.com/maps/place/?q=place_id:ChIJOcantk7C5JQR1HTb0fAA9oM,3DW Propaganda e Publicidade,Agência de publicidade,"R. Manaus, 70 - Esportes, Xanxerê - SC, 89820-000",(49) 3433-2152,+55 49 3433-2152,3dw.com.br,http://3dw.com.br/,"-26.8692654,-52.3975316",4,1,Agencias de publicidade em Xanxere SC
ChIJu6eYcAfD5JQR1H558rT-1VQ,https://www.google.com/maps/place/?q=place_id:ChIJu6eYcAfD5JQR1H558rT-1VQ,Firmus Performance,Agência de Marketing,"R. Duque de Caxias, 216 - Sala 5 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 99805-1983,+55 49 99805-1983,firmusperformance.com.br,https://www.firmusperformance.com.br/,"-26.8828188,-52.399702399999995",5,13,Agencias de publicidade em Xanxere SC
ChIJdaf9qBvD5JQR4kYGaGvlZf8,https://www.google.com/maps/place/?q=place_id:ChIJdaf9qBvD5JQR4kYGaGvlZf8,Carro de som de rua em Xanxerê - Produx Meta,Agência de publicidade,"R. Domingos Marca, 760 - Nsa. Sra. de Lurdes, Xanxerê - SC, 89820-000",(49) 99148-8499,+55 49 99148-8499,,,"-26.847908099999998,-52.4095763",5,2,Agencias de publicidade em Xanxere SC
ChIJ-bOjXRvVCkAREBU1JE7IvoA,https://www.google.com/maps/place/?q=place_id:ChIJ-bOjXRvVCkAREBU1JE7IvoA,Agência OKSE - Possibilidades Infinitas,Agência de marketing digital,"Rua Arduino Antonioli Veneza ardoino antonioli, Xanxerê - SC, 89820-000",(49) 99983-7731,+55 49 99983-7731,agenciaokse.com.br,http://www.agenciaokse.com.br/,"-26.8752449,-52.4136235",5,14,Agencias de publicidade em Xanxere SC
ChIJkeZVOzfC5JQRU9huIFMYaSA,https://www.google.com/maps/place/?q=place_id:ChIJkeZVOzfC5JQRU9huIFMYaSA,Pró3Comunicação,Serviço de publicidade,"R. Três Estrelas = Ouro Preto, 315 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 3431-0048,+55 49 3431-0048,pro3comunicacao.com.br,http://pro3comunicacao.com.br/,"-26.8817061,-52.394878999999996",4.8,3,Agencias de publicidade em Xanxere SC
ChIJ4TM-fdbD5JQRqos0rHsv6io,https://www.google.com/maps/place/?q=place_id:ChIJ4TM-fdbD5JQRqos0rHsv6io,Agência Digital Ciclos,Agência de marketing digital,,(49) 99928-4174,+55 49 99928-4174,,,"-14.4095262,-51.3168626",5,5,Agencias de publicidade em Xanxere SC
