id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ57OvGGLD5JQRuLXfMMvZ29k,https://www.google.com/maps/place/?q=place_id:ChIJ57OvGGLD5JQRuLXfMMvZ29k,LOOÏS Personalizados,Fornecedor de Brindes,"R. Maria do Nascimento, 298 - Veneza, Xanxerê - SC, 89820-000",(49) 99824-9731,+55 49 99824-9731,looispersonalizados.com.br,https://looispersonalizados.com.br/,"-26.876817,-52.4157406",4.9,44,Brindes corporativos em Xanxere SC
ChIJUajK9jDC5JQRgXk54URkLYk,https://www.google.com/maps/place/?q=place_id:ChIJUajK9jDC5JQRgXk54URkLYk,Brindes Picolli,Fabricante,"R. Armando Marinho, 62 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 98406-0159,+55 49 98406-0159,,,"-26.881133799999997,-52.394874599999994",4.7,18,Brindes corporativos em Xanxere SC
ChIJUxSdGQfD5JQRJRuZLKTGHj0,https://www.google.com/maps/place/?q=place_id:ChIJUxSdGQfD5JQRJRuZLKTGHj0,Personalyze Presentes,Fornecedor de Brindes,"R. José Aviloff, 191 - Leandro, Xanxerê - SC, 89820-000",(49) 99950-4908,+55 49 99950-4908,,,"-26.8567583,-52.398246099999994",4.9,29,Brindes corporativos em Xanxere SC
ChIJfbChrL3D5JQR79pU9fO2Yj0,https://www.google.com/maps/place/?q=place_id:ChIJfbChrL3D5JQR79pU9fO2Yj0,Restelatto Brindes,Fornecedor de Brindes,"R. Luís Bodanese, 304 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 99917-2747,+55 49 99917-2747,restelatto.com.br,https://restelatto.com.br/,"-26.8843419,-52.3968749",,11,Brindes corporativos em Xanxere SC
ChIJXymBV2DD5JQR8W7ZyYkDnP8,https://www.google.com/maps/place/?q=place_id:ChIJXymBV2DD5JQR8W7ZyYkDnP8,Ateliê Versos Simples,Fornecedor de Brindes,"R. Cel. Passos Maia, 475 - apto 2 - Centro, Xanxerê - SC, 89820-000",(49) 99989-0798,+55 49 99989-0798,instagram.com,https://www.instagram.com/atelieversossimples?igsh=Z3ZybXQ5d2Z4OHZr,"-26.878270699999998,-52.406192399999995",5,9,Brindes corporativos em Xanxere SC
ChIJQ1G5yLfD5JQR24G_tvYOTbg,https://www.google.com/maps/place/?q=place_id:ChIJQ1G5yLfD5JQR24G_tvYOTbg,ZAGO - Premiações e Brindes,Fabricante,"R. da Paz, 57 - La Salle, Xanxerê - SC, 89820-000",(49) 99960-7500,+55 49 99960-7500,,,"-26.8791549,-52.4120433",5,17,Brindes corporativos em Xanxere SC
ChIJ_T-qvhDD5JQRq88NhC74CmU,https://www.google.com/maps/place/?q=place_id:ChIJ_T-qvhDD5JQRq88NhC74CmU,Joyp personalizados,Fornecedor de Brindes,"R. Barão do Rio Branco, 315 - La Salle, Xanxerê - SC, 89820-000",(49) 99978-9627,+55 49 99978-9627,facebook.com,https://www.facebook.com/paziinn,"-26.880682,-52.407213299999995",,1,Brindes corporativos em Xanxere SC
ChIJy3894VTC5JQR9aB_hd_2tPs,https://www.google.com/maps/place/?q=place_id:ChIJy3894VTC5JQR9aB_hd_2tPs,FABRICA BONÉ Indústria e Comércio,Fornecedor de Brindes,"FABRICA BONÉS - R. Tervino Tozatti, 609 - Nossa Sra. Lourdes, Xanxerê - SC, 89820-000",(49) 3433-2418,+55 49 3433-2418,,,"-26.8579425,-52.402209199999994",4.3,3,Brindes corporativos em Xanxere SC
ChIJab5KD5_D5JQRJsaCRvtR7SE,https://www.google.com/maps/place/?q=place_id:ChIJab5KD5_D5JQRJsaCRvtR7SE,Mimos da Mara,Loja de presentes,"R. Concórdia, 125 - Esportes, Xanxerê - SC, 89820-000",(49) 99999-4777,+55 49 99999-4777,,,"-26.867292499999998,-52.3967144",4.9,251,Brindes corporativos em Xanxere SC
ChIJYcIZ0Ka35JQRhmOgc77IP4M,https://www.google.com/maps/place/?q=place_id:ChIJYcIZ0Ka35JQRhmOgc77IP4M,MPR Brindes,Fornecedor de Brindes,"R. das Palmas, 474 - Paraíso, Chapecó - SC, 89806-848",(49) 99807-1298,+55 49 99807-1298,mprbrindes.com.br,https://www.mprbrindes.com.br/,"-27.089335199999997,-52.5860324",4.9,169,Brindes corporativos em Xanxere SC
