id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query,has_phone,has_website,domain_valid,rating_score,review_density,web_has_contact,web_has_services,web_keywords,web_is_modern,web_scraped,score,segment
ChIJm5fBhnzD5JQR-Mq--CcZnOs,https://www.google.com/maps/place/?q=place_id:ChIJm5fBhnzD5JQR-Mq--CcZnOs,OdontoTop Xanxerê,Dentista,"R. Cel. Passos Maia, 768 - Centro, Xanxerê - SC, 89820-000",(49) 3050-1135,+55 49 3050-1135,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/xanxere/,"-26.8758499,-52.407127599999995",4.9,34,Clinicas odontologicas em Xanxere SC,True,True,True,17.4212,0.5763,False,False,,False,False,62.0,medium
ChIJoThl4uvD5JQRDuIY8_Gvr4o,https://www.google.com/maps/place/?q=place_id:ChIJoThl4uvD5JQRDuIY8_Gvr4o,ProntoUnic Xanxerê,Clínica odontológica,"R. Independência, 67 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 99806-8490,+55 49 99806-8490,,,"-26.879013099999998,-52.404928399999996",4.9,10,Clinicas odontologicas em Xanxere SC,True,False,False,11.7497,0.1695,False,False,,False,False,47.0,small
ChIJZ-2ZtAHD5JQRN8tca1aT5lg,https://www.google.com/maps/place/?q=place_id:ChIJZ-2ZtAHD5JQRN8tca1aT5lg,Unica Odontologia Moderna Xanxerê,Clínica odontológica,"R. Cel. Santos Marinho, 271 - Centro, Xanxerê - SC, 89820-000",(49) 99807-8331,+55 49 99807-8331,unicaodontologiamoderna.com.br,https://xanxere.unicaodontologiamoderna.com.br/,"-26.878943,-52.4013546",4.9,23,Clinicas odontologicas em Xanxere SC,True,True,True,15.5725,0.3898,False,False,"mais, agende, consulta, odontologia, para, sorriso, ainda, quero, saber, moderna",False,True,62.0,medium
ChIJVZiTIyfD5JQRS9k0aDJgMhA,https://www.google.com/maps/place/?q=place_id:ChIJVZiTIyfD5JQRS9k0aDJgMhA,Odonto Xanxerê,Clínica odontológica,"R. Independência, 99 - Centro, Xanxerê - SC, 89820-000",(49) 3433-4339,+55 49 3433-4339,odontoxanxere.com.br,http://www.odontoxanxere.com.br/,"-26.8791194,-52.4051529",5,7,Clinicas odontologicas em Xanxere SC,True,True,True,10.3972,0.1186,False,False,,False,False,58.0,medium
ChIJ55L2ZWPD5JQRNazkNo6OuhI,https://www.google.com/maps/place/?q=place_id:ChIJ55L2ZWPD5JQRNazkNo6OuhI,Oral Unic Implantes Xanxerê,Clínica odontológica,"R. Rui Barbosa, 238 - Centro, Xanxerê - SC, 89820-000",(49) 3305-2600,+55 49 3305-2600,oralunicxanxere.com.br,https://oralunicxanxere.com.br/,"-26.8782428,-52.4046368",4.8,24,Clinicas odontologicas em Xanxere SC,True,True,True,15.4506,0.4068,False,False,"agendar, consulta, saiba, mais, sorriso, oral, unic, dentista, tratamentos, tudo",True,True,67.0,medium
ChIJo_qdp4LD5JQRbSBDEQPauK0,https://www.google.com/maps/place/?q=place_id:ChIJo_qdp4LD5JQRbSBDEQPauK0,Dentista em Xanxerê I Chape Centro de Especialidades Xanxerê,Dentista,"Ed. Ouro Preto - R. Ouro Preto, 67 - Sl 2 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 3433-1835,+55 49 3433-1835,chape.med.br,http://chape.med.br/,"-26.881289799999998,-52.3975018",4.9,8,Clinicas odontologicas em Xanxere SC,True,True,True,10.7664,0.1356,False,False,,False,False,58.0,medium
ChIJwXrVYbXD5JQR3UkvN9TdKp8,https://www.google.com/maps/place/?q=place_id:ChIJwXrVYbXD5JQR3UkvN9TdKp8,Odonto San,Clínica odontológica,"R. José de Miranda Ramos, 148 - Centro, Xanxerê - SC, 89820-000",(49) 3433-1299,+55 49 3433-1299,contate.me,https://contate.me/whatsodontosanxanxere,"-26.877308199999998,-52.4053398",4.6,10,Clinicas odontologicas em Xanxere SC,True,True,True,11.0303,0.1695,False,False,,True,True,67.0,medium
ChIJNXoOAdrD5JQRLN1rJDLmYBA,https://www.google.com/maps/place/?q=place_id:ChIJNXoOAdrD5JQRLN1rJDLmYBA,OrthoDontic,Clínica odontológica,"R. Rui Barbosa, 266 - Sl 01 - Centro, Xanxerê - SC, 89820-000",(49) 99902-4349,+55 49 99902-4349,orthodonticbrasil.com.br,https://www.orthodonticbrasil.com.br/clinicas/clinica-odontologica-orthodontic-xanxere-551/,"-26.8785034,-52.404637",5,7,Clinicas odontologicas em Xanxere SC,True,True,True,10.3972,0.1186,False,False,"sexta, segunda, quarta, quinta, mais, saiba, para, aparelho, orthodontic, blog",False,True,58.0,medium
ChIJLzUjsKTD5JQRMB3s1ppBAew,https://www.google.com/maps/place/?q=place_id:ChIJLzUjsKTD5JQRMB3s1ppBAew,Dra. Letícia Nespolo - Consultório Odontológico,Clínica odontológica,"Edifício Empresarial Rui Barbosa - R. Rui Barbosa, Sl 302 - Centro, Xanxerê - SC, 89820-000",(49) 99922-8021,+55 49 99922-8021,,,"-26.8785156,-52.4045226",5,59,Clinicas odontologicas em Xanxere SC,True,False,False,20.4717,1.0,False,False,,False,False,52.0,medium
ChIJq1B1nrbD5JQRbv-PIPkTE_A,https://www.google.com/maps/place/?q=place_id:ChIJq1B1nrbD5JQRbv-PIPkTE_A,"• PERFIL CLINIC • (sorriso, face & saúde)",Clínica odontológica,"R. Independência, 807 - Sl 02 - Centro, Xanxerê - SC, 89820-000",(49) 3433-9551,+55 49 3433-9551,instagram.com,https://instagram.com/perfilclinic/,"-26.8810887,-52.411871299999994",5,12,Clinicas odontologicas em Xanxere SC,True,True,True,12.8247,0.2034,False,False,instagram,True,True,67.0,medium
ChIJNaOAKMvD5JQRnn0Amjk74SE,https://www.google.com/maps/place/?q=place_id:ChIJNaOAKMvD5JQRnn0Amjk74SE,Odonto Excellence - Xanxerê,Dentista,"R. Barão do Rio Branco, 68 - Centro, Xanxerê - SC, 89820-000",(49) 3433-7557,+55 49 3433-7557,prontounic.com.br,https://prontounic.com.br/,"-26.8795471,-52.404578799999996",4.4,4,Clinicas odontologicas em Xanxere SC,True,True,True,7.0815,0.0678,False,False,"prontounic, odontologia, para, centro, pinhalzinho, especializada, agende, consulta, cada, atendimento",False,True,53.0,medium
ChIJ0ROo1DTC5JQRbbIHi6YmoKE,https://www.google.com/maps/place/?q=place_id:ChIJ0ROo1DTC5JQRbbIHi6YmoKE,Brandelero Odontologia - Dra. Linete e Dr. Matheus,Clínica odontológica,"R. Mal. Borman, 17 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 99945-5338,+55 49 99945-5338,,,"-26.879362399999998,-52.4035191",5,10,Clinicas odontologicas em Xanxere SC,True,False,False,11.9895,0.1695,False,False,,False,False,47.0,small
ChIJP_nGeCXD5JQRi3k5dD3-YHs,https://www.google.com/maps/place/?q=place_id:ChIJP_nGeCXD5JQRi3k5dD3-YHs,Clínica De Moura - Odontologia,Clínica odontológica,"R. Rui Barbosa, 266 - Centro, Xanxerê - SC, 89820-000",(49) 98501-8585,+55 49 98501-8585,,,"-26.8785034,-52.404637",,10,Clinicas odontologicas em Xanxere SC,True,False,False,0.0,0.1695,False,False,,False,False,22.0,micro
ChIJK0P383PD5JQRGQJ_Wp_KXBg,https://www.google.com/maps/place/?q=place_id:ChIJK0P383PD5JQRGQJ_Wp_KXBg,Tomodoc Xanxerê,Clínica odontológica,"R. Cel. Santos Marinho, 347 - Centro, Xanxerê - SC, 89820-000",(49) 3430-0202,+55 49 3430-0202,tomodoc.radiomemory.com.br,https://tomodoc.radiomemory.com.br/home/?a=bemvindo,"-26.8790679,-52.4006428",5,10,Clinicas odontologicas em Xanxere SC,True,True,True,11.9895,0.1695,False,False,"nome, agendamento, data, fechar, senha, exame, email, tipo, dentista, tarde",False,True,62.0,medium
ChIJUW6YWijD5JQREx6sfy6lmWk,https://www.google.com/maps/place/?q=place_id:ChIJUW6YWijD5JQREx6sfy6lmWk,Dr Matheus Brandelero - Reabilitação Oral e Implantes dentários,Clínica odontológica,"R. Mal. Borman, 17 - Centro, Xanxerê - SC, 89820-000",(49) 99945-5338,+55 49 99945-5338,api.whatsapp.com,https://api.whatsapp.com/send/?phone=5549999455338,"-26.8792534,-52.4034512",5,12,Clinicas odontologicas em Xanxere SC,True,True,True,12.8247,0.2034,True,True,"whatsapp, download, security, privacy, help, center, features, blog, apps, business",True,True,77.0,large
ChIJB0oN843D5JQRKhBwgJV2ibA,https://www.google.com/maps/place/?q=place_id:ChIJB0oN843D5JQRKhBwgJV2ibA,Consultório odontológico Angela tomasi,Clínica odontológica,"José Bonifácio, 235 - S. 305 - Centro, Xanxerê - SC, 89820-000",(49) 99923-5316,+55 49 99923-5316,,,"-26.8793993,-52.4078027",5,4,Clinicas odontologicas em Xanxere SC,True,False,False,8.0472,0.0678,False,False,,False,False,43.0,small
ChIJtaRWqPTD5JQRgX1jP0ctwFI,https://www.google.com/maps/place/?q=place_id:ChIJtaRWqPTD5JQRgX1jP0ctwFI,Dra. Mirely Silveira Fernandes- Dentista de criança,Dentista,"R. Independência, 1068 - La Salle, Xanxerê - SC, 89820-000",(49) 99825-8181,+55 49 99825-8181,instagram.com,https://www.instagram.com/dentistamirely?igsh=OW0zeTltNDV1YmIz&utm_source=qr,"-26.881464899999997,-52.4155741",5,7,Clinicas odontologicas em Xanxere SC,True,True,True,10.3972,0.1186,False,False,instagram,True,True,63.0,medium
ChIJHQ9tfkvC5JQRGbIp-LXRlaI,https://www.google.com/maps/place/?q=place_id:ChIJHQ9tfkvC5JQRGbIp-LXRlaI,"Clínica Odontológica Orthonew: Alinhadores Invisíveis, Aparelho Ortodôntico, Ortodontia,Tratamento dentários, Dentista, Xanxerê SC",Cirurgião dentista,"R. Papa João XXIII, 733 - Esportes, Xanxerê - SC, 89820-000",(49) 3433-5487,+55 49 3433-5487,snapaligner.com,https://snapaligner.com/,"-26.8710201,-52.4015376",5,10,Clinicas odontologicas em Xanxere SC,True,True,True,11.9895,0.1695,False,False,"snap, aligner, dentista, alinhadores, tratamento, transparente, para, precisa, alinhador, paciente",False,True,62.0,medium
ChIJwU9XTgDD5JQReN1iD2DCRcg,https://www.google.com/maps/place/?q=place_id:ChIJwU9XTgDD5JQReN1iD2DCRcg,De Moura Odontologia Premium,Clínica odontológica,"R. Rui Barbosa, 266 - Centro, Xanxerê - SC, 89820-000",(49) 98501-8585,+55 49 98501-8585,instagram.com,https://www.instagram.com/demouraodontologia?igsh=NGRjYWx3Zzh1MjF1,"-26.8785034,-52.404637",,1,Clinicas odontologicas em Xanxere SC,True,True,True,0.0,0.0169,False,False,instagram,True,True,38.0,small
ChIJPSKcacjD5JQREpxAEhFhUJE,https://www.google.com/maps/place/?q=place_id:ChIJPSKcacjD5JQREpxAEhFhUJE,Dr. Leandro Machado,Clínica odontológica,"R. Independência, 960 - Sala 1 - Matinho, Xanxerê - SC, 89820-000",(49) 99911-0594,+55 49 99911-0594,drleandromachado.com,https://www.drleandromachado.com/,"-26.881104699999998,-52.4134375",5,43,Clinicas odontologicas em Xanxere SC,True,True,True,18.9209,0.7288,False,False,,False,False,62.0,medium
