id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJm5fBhnzD5JQR-Mq--CcZnOs,https://www.google.com/maps/place/?q=place_id:ChIJm5fBhnzD5JQR-Mq--CcZnOs,OdontoTop Xanxerê,Dentista,"R. Cel. Passos Maia, 768 - Centro, Xanxerê - SC, 89820-000",(49) 3050-1135,+55 49 3050-1135,odontotophospitaldodente.com.br,https://odontotophospitaldodente.com.br/xanxere/,"-26.8758499,-52.407127599999995",4.9,34,Clinicas odontologicas em Xanxere SC
ChIJoThl4uvD5JQRDuIY8_Gvr4o,https://www.google.com/maps/place/?q=place_id:ChIJoThl4uvD5JQRDuIY8_Gvr4o,ProntoUnic Xanxerê,Clínica odontológica,"R. Independência, 67 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 99806-8490,+55 49 99806-8490,,,"-26.879013099999998,-52.404928399999996",4.9,10,Clinicas odontologicas em Xanxere SC
ChIJZ-2ZtAHD5JQRN8tca1aT5lg,https://www.google.com/maps/place/?q=place_id:ChIJZ-2ZtAHD5JQRN8tca1aT5lg,Unica Odontologia Moderna Xanxerê,Clínica odontológica,"R. Cel. Santos Marinho, 271 - Centro, Xanxerê - SC, 89820-000",(49) 99807-8331,+55 49 99807-8331,unicaodontologiamoderna.com.br,https://xanxere.unicaodontologiamoderna.com.br/,"-26.878943,-52.4013546",4.9,23,Clinicas odontologicas em Xanxere SC
ChIJVZiTIyfD5JQRS9k0aDJgMhA,https://www.google.com/maps/place/?q=place_id:ChIJVZiTIyfD5JQRS9k0aDJgMhA,Odonto Xanxerê,Clínica odontológica,"R. Independência, 99 - Centro, Xanxerê - SC, 89820-000",(49) 3433-4339,+55 49 3433-4339,odontoxanxere.com.br,http://www.odontoxanxere.com.br/,"-26.8791194,-52.4051529",5,7,Clinicas odontologicas em Xanxere SC
ChIJ55L2ZWPD5JQRNazkNo6OuhI,https://www.google.com/maps/place/?q=place_id:ChIJ55L2ZWPD5JQRNazkNo6OuhI,Oral Unic Implantes Xanxerê,Clínica odontológica,"R. Rui Barbosa, 238 - Centro, Xanxerê - SC, 89820-000",(49) 3305-2600,+55 49 3305-2600,oralunicxanxere.com.br,https://oralunicxanxere.com.br/,"-26.8782428,-52.4046368",4.8,24,Clinicas odontologicas em Xanxere SC
ChIJo_qdp4LD5JQRbSBDEQPauK0,https://www.google.com/maps/place/?q=place_id:ChIJo_qdp4LD5JQRbSBDEQPauK0,Dentista em Xanxerê I Chape Centro de Especialidades Xanxerê,Dentista,"Ed. Ouro Preto - R. Ouro Preto, 67 - Sl 2 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 3433-1835,+55 49 3433-1835,chape.med.br,http://chape.med.br/,"-26.881289799999998,-52.3975018",4.9,8,Clinicas odontologicas em Xanxere SC
ChIJwXrVYbXD5JQR3UkvN9TdKp8,https://www.google.com/maps/place/?q=place_id:ChIJwXrVYbXD5JQR3UkvN9TdKp8,Odonto San,Clínica odontológica,"R. José de Miranda Ramos, 148 - Centro, Xanxerê - SC, 89820-000",(49) 3433-1299,+55 49 3433-1299,contate.me,https://contate.me/whatsodontosanxanxere,"-26.877308199999998,-52.4053398",4.6,10,Clinicas odontologicas em Xanxere SC
ChIJNXoOAdrD5JQRLN1rJDLmYBA,https://www.google.com/maps/place/?q=place_id:ChIJNXoOAdrD5JQRLN1rJDLmYBA,OrthoDontic,Clínica odontológica,"R. Rui Barbosa, 266 - Sl 01 - Centro, Xanxerê - SC, 89820-000",(49) 99902-4349,+55 49 99902-4349,orthodonticbrasil.com.br,https://www.orthodonticbrasil.com.br/clinicas/clinica-odontologica-orthodontic-xanxere-551/,"-26.8785034,-52.404637",5,7,Clinicas odontologicas em Xanxere SC
ChIJLzUjsKTD5JQRMB3s1ppBAew,https://www.google.com/maps/place/?q=place_id:ChIJLzUjsKTD5JQRMB3s1ppBAew,Dra. Letícia Nespolo - Consultório Odontológico,Clínica odontológica,"Edifício Empresarial Rui Barbosa - R. Rui Barbosa, Sl 302 - Centro, Xanxerê - SC, 89820-000",(49) 99922-8021,+55 49 99922-8021,,,"-26.8785156,-52.4045226",5,59,Clinicas odontologicas em Xanxere SC
ChIJq1B1nrbD5JQRbv-PIPkTE_A,https://www.google.com/maps/place/?q=place_id:ChIJq1B1nrbD5JQRbv-PIPkTE_A,"• PERFIL CLINIC • (sorriso, face & saúde)",Clínica odontológica,"R. Independência, 807 - Sl 02 - Centro, Xanxerê - SC, 89820-000",(49) 3433-9551,+55 49 3433-9551,instagram.com,https://instagram.com/perfilclinic/,"-26.8810887,-52.411871299999994",5,12,Clinicas odontologicas em Xanxere SC
ChIJNaOAKMvD5JQRnn0Amjk74SE,https://www.google.com/maps/place/?q=place_id:ChIJNaOAKMvD5JQRnn0Amjk74SE,Odonto Excellence - Xanxerê,Dentista,"R. Barão do Rio Branco, 68 - Centro, Xanxerê - SC, 89820-000",(49) 3433-7557,+55 49 3433-7557,prontounic.com.br,https://prontounic.com.br/,"-26.8795471,-52.404578799999996",4.4,4,Clinicas odontologicas em Xanxere SC
ChIJ0ROo1DTC5JQRbbIHi6YmoKE,https://www.google.com/maps/place/?q=place_id:ChIJ0ROo1DTC5JQRbbIHi6YmoKE,Brandelero Odontologia - Dra. Linete e Dr. Matheus,Clínica odontológica,"R. Mal. Borman, 17 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 99945-5338,+55 49 99945-5338,,,"-26.879362399999998,-52.4035191",5,10,Clinicas odontologicas em Xanxere SC
ChIJP_nGeCXD5JQRi3k5dD3-YHs,https://www.google.com/maps/place/?q=place_id:ChIJP_nGeCXD5JQRi3k5dD3-YHs,Clínica De Moura - Odontologia,Clínica odontológica,"R. Rui Barbosa, 266 - Centro, Xanxerê - SC, 89820-000",(49) 98501-8585,+55 49 98501-8585,,,"-26.8785034,-52.404637",,10,Clinicas odontologicas em Xanxere SC
