id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ3XSrsrXD5JQRbuYBehRiuH8,https://www.google.com/maps/place/?q=place_id:ChIJ3XSrsrXD5JQRbuYBehRiuH8,Mhundo Comunicação Visual,Designer Gráfico,"Av. La Salle, 599 - La Salle, Xanxerê - SC, 89820-000",(49) 99839-8484,+55 49 99839-8484,,,"-26.8788259,-52.4125635",4.8,5,Comunicacao visual em Xanxere SC
ChIJcRW9cMrD5JQR3MOEn__sbtg,https://www.google.com/maps/place/?q=place_id:ChIJcRW9cMrD5JQR3MOEn__sbtg,Bampi Comunicação Visual e Gráfica Expressa,Serviço de impressão digital,"BR-282, km 510 - Distrito Industrial, Xanxerê - SC, 89820-000",(49) 3433-1237,+55 49 3433-1237,instagram.com,https://www.instagram.com/bampicomunicacaovisual/,"-26.8862353,-52.436992599999996",4.8,47,Comunicacao visual em Xanxere SC
ChIJ62CchwrD5JQR3De3eznmULc,https://www.google.com/maps/place/?q=place_id:ChIJ62CchwrD5JQR3De3eznmULc,Talento Comunicação Visual,Loja de comunicação visual em vinil,"R. Francisco Grassi, N: 527 - Primo Tacca, Xanxerê - SC, 89820-000",(49) 99955-9881,+55 49 99955-9881,instagram.com,https://www.instagram.com/talento_comunicacao_visual/,"-26.8632009,-52.408990599999996",5,11,Comunicacao visual em Xanxere SC
ChIJleS0OsTD5JQR-0fFUQEnwYQ,https://www.google.com/maps/place/?q=place_id:ChIJleS0OsTD5JQR-0fFUQEnwYQ,Impacto Comunicação Visual,Loja de comunicação visual em vinil,"R. Independência, 1068 - La Salle, Xanxerê - SC, 89820-000",(49) 98893-5987,+55 49 98893-5987,instagram.com,https://www.instagram.com/impactograficacomunicacao/,"-26.8812294,-52.414635399999995",,12,Comunicacao visual em Xanxere SC
ChIJKVjtonXD5JQRCfEcJqGNCxA,https://www.google.com/maps/place/?q=place_id:ChIJKVjtonXD5JQRCfEcJqGNCxA,Cuca Comunicação Visual,Gráfica,"R. Independência, 1068 - La Salle, Xanxerê - SC, 89820-000",(49) 99918-4640,+55 49 99918-4640,,,"-26.8812388,-52.414638599999996",4.8,2,Comunicacao visual em Xanxere SC
ChIJ5wJWPzTC5JQRBKzsWehsB3o,https://www.google.com/maps/place/?q=place_id:ChIJ5wJWPzTC5JQRBKzsWehsB3o,Wagnerart Propaganda,Impressão digital,"R. Tocantins, 30 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 3433-5509,+55 49 3433-5509,wagnerart.com.br,http://www.wagnerart.com.br/,"-26.881505699999998,-52.3961507",5,64,Comunicacao visual em Xanxere SC
ChIJ-T4We1PD5JQRFKJ0qqWYbRs,https://www.google.com/maps/place/?q=place_id:ChIJ-T4We1PD5JQRFKJ0qqWYbRs,Digital power Comunicação Visual,Gráfica,"R. Natal, 40 - Número 40 - Vila Sesamo, Xanxerê - SC, 89820-000",(49) 99991-9921,+55 49 99991-9921,instagram.com,https://www.instagram.com/digitalpower28/,"-26.8691067,-52.4220091",4.7,25,Comunicacao visual em Xanxere SC
ChIJzQeDPMjD5JQRi9mDn2iwDPU,https://www.google.com/maps/place/?q=place_id:ChIJzQeDPMjD5JQRi9mDn2iwDPU,3de comunicação visual,Impressão digital,"Rua Joinville, 63 - Colatto, Xanxerê - SC, 89820-000",(49) 99812-0519,+55 49 99812-0519,,,"-26.8798267,-52.3987473",3.9,17,Comunicacao visual em Xanxere SC
ChIJ20Fb4OfD5JQRFxxyn07AwXI,https://www.google.com/maps/place/?q=place_id:ChIJ20Fb4OfD5JQRFxxyn07AwXI,Romanos Comunicação Visual,Designer Gráfico,"R. Maranhão, n° 1251 - Castelo Branco, Xanxerê - SC, 89820-000",(49) 99813-7503,+55 49 99813-7503,,,"-26.878109499999997,-52.388311699999996",,1,Comunicacao visual em Xanxere SC
ChIJzWEvy2_D5JQR0e37unmUhUc,https://www.google.com/maps/place/?q=place_id:ChIJzWEvy2_D5JQR0e37unmUhUc,Criativa Luminosos e Fachadas,Loja de comunicação visual em vinil,"R. Dr. Selistre de Campos, 457 - Centro, Xanxerê - SC, 89820-000",(49) 99906-7508,+55 49 99906-7508,,,"-26.8730476,-52.4060561",5,22,Comunicacao visual em Xanxere SC
