id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJyxd2ZsrD5JQRti6KfrvWWtM,https://www.google.com/maps/place/?q=place_id:ChIJyxd2ZsrD5JQRti6KfrvWWtM,Ideal Veículos Matriz,Concessionária,"R. Dr. Victor Konder, 515 - Centro, Xanxerê - SC, 89820-000",(49) 3433-8978,+55 49 3433-8978,idealveiculosoeste.com.br,http://www.idealveiculosoeste.com.br/,"-26.8782015,-52.4075701",4.3,62,Concessionarias de veiculos em Xanxere SC
ChIJcUunEDXC5JQRgpWu61jqCVc,https://www.google.com/maps/place/?q=place_id:ChIJcUunEDXC5JQRgpWu61jqCVc,Auto Xanxere,Concessionária Volkswagen,"R. José de Miranda Ramos, 56 - Centro, Xanxerê - SC, 89820-000",(49) 3441-8600,+55 49 3441-8600,autoxanxere.com.br,http://www.autoxanxere.com.br/,"-26.877046999999997,-52.406478",4.5,82,Concessionarias de veiculos em Xanxere SC
ChIJVVWucK7D5JQRMAsVZNlOw_g,https://www.google.com/maps/place/?q=place_id:ChIJVVWucK7D5JQRMAsVZNlOw_g,Arno Multimarcas,Revendedora de carros usados,"R. Vinte e Sete de Fevereiro, 270 - Bortolon, Xanxerê - SC, 89820-000",(49) 3433-7239,+55 49 3433-7239,arnomultimarcas.com.br,https://arnomultimarcas.com.br/,"-26.8664317,-52.409500099999995",4.5,37,Concessionarias de veiculos em Xanxere SC
ChIJ-YoOYwDD5JQRKytrOEH9pXA,https://www.google.com/maps/place/?q=place_id:ChIJ-YoOYwDD5JQRKytrOEH9pXA,Só Veiculos,Concessionária,"Rua Irineu bornhausen, 100-214 - Centro, Xanxerê - SC, 89820-000",(49) 99817-1558,+55 49 99817-1558,,,"-26.872616999999998,-52.408893799999994",5,29,Concessionarias de veiculos em Xanxere SC
ChIJLWCHsrbD5JQRd8yc8xnH7MQ,https://www.google.com/maps/place/?q=place_id:ChIJLWCHsrbD5JQRd8yc8xnH7MQ,Geração Veículos,Concessionária,"R. Dr. Victor Konder, 1120 - La Salle, Xanxerê - SC, 89820-000",(49) 3433-1800,+55 49 3433-1800,geracaomultimarcas.com.br,http://www.geracaomultimarcas.com.br/,"-26.873812899999997,-52.409665999999994",4.4,1,Concessionarias de veiculos em Xanxere SC
ChIJz62a7srD5JQRKHpanU9ODhg,https://www.google.com/maps/place/?q=place_id:ChIJz62a7srD5JQRKHpanU9ODhg,Inova Veículos,Garagem de automóveis,"R. Dr. Victor Konder, 452 - Centro, Xanxerê - SC, 89820-000",(49) 99125-3958,+55 49 99125-3958,veiculosinova.com.br,http://www.veiculosinova.com.br/,"-26.878527,-52.40685",4.6,4,Concessionarias de veiculos em Xanxere SC
ChIJ-dPtdMzD5JQRNumz1uBIeCE,https://www.google.com/maps/place/?q=place_id:ChIJ-dPtdMzD5JQRNumz1uBIeCE,Auto Xanxerê Seminovos,Concessionária de veículos motorizados,"R. Dr. Victor Konder, n1770 - Primo Tacca, Xanxerê - SC, 89820-000",(49) 3433-5529,+55 49 3433-5529,autoxanxere.com.br,https://autoxanxere.com.br/seminovos/,"-26.868620999999997,-52.4114431",3.7,1,Concessionarias de veiculos em Xanxere SC
ChIJR5Q7F7TD5JQR_fHibeyWGOg,https://www.google.com/maps/place/?q=place_id:ChIJR5Q7F7TD5JQR_fHibeyWGOg,Guisolphi Automóveis,Revendedora de carros usados,"R. Cel. Passos Maia, 1578 - Centro, Xanxerê - SC, 89820-000",(49) 3433-2505,+55 49 3433-2505,guisolphiautomoveis.com.br,http://guisolphiautomoveis.com.br/,"-26.8691794,-52.4110191",4.4,19,Concessionarias de veiculos em Xanxere SC
ChIJ0eNyq0jD5JQRQglmTKHf7fo,https://www.google.com/maps/place/?q=place_id:ChIJ0eNyq0jD5JQRQglmTKHf7fo,Ideal Veículos 4X4,Concessionária,"R. Vinte e Sete de Fevereiro, 520 - Bortolon, Xanxerê - SC, 89820-000",(49) 3433-0448,+55 49 3433-0448,idealveiculosoeste.com.br,https://idealveiculosoeste.com.br/,"-26.8637183,-52.4077511",4.2,30,Concessionarias de veiculos em Xanxere SC
ChIJ-WeHBMvD5JQRwazQrsmQRNY,https://www.google.com/maps/place/?q=place_id:ChIJ-WeHBMvD5JQRwazQrsmQRNY,Mega Veículos,Revendedora de carros usados,"R. Barão do Rio Branco, 191 - Centro, Xanxerê - SC, 89820-000",(49) 3433-7803,+55 49 3433-7803,megaveiculosxanxere.com.br,http://megaveiculosxanxere.com.br/,"-26.8802125,-52.4060601",4.8,2,Concessionarias de veiculos em Xanxere SC
ChIJ36DZ1QbD5JQRcdohp4_FrYU,https://www.google.com/maps/place/?q=place_id:ChIJ36DZ1QbD5JQRcdohp4_FrYU,Trotz Veículos | Revenda de Carros em Xanxerê - SC,Garagem de automóveis,"R. Dr. Victor Konder, 1931 - Primo Tacca, Xanxerê - SC, 89820-000",(49) 99913-1775,+55 49 99913-1775,trotz.com.br,http://www.trotz.com.br/,"-26.867825399999997,-52.413322199999996",4.1,3,Concessionarias de veiculos em Xanxere SC
ChIJP4zmWq_D5JQRl_t9cGUlnNw,https://www.google.com/maps/place/?q=place_id:ChIJP4zmWq_D5JQRl_t9cGUlnNw,Ideal Veículos Import,Concessionária,"Av. Brasil, 2700 - Maria Winckler, Xanxerê - SC, 89820-000",(49) 3433-2000,+55 49 3433-2000,idealveiculosoeste.com.br,http://www.idealveiculosoeste.com.br/,"-26.8821954,-52.3816406",4.5,36,Concessionarias de veiculos em Xanxere SC
ChIJy-P18FLD5JQRUncnyBF9rC0,https://www.google.com/maps/place/?q=place_id:ChIJy-P18FLD5JQRUncnyBF9rC0,Auto Certo Veículos,Revendedora de carros usados,"R. Vinte e Sete de Fevereiro, 815 - Bortolon, Xanxerê - SC, 89820-000",(49) 3433-9410,+55 49 3433-9410,autocertoveiculos.com.br,https://autocertoveiculos.com.br/,"-26.862234899999997,-52.4072052",4.3,5,Concessionarias de veiculos em Xanxere SC
ChIJUVNaH93D5JQR7uo92pgvk_s,https://www.google.com/maps/place/?q=place_id:ChIJUVNaH93D5JQR7uo92pgvk_s,Chevrolet DM Auto Xanxerê,Concessionária Chevrolet,"Rodovia BR 282, km 504 5 - São Romero, Xanxerê - SC, 89820-000",(49) 3321-5566,+55 49 3321-5566,dmautochevrolet.com.br,https://www.dmautochevrolet.com.br/?cid=meu_negocio-ddp-316738,"-26.883176499999998,-52.3812612",4.3,12,Concessionarias de veiculos em Xanxere SC
ChIJi6fIQLHD5JQR8ydIaWaUTHc,https://www.google.com/maps/place/?q=place_id:ChIJi6fIQLHD5JQR8ydIaWaUTHc,Indicar Veículos,Concessionária,"R. Dr. Victor Konder, 1242 - Centro, Xanxerê - SC, 89820-000",(49) 3433-2167,+55 49 3433-2167,indicarveiculos.com.br,https://indicarveiculos.com.br/,"-26.872561299999997,-52.410324599999996",4.8,2,Concessionarias de veiculos em Xanxere SC
ChIJW1Uwn7LD5JQReXj-brFD62c,https://www.google.com/maps/place/?q=place_id:ChIJW1Uwn7LD5JQReXj-brFD62c,Conceito Veiculos Ltda,Revendedora de carros usados,"R. Independência, 398 - Centro, Xanxerê - SC, 89820-000",(49) 3433-8432,+55 49 3433-8432,conceitoveiculosxxe.com.br,https://www.conceitoveiculosxxe.com.br/,"-26.8796574,-52.408422699999996",4.3,31,Concessionarias de veiculos em Xanxere SC
ChIJrwU-U3zD5JQR1laSZ3SI58g,https://www.google.com/maps/place/?q=place_id:ChIJrwU-U3zD5JQR1laSZ3SI58g,Via Car Veículos,Concessionária,"R. Dr. Victor Konder, 1094 - sala 02 - La Salle, Xanxerê - SC, 89820-000",(49) 3433-9703,+55 49 3433-9703,,,"-26.8742087,-52.4093179",5,1,Concessionarias de veiculos em Xanxere SC
ChIJ2x8aGbTD5JQRAkk1lGeijBQ,https://www.google.com/maps/place/?q=place_id:ChIJ2x8aGbTD5JQRAkk1lGeijBQ,Liberty Multimarcas,Concessionária,"R. Benjamin Begnini, 161 - Esportes, Xanxerê - SC, 89820-000",(49) 3433-0540,+55 49 3433-0540,libertymultimarcas.com,http://www.libertymultimarcas.com/,"-26.8697643,-52.4017796",4,7,Concessionarias de veiculos em Xanxere SC
ChIJr7PJi2jD5JQRTG-QVesiuFM,https://www.google.com/maps/place/?q=place_id:ChIJr7PJi2jD5JQRTG-QVesiuFM,AVENIDA VEICULOS XANXERE LTDA,Loja,"R. Independência, 810 - La Salle, Xanxerê - SC, 89820-000",(49) 3433-8703,+55 49 3433-8703,,,"-26.880750199999998,-52.4121265",4.8,8,Concessionarias de veiculos em Xanxere SC
ChIJ2w7poanD5JQR4s6mFCxTg-s,https://www.google.com/maps/place/?q=place_id:ChIJ2w7poanD5JQR4s6mFCxTg-s,SUPER AUTO MULTIMARCAS,Revendedora de carros usados,"R. Independência - Centro, Xanxerê - SC, 89820-000",(49) 99915-7454,+55 49 99915-7454,superautoxxe.com.br,https://superautoxxe.com.br/,"-26.8796762,-52.4078628",,22,Concessionarias de veiculos em Xanxere SC
