id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJUQvFVhDD5JQRbuFDrbTkDRw,https://www.google.com/maps/place/?q=place_id:ChIJUQvFVhDD5JQRbuFDrbTkDRw,Conceito Empreendimentos,Construtora,"R. Santos Dumont, 215 - Centro, Xanxerê - SC, 89820-000",(49) 3433-7743,+55 49 3433-7743,conceitoempreendimentos.com.br,https://conceitoempreendimentos.com.br/,"-26.8731647,-52.410847999999994",5,15,Construtoras em Xanxere SC
ChIJb1B35rnD5JQRW_iNCjYy8AM,https://www.google.com/maps/place/?q=place_id:ChIJb1B35rnD5JQRW_iNCjYy8AM,Vaccaro Construtora,Construtora,"Av. Brasil - Castelo Branco, Xanxerê - SC, 89820-000",(49) 99979-1475,+55 49 99979-1475,vaccaroempreendimentos.com.br,https://vaccaroempreendimentos.com.br/,"-26.881874399999997,-52.383249799999994",4.6,4,Construtoras em Xanxere SC
ChIJj0Aoa8zD5JQReLuHuJPoXKU,https://www.google.com/maps/place/?q=place_id:ChIJj0Aoa8zD5JQReLuHuJPoXKU,FBF Construtora,Construtora,"BR-282 - Matinho, Xanxerê - SC, 89820-000",(49) 3433-0744,+55 49 3433-0744,fbfconstrutora.com.br,http://fbfconstrutora.com.br/,"-26.8845499,-52.4079767",4.3,3,Construtoras em Xanxere SC
ChIJTwfZfz3D5JQRfhaL7bt-RG8,https://www.google.com/maps/place/?q=place_id:ChIJTwfZfz3D5JQRfhaL7bt-RG8,"Paulino Construtora, Projetos e Imobiliária",Construtora,"Rua Olimpio Julio Tortato, 323 - Térreo Sala 01 - Centro, Xanxerê - SC, 89820-000",(49) 99940-1083,+55 49 99940-1083,,,"-26.871699099999997,-52.4036726",5,6,Construtoras em Xanxere SC
ChIJOSyvdp7D5JQR6D_64zzoU5E,https://www.google.com/maps/place/?q=place_id:ChIJOSyvdp7D5JQR6D_64zzoU5E,Map Construtora e Incorporadora,Construtora,"R. Adélia Bodanese - Esportes, Xanxerê - SC, 89820-000",(49) 3433-6214,+55 49 3433-6214,,,"-26.8703832,-52.400740299999995",5,3,Construtoras em Xanxere SC
ChIJixbqs7XD5JQR-RbFA6NOONQ,https://www.google.com/maps/place/?q=place_id:ChIJixbqs7XD5JQR-RbFA6NOONQ,Lorenzon Incorporações,Loteamento de terrenos,"Tv. Carmelli, 50 - La Salle, Xanxerê - SC, 89820-000",(49) 3433-2222,+55 49 3433-2222,lorenzonadm.com.br,http://www.lorenzonadm.com.br/,"-26.875376,-52.4082973",4.4,37,Construtoras em Xanxere SC
ChIJKS89AEjD5JQRBdPem-cVikw,https://www.google.com/maps/place/?q=place_id:ChIJKS89AEjD5JQRBdPem-cVikw,JB Empreendimentos,Construtora,"R. Arne Jhonsen, 376 - São Pedro, Xanxerê - SC, 89820-000",(49) 99954-4208,+55 49 99954-4208,instagram.com,https://www.instagram.com/j.b.empreendimentos/,"-26.879986499999998,-52.422941099999996",5,4,Construtoras em Xanxere SC
ChIJNzCNmDPC5JQRZ5KrdIse97w,https://www.google.com/maps/place/?q=place_id:ChIJNzCNmDPC5JQRZ5KrdIse97w,Engedix Soluções de Engenharia,Desenvolvedora de imóveis,"R. Ten. Antônio João, 301 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 3433-3179,+55 49 3433-3179,,,"-26.882086599999997,-52.400222899999996",4.9,1,Construtoras em Xanxere SC
ChIJiX2MvdrD5JQRGG-vzAEiL-Q,https://www.google.com/maps/place/?q=place_id:ChIJiX2MvdrD5JQRGG-vzAEiL-Q,"PRIME Xanxerê - Casas de Madeira, Chalés, Pergolados e Decks",Construtora,"R. Júlio M Romani, 212 - Bairro Tonial, Xanxerê - SC, 89820-000",(49) 99834-1646,+55 49 99834-1646,instagram.com,https://www.instagram.com/prime.casaschales/,"-26.884006099999997,-52.3948184",4.4,43,Construtoras em Xanxere SC
ChIJLTHYrLXD5JQRk7_Id0FxXVY,https://www.google.com/maps/place/?q=place_id:ChIJLTHYrLXD5JQRk7_Id0FxXVY,Engedix Engenharia Xanxerê,Construtora,"Av. Brasil, 79 - Centro, Xanxerê - SC, 89820-000",(49) 3433-3179,+55 49 3433-3179,,,"-26.875262,-52.4068119",5,1,Construtoras em Xanxere SC
ChIJcxLHO4LD5JQRw7I2fkRCfC0,https://www.google.com/maps/place/?q=place_id:ChIJcxLHO4LD5JQRw7I2fkRCfC0,Engeobra Engenharia e Infraestrutura,Empresa de engenharia civil,"R. Batista Fabrício - Santa Cruz, Xanxerê - SC, 89820-000",(49) 99976-0226,+55 49 99976-0226,engeobra.com.br,https://engeobra.com.br/,"-26.8915309,-52.4074934",5,,Construtoras em Xanxere SC
ChIJx7uI60fC5JQR6Ju4pwUVxic,https://www.google.com/maps/place/?q=place_id:ChIJx7uI60fC5JQR6Ju4pwUVxic,J B Prestadora de Serviços,Construtora,"R. Armando Marinho, 1067 - Frederico Ferronatto, Xanxerê - SC, 89820-000",(49) 3433-3659,+55 49 3433-3659,,,"-26.873110699999998,-52.392561099999995",5,1,Construtoras em Xanxere SC
ChIJMQv2_zXC5JQRf1CrfTYgYZ0,https://www.google.com/maps/place/?q=place_id:ChIJMQv2_zXC5JQRf1CrfTYgYZ0,Planeta Construtora,Construtora,"R. Celestino do Nascimento, 718 - São Jorge, Xanxerê - SC, 89820-000",,,,,"-26.875076399999998,-52.398802499999995",5,1,Construtoras em Xanxere SC
ChIJZyAhwl-e7CoRNbTKs64CjJo,https://www.google.com/maps/place/?q=place_id:ChIJZyAhwl-e7CoRNbTKs64CjJo,BAVA Construtora e Metalúrgica Barracões Estruturas Metálicas,Construtora,"R. Nereu Ramos - Xanxerê, SC, 89820-000",(49) 99809-4868,+55 49 99809-4868,,,"-26.871733199999998,-52.4055663",3,7,Construtoras em Xanxere SC
ChIJQTAhWr215JQRLqEyprvm2cE,https://www.google.com/maps/place/?q=place_id:ChIJQTAhWr215JQRLqEyprvm2cE,Construtora MaxSu,Construtora,"R. Santa Anastácia, 478 - Bortolon, Xanxerê - SC, 89820-000",(49) 99948-3075,+55 49 99948-3075,,,"-26.8681232,-52.4077981",,3,Construtoras em Xanxere SC
ChIJ9yOvMhnD5JQRqSrTdUR7Hls,https://www.google.com/maps/place/?q=place_id:ChIJ9yOvMhnD5JQRqSrTdUR7Hls,Casa Forte Empreendimentos,Construtora,"R. Alm. Tamandare, 33 - Centro, Xanxerê - SC, 89820-000",(49) 98823-1468,+55 49 98823-1468,,,"-26.8739703,-52.403127899999994",5,2,Construtoras em Xanxere SC
ChIJ2dtRHfbD5JQR8b1FT1zCopc,https://www.google.com/maps/place/?q=place_id:ChIJ2dtRHfbD5JQR8b1FT1zCopc,Eng,Empresa de engenharia civil,"R. Gilmar Girardini, 70 - 52 - Esportes, Xanxerê - SC, 89820-000",,,,,"-26.8684191,-52.398157",1,1,Construtoras em Xanxere SC
