id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQ9WwPrTD5JQRdfc6H1MkAi8,https://www.google.com/maps/place/?q=place_id:ChIJQ9WwPrTD5JQRdfc6H1MkAi8,Garage Eventos,Empresa de organização de eventos,"R. Cel. Passos Maia, 937 - Sala 02 - Centro, Xanxerê - SC, 89820-000",(49) 3433-6272,+55 49 3433-6272,,,"-26.874569899999997,-52.4082618",4.9,6,Organizacao de eventos corporativos em Xanxere SC
ChIJzbloUQDD5JQRyODofGHyGnk,https://www.google.com/maps/place/?q=place_id:ChIJzbloUQDD5JQRyODofGHyGnk,Faz de Conta Decor,Serviços para festas infantis,"R. Antônio Ogliari, 140 - Veneza, Xanxerê - SC, 89820-000",,,,,"-26.8732071,-52.4118675",5,3,Organizacao de eventos corporativos em Xanxere SC
ChIJ1YCbZgDD5JQRV9pHrJG6scA,https://www.google.com/maps/place/?q=place_id:ChIJ1YCbZgDD5JQRV9pHrJG6scA,Wagner Eventos,Organização de eventos e cerimonial,"Dr - R. José de Miranda Ramos, 737 - Centro, Xanxerê - SC, 89820-000",(49) 99139-9939,+55 49 99139-9939,,,"-26.878926699999997,-52.399819699999995",,4,Organizacao de eventos corporativos em Xanxere SC
ChIJRVRIhL7D5JQRAYor2CpmSDU,https://www.google.com/maps/place/?q=place_id:ChIJRVRIhL7D5JQRAYor2CpmSDU,Grupo Dronar,Empresa de organização de eventos,"Centro Comercial Chaplin - R. Dr. Victor Konder, Sl 404 - Centro, Xanxerê - SC, 89820-000",(49) 99971-1913,+55 49 99971-1913,grupodronar.com.br,https://grupodronar.com.br/,"-26.8748838,-52.4094315",5,5,Organizacao de eventos corporativos em Xanxere SC
ChIJjycVPMvD5JQR5qb9orZWlbs,https://www.google.com/maps/place/?q=place_id:ChIJjycVPMvD5JQR5qb9orZWlbs,Nossa Casa Shows e Eventos,Organização de eventos e cerimonial,"R. Cel. Passos Maia, 184 - La Salle, Xanxerê - SC, 89820-000",(49) 3433-4454,+55 49 3433-4454,,,"-26.880498799999998,-52.4045944",4.1,5,Organizacao de eventos corporativos em Xanxere SC
ChIJX8vG3LfD5JQRUb21FTNEyoY,https://www.google.com/maps/place/?q=place_id:ChIJX8vG3LfD5JQRUb21FTNEyoY,Lulica Centro de Eventos,Local para eventos,"R. Roque Arlindo Fiorin, 300 - Jardim Taruma, Xanxerê - SC, 89820-000",(49) 99907-5242,+55 49 99907-5242,,,"-26.875393799999998,-52.4256892",4.8,37,Organizacao de eventos corporativos em Xanxere SC
ChIJVYbpQTPC5JQRuwR42gehgHY,https://www.google.com/maps/place/?q=place_id:ChIJVYbpQTPC5JQRuwR42gehgHY,Casa do Chef,Restaurante,"Av. Brasil, 2017 - Frederico Ferronatto, Xanxerê - SC, 89820-000",(49) 3433-7727,+55 49 3433-7727,casadochefeventos.com.br,http://www.casadochefeventos.com.br/,"-26.879762,-52.3889595",4.8,108,Organizacao de eventos corporativos em Xanxere SC
ChIJD8LQ0zfD5JQRfG3HZlhjXnM,https://www.google.com/maps/place/?q=place_id:ChIJD8LQ0zfD5JQRfG3HZlhjXnM,Village Eventos,Casa noturna,"R. Nereu Ramos, 304 - Centro, Xanxerê - SC, 89820-000",(49) 98843-1344,+55 49 98843-1344,instagram.com,https://instagram.com/villagexanxere?igshid=MTNiYzNiMzkwZA==,"-26.8704406,-52.408657899999994",5,1,Organizacao de eventos corporativos em Xanxere SC
ChIJITwMPgfD5JQR8USZE1qhQ4I,https://www.google.com/maps/place/?q=place_id:ChIJITwMPgfD5JQR8USZE1qhQ4I,RAMA Centro De Eventos,Local para eventos,"Contorno Viário Oeste - Xanxerê, SC, 89820-000",(49) 99917-2027,+55 49 99917-2027,,,"-26.857087699999997,-52.4105207",4.5,83,Organizacao de eventos corporativos em Xanxere SC
ChIJHYK2Fd635JQRnCwG3r_xq2E,https://www.google.com/maps/place/?q=place_id:ChIJHYK2Fd635JQRnCwG3r_xq2E,Singular Assessoria e Eventos,Organização de eventos e cerimonial,"Centro Empresarial Patriarca - R. Condá, Sl 302 - Presidente Médici, Chapecó - SC, 89801-141",(49) 99824-8804,+55 49 99824-8804,,,"-27.093345499999998,-52.6106738",4.8,1,Organizacao de eventos corporativos em Xanxere SC
ChIJW3IVFLHH5JQR-Jv4oB3s_Gs,https://www.google.com/maps/place/?q=place_id:ChIJW3IVFLHH5JQR-Jv4oB3s_Gs,MG Gestão de eventos,Assessoria e cerimonial de casamentos,"R. dos Andradas, 190 - Alvorada, Xaxim - SC, 89825-000",(49) 99940-3134,+55 49 99940-3134,,,"-26.951901399999997,-52.5300684",5,51,Organizacao de eventos corporativos em Xanxere SC
ChIJZ_lkXE3l45QRwJcJALKwCow,https://www.google.com/maps/place/?q=place_id:ChIJZ_lkXE3l45QRwJcJALKwCow,Faro Eventos,Serviço de locação de artigos de festa,"R. Francisco Lindner, 510 - Centro, Joaçaba - SC, 89600-000",(49) 99143-3435,+55 49 99143-3435,faroeventos.com.br,http://faroeventos.com.br/,"-27.172449399999998,-51.504032099999996",5,93,Organizacao de eventos corporativos em Xanxere SC
ChIJ1Qee3LrD5JQRF-Oqg1NBOCE,https://www.google.com/maps/place/?q=place_id:ChIJ1Qee3LrD5JQRF-Oqg1NBOCE,JH - Eventos e Restaurante,Restaurante,"R. Dirceu Giordani - Tarumã, Xanxerê - SC, 89820-000",(49) 99990-0467,+55 49 99990-0467,,,"-26.8762673,-52.4312829",5,5,Organizacao de eventos corporativos em Xanxere SC
ChIJJUuZHFOz5JQRiQB0pm8HEQc,https://www.google.com/maps/place/?q=place_id:ChIJJUuZHFOz5JQRiQB0pm8HEQc,AMO Eventos Corporativos,Empresa de organização de eventos,"R. Marechal José B. Bormann, 1055-E - Jardim Itália, Chapecó - SC, 89802-121",(49) 98409-4766,+55 49 98409-4766,instagram.com,https://www.instagram.com/amoeventoscorporativos/,"-27.1041982,-52.6253399",,146,Organizacao de eventos corporativos em Xanxere SC
ChIJIVn1md-35JQRZxCWnHBehag,https://www.google.com/maps/place/?q=place_id:ChIJIVn1md-35JQRZxCWnHBehag,Agora Sim - Assessoria de Eventos e Cerimonial,Empresa de organização de eventos,"Avenida Nereu Ramos, 75 E, Sala 803 B - CPC - Centro, Chapecó - SC, 89801-023",(49) 99913-2628,+55 49 99913-2628,eagorasim.com.br,https://www.eagorasim.com.br/,"-27.1050704,-52.6119519",5,10,Organizacao de eventos corporativos em Xanxere SC
ChIJ_5VyLwDD5JQRjxQY9bai1Eg,https://www.google.com/maps/place/?q=place_id:ChIJ_5VyLwDD5JQRjxQY9bai1Eg,Espaço AquaGarden,Local para eventos,"R. Dionísio Tomazi, 188 - Matinho, Xanxerê - SC, 89820-000",(49) 98844-6415,+55 49 98844-6415,,,"-26.886211,-52.4103165",4.7,4,Organizacao de eventos corporativos em Xanxere SC
ChIJNa-n8NDSJSER7Z2eshzZF5g,https://www.google.com/maps/place/?q=place_id:ChIJNa-n8NDSJSER7Z2eshzZF5g,Aparato Decorações,Empresa de organização de eventos,"R. Ferdinando Ricieri Tusseti, 201 - São Cristóvão, Chapecó - SC, 89804-796",(49) 99989-7272,+55 49 99989-7272,aparatodecoracao.com.br,https://www.aparatodecoracao.com.br/,"-27.0938442,-52.6375069",5,23,Organizacao de eventos corporativos em Xanxere SC
ChIJ0-e1r3C35JQRb1Lrr2G67hg,https://www.google.com/maps/place/?q=place_id:ChIJ0-e1r3C35JQRb1Lrr2G67hg,Pontual Formaturas e Eventos Chapecó,Empresa de organização de eventos,"R. Condá - Universitário, Chapecó - SC, 89801-130",(49) 3316-2543,+55 49 3316-2543,pontualformaturas.com.br,http://www.pontualformaturas.com.br/,"-27.118017,-52.6038621",4.6,12,Organizacao de eventos corporativos em Xanxere SC
ChIJdaf9qBvD5JQR4kYGaGvlZf8,https://www.google.com/maps/place/?q=place_id:ChIJdaf9qBvD5JQR4kYGaGvlZf8,Carro de som de rua em Xanxerê - Produx Meta,Agência de publicidade,"R. Domingos Marca, 760 - Nsa. Sra. de Lurdes, Xanxerê - SC, 89820-000",(49) 99148-8499,+55 49 99148-8499,,,"-26.847908099999998,-52.4095763",5,2,Organizacao de eventos corporativos em Xanxere SC
ChIJybvt82W35JQRlpm5Ai8LgzA,https://www.google.com/maps/place/?q=place_id:ChIJybvt82W35JQRlpm5Ai8LgzA,Eventos e Formaturas em Chapecó - ADV eventos,Empresa de organização de eventos,"R. Teotônio Viléla, 239 e - Passo Dos Fortes, Chapecó - SC, 89805-680",(49) 99174-6990,+55 49 99174-6990,adveventos.com.br,https://adveventos.com.br/,"-27.078964,-52.606921",4.5,1,Organizacao de eventos corporativos em Xanxere SC
