id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJU6V5zD3D5JQRO3kc5YNA4nk,https://www.google.com/maps/place/?q=place_id:ChIJU6V5zD3D5JQRO3kc5YNA4nk,GRÁFICA XANXERÊ,Gráfica,"R. da Consolação, 618 - Matinho, Xanxerê - SC, 89820-000",(49) 3431-0000,+55 49 3431-0000,,,"-26.883765699999998,-52.409664",4.9,3,Grafica rapida em Xanxere SC
ChIJA8WHFEvC5JQRBD_o8YaGrwg,https://www.google.com/maps/place/?q=place_id:ChIJA8WHFEvC5JQRBD_o8YaGrwg,Mega Soluções Gráficas,Impressão digital,"Rua Artur Dambroso, 276 - Centro, Xanxerê - SC, 89820-000",(49) 3433-5511,+55 49 3433-5511,,,"-26.8730874,-52.4013293",4.7,8,Grafica rapida em Xanxere SC
ChIJX5KT3tPD5JQR2nMoXe941ks,https://www.google.com/maps/place/?q=place_id:ChIJX5KT3tPD5JQR2nMoXe941ks,Imprifácil - Impressão de Apostilas Online,Gráfica,"R. José Bonifácio, 116 - Centro, Xanxerê - SC, 89820-000",(49) 99991-4911,+55 49 99991-4911,imprifacil.com.br,https://www.imprifacil.com.br/,"-26.8783256,-52.408638499999995",5,103,Grafica rapida em Xanxere SC
ChIJZ5rVJLzD5JQRWwVexO8oIGI,https://www.google.com/maps/place/?q=place_id:ChIJZ5rVJLzD5JQRWwVexO8oIGI,Central de Cópias,Impressão digital,"R. Cel. Passos Maia, 1103 - Centro, Xanxerê - SC, 89820-000",(49) 98914-1621,+55 49 98914-1621,facebook.com,https://www.facebook.com/centralxxe,"-26.8731582,-52.409000299999995",5,14,Grafica rapida em Xanxere SC
ChIJ3XSrsrXD5JQRbuYBehRiuH8,https://www.google.com/maps/place/?q=place_id:ChIJ3XSrsrXD5JQRbuYBehRiuH8,Mhundo Comunicação Visual,Impressão digital,"Av. La Salle, 599 - La Salle, Xanxerê - SC, 89820-000",(49) 99839-8484,+55 49 99839-8484,,,"-26.8788259,-52.4125635",4.8,5,Grafica rapida em Xanxere SC
ChIJcRW9cMrD5JQR3MOEn__sbtg,https://www.google.com/maps/place/?q=place_id:ChIJcRW9cMrD5JQR3MOEn__sbtg,Bampi Comunicação Visual e Gráfica Expressa,Serviço de impressão digital,"BR-282, km 510 - Distrito Industrial, Xanxerê - SC, 89820-000",(49) 3433-1237,+55 49 3433-1237,instagram.com,https://www.instagram.com/bampicomunicacaovisual/,"-26.8862353,-52.436992599999996",4.8,47,Grafica rapida em Xanxere SC
ChIJ-T4We1PD5JQRFKJ0qqWYbRs,https://www.google.com/maps/place/?q=place_id:ChIJ-T4We1PD5JQRFKJ0qqWYbRs,Digital power Comunicação Visual,Gráfica,"R. Natal, 40 - Número 40 - Vila Sesamo, Xanxerê - SC, 89820-000",(49) 99991-9921,+55 49 99991-9921,instagram.com,https://www.instagram.com/digitalpower28/,"-26.8691067,-52.4220091",4.7,25,Grafica rapida em Xanxere SC
ChIJP2fxt5zD5JQRfRmxMI9c88A,https://www.google.com/maps/place/?q=place_id:ChIJP2fxt5zD5JQRfRmxMI9c88A,Grafica Talonn,Gráfica,"Nicolau - R. Domingos Lino Fardo, 122 - Nossa Sra. Lourdes, Xanxerê - SC, 89820-000",(49) 98844-0821,+55 49 98844-0821,,,"-26.8573314,-52.4031926",5,18,Grafica rapida em Xanxere SC
ChIJufuAosvD5JQRnaiub3hgxiA,https://www.google.com/maps/place/?q=place_id:ChIJufuAosvD5JQRnaiub3hgxiA,Imprimax,Gráfica,"R. José Bonifácio, 520 - La Salle, Xanxerê - SC, 89820-000",(49) 3441-9500,+55 49 3441-9500,imprimax.ind.br,http://www.imprimax.ind.br/,"-26.881859499999997,-52.4070854",4.7,1,Grafica rapida em Xanxere SC
ChIJzc2ZCrXD5JQRt2f3t8fVefY,https://www.google.com/maps/place/?q=place_id:ChIJzc2ZCrXD5JQRt2f3t8fVefY,DK Cópias,Serviço de impressão digital,"Centro, Xanxerê - SC, 89820-000",(49) 99999-4157,+55 49 99999-4157,,,"-26.8760107,-52.406391899999996",4.6,3,Grafica rapida em Xanxere SC
ChIJvWue27PD5JQRkljmNnVJlag,https://www.google.com/maps/place/?q=place_id:ChIJvWue27PD5JQRkljmNnVJlag,NOVA IMAGEM IMPRESSÃO DIGITAL. FÁBRICA DE BANNERS E IMPRESSÃO EM LONAS E ADESIVOS.,Shopping center,"R. Dr. Selistre de Campos, 182 - Centro, Xanxerê - SC, 89820-000",(49) 3433-1221,+55 49 3433-1221,,,"-26.871694299999998,-52.4088126",4.2,11,Grafica rapida em Xanxere SC
ChIJTwrVmczD5JQRhSAp22MLyq8,https://www.google.com/maps/place/?q=place_id:ChIJTwrVmczD5JQRhSAp22MLyq8,Grafica Eukaliptus,Gráfica,"R. Marciano Leite de Almeida, 830 - Veneza, Xanxerê - SC, 89820-000",(49) 3431-0617,+55 49 3431-0617,wa.me,http://wa.me/message/BY2VV7PYW7TYB1,"-26.8722346,-52.4134683",4.9,3,Grafica rapida em Xanxere SC
ChIJzQeDPMjD5JQRi9mDn2iwDPU,https://www.google.com/maps/place/?q=place_id:ChIJzQeDPMjD5JQRi9mDn2iwDPU,3de comunicação visual,Impressão digital,"Rua Joinville, 63 - Colatto, Xanxerê - SC, 89820-000",(49) 99812-0519,+55 49 99812-0519,,,"-26.8798267,-52.3987473",3.9,17,Grafica rapida em Xanxere SC
ChIJ7WS98sfD5JQRxP3b2JOBobw,https://www.google.com/maps/place/?q=place_id:ChIJ7WS98sfD5JQRxP3b2JOBobw,Bongiovanni C. Gráfica,Loja de materiais para empacotamento,"R. Vinte e Sete de Fevereiro - Nossa Sra. Lourdes, Xanxerê - SC, 89820-000",(49) 3433-5980,+55 49 3433-5980,,,"-26.8546308,-52.4050721",5,6,Grafica rapida em Xanxere SC
ChIJWS5opkrC5JQRsnMa7rDGWEc,https://www.google.com/maps/place/?q=place_id:ChIJWS5opkrC5JQRsnMa7rDGWEc,Aleto Design Digital,Designer Gráfico,"R. Papa João XXIII, 574 - Anexo MouseThec - Esportes, Xanxerê - SC, 89820-000",(49) 98829-6110,+55 49 98829-6110,aleto.com.br,http://www.aleto.com.br/,"-26.872639699999997,-52.401849",5,3,Grafica rapida em Xanxere SC
ChIJ5wJWPzTC5JQRBKzsWehsB3o,https://www.google.com/maps/place/?q=place_id:ChIJ5wJWPzTC5JQRBKzsWehsB3o,Wagnerart Propaganda,Gráfica,"R. Tocantins, 30 - João Batista Tonial, Xanxerê - SC, 89820-000",(49) 3433-5509,+55 49 3433-5509,wagnerart.com.br,http://www.wagnerart.com.br/,"-26.881505699999998,-52.3961507",5,64,Grafica rapida em Xanxere SC
ChIJi0jc8IbD5JQRvSFrNVpTBD0,https://www.google.com/maps/place/?q=place_id:ChIJi0jc8IbD5JQRvSFrNVpTBD0,RafaaDesign Gráfico | Comunicação Visual,Agência de marketing digital,"Rua Artur Dambroso, 256 - Centro, Xanxerê - SC, 89820-000",,,lumiedigital.com.br,https://www.lumiedigital.com.br/,"-26.8730592,-52.401443699999994",5,1,Grafica rapida em Xanxere SC
ChIJnZwvkmvD5JQR1KHQuDcovsM,https://www.google.com/maps/place/?q=place_id:ChIJnZwvkmvD5JQR1KHQuDcovsM,Tráfego Pago e Marketing Digital,Agência de Marketing,"R. Antônio Dala Costa, 90 - Novo Horizonte, Xanxerê - SC, 89820-000",,,,,"-26.874069199999997,-52.4278365",1,1,Grafica rapida em Xanxere SC
ChIJF8U6p7XD5JQRX6WCkI1G3xw,https://www.google.com/maps/place/?q=place_id:ChIJF8U6p7XD5JQRX6WCkI1G3xw,Digital Foto e Vídeo,Loja de artigos para fotografia,"R. Olávo Bilac, 72 - Centro, Xanxerê - SC, 89820-000",(49) 3433-0088,+55 49 3433-0088,,,"-26.8760814,-52.4065203",,2,Grafica rapida em Xanxere SC
ChIJ51JBQsjD5JQR1k6wf-l-okQ,https://www.google.com/maps/place/?q=place_id:ChIJ51JBQsjD5JQR1k6wf-l-okQ,Aimirim Propaganda,Agência de publicidade,"Mello - R. Fidêncio de Souza Melo Filho, 169 - | sala 201 - Centro, Xanxerê - SC, 89820-000",(49) 3433-3667,+55 49 3433-3667,aimirimpropaganda.com.br,http://www.aimirimpropaganda.com.br/,"-26.8744445,-52.4064811",4.7,6,Grafica rapida em Xanxere SC
