id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ0028hcrD5JQRncS-h3PRLLE,https://www.google.com/maps/place/?q=place_id:ChIJ0028hcrD5JQRncS-h3PRLLE,Imobiliária Santa Fé,Imobiliária,"Av. Brasil, 370 - Centro, Xanxerê - SC, 89820-000",(49) 3433-8768,+55 49 3433-8768,imobiliariasantafe.com,http://imobiliariasantafe.com/,"-26.876256899999998,-52.4042283",4.1,17,Imobiliarias em Xanxere SC
ChIJ-UaUp7XD5JQRnjaRX9SbeQ4,https://www.google.com/maps/place/?q=place_id:ChIJ-UaUp7XD5JQRnjaRX9SbeQ4,Imobiliária Casaé,Imobiliária,"R. Olávo Bilac, 93 - Centro, Xanxerê - SC, 89820-000",(49) 3433-3333,+55 49 3433-3333,imobiliariacasae.com.br,http://www.imobiliariacasae.com.br/,"-26.8758156,-52.4066979",4.2,15,Imobiliarias em Xanxere SC
ChIJcUunEDXC5JQRDDBxdpkhJ0w,https://www.google.com/maps/place/?q=place_id:ChIJcUunEDXC5JQRDDBxdpkhJ0w,Imobiliária Habitaxan,Imobiliária,"R. Cel. Passos Maia, 1005 - sala 01 - Centro, Xanxerê - SC, 89820-000",(49) 3433-3147,+55 49 3433-3147,habitaxan.com.br,http://www.habitaxan.com.br/,"-26.874041,-52.408714499999995",4,2,Imobiliarias em Xanxere SC
ChIJTySoyfzy344RTR0ANXo198A,https://www.google.com/maps/place/?q=place_id:ChIJTySoyfzy344RTR0ANXo198A,Base Real Imóveis - Xanxerê,Imobiliária,"R. Manaus, 110 - Esportes, Xanxerê - SC, 89820-000",(49) 99841-1969,+55 49 99841-1969,baserealimoveisxanxere.com.br,https://baserealimoveisxanxere.com.br/,"-26.868996499999998,-52.399451799999994",5,4,Imobiliarias em Xanxere SC
ChIJtzbJI4TD5JQRsdWesno2QtA,https://www.google.com/maps/place/?q=place_id:ChIJtzbJI4TD5JQRsdWesno2QtA,IMOBILIÁRIA VÊNETTO,Imobiliária,"Rua Irineu bornhausen, 16 - Centro, Xanxerê - SC, 89820-000",(49) 3433-5008,+55 49 3433-5008,imobiliariavenetto.com.br,http://www.imobiliariavenetto.com.br/,"-26.8708639,-52.407995899999996",4.6,15,Imobiliarias em Xanxere SC
ChIJQXha9qDD5JQR2NHtvuWngYM,https://www.google.com/maps/place/?q=place_id:ChIJQXha9qDD5JQR2NHtvuWngYM,América Imobiliária - Xanxerê,Imobiliária,"R. Cel. Passos Maia, 468 - Centro, Xanxerê - SC, 89820-000",(49) 3433-1032,+55 49 3433-1032,xxe.americaimb.com.br,https://xxe.americaimb.com.br/,"-26.8782316,-52.4059594",5,10,Imobiliarias em Xanxere SC
ChIJP95Wx7TD5JQRPmSwo-xEnOE,https://www.google.com/maps/place/?q=place_id:ChIJP95Wx7TD5JQRPmSwo-xEnOE,Imobiliária Santa Aurora,Imobiliária,"Rua Olimpio Julio Tortato, 101 - Centro, Xanxerê - SC, 89820-000",(49) 3433-7989,+55 49 3433-7989,xxe.santaaurora.com.br,https://xxe.santaaurora.com.br/,"-26.8735042,-52.4047926",4.5,17,Imobiliarias em Xanxere SC
ChIJOWoSAbXD5JQR_vZXZ_NgjnA,https://www.google.com/maps/place/?q=place_id:ChIJOWoSAbXD5JQR_vZXZ_NgjnA,Imobiliária XANCASA,Imobiliária,"R. Alm. Tamandare, 248 - Centro, Xanxerê - SC, 89820-000",(49) 98402-9012,+55 49 98402-9012,xancasa.com.br,https://xancasa.com.br/,"-26.87285,-52.4050367",4.2,7,Imobiliarias em Xanxere SC
ChIJRX98mrTD5JQRDZQN-tcMDk0,https://www.google.com/maps/place/?q=place_id:ChIJRX98mrTD5JQRDZQN-tcMDk0,Imobiliária Adisul,Imobiliária,"R. Olávo Bilac, 415 - Sl 01 - Centro, Xanxerê - SC, 89820-000",(49) 3433-0093,+55 49 3433-0093,adisul.com.br,http://adisul.com.br/,"-26.872977,-52.405823999999996",4.2,1,Imobiliarias em Xanxere SC
ChIJ5UnRD8rD5JQRHVbJVKUyrO0,https://www.google.com/maps/place/?q=place_id:ChIJ5UnRD8rD5JQRHVbJVKUyrO0,Imobiliária Kadê - CRECI 3076-J,Imobiliária,"R. Cel. Passos Maia, 955 - Centro, Xanxerê - SC, 89820-000",(49) 99943-6060,+55 49 99943-6060,,,"-26.874512799999998,-52.4084649",4.6,10,Imobiliarias em Xanxere SC
ChIJmVDcmL_D5JQRzNkg4D__BJ8,https://www.google.com/maps/place/?q=place_id:ChIJmVDcmL_D5JQRzNkg4D__BJ8,Bortolotto Imóveis,Imobiliária,"R. Mal. Deodoro, 462 - Colatto, Xanxerê - SC, 89820-000",(49) 99954-3240,+55 49 99954-3240,bortolottoimoveis.com.br,https://www.bortolottoimoveis.com.br/,"-26.8759987,-52.3974725",5,15,Imobiliarias em Xanxere SC
