id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQx9LADfC5JQRJ7i3d4pOvKU,https://www.google.com/maps/place/?q=place_id:ChIJQx9LADfC5JQRJ7i3d4pOvKU,2op Digital,Agência de Marketing,"R. Araguaia, 494 - Colatto, Xanxerê - SC, 89820-000",(49) 3431-0070,+55 49 3431-0070,2op.com.br,https://2op.com.br/,"-26.877569299999998,-52.395754499999995",4.8,2,Agencias de marketing digital em Xanxere SC
ChIJ51JBQsjD5JQR1k6wf-l-okQ,https://www.google.com/maps/place/?q=place_id:ChIJ51JBQsjD5JQR1k6wf-l-okQ,Aimirim Propaganda,Agência de publicidade,"Mello - R. Fidêncio de Souza Melo Filho, 169 - | sala 201 - Centro, Xanxerê - SC, 89820-000",(49) 3433-3667,+55 49 3433-3667,aimirimpropaganda.com.br,http://www.aimirimpropaganda.com.br/,"-26.8744445,-52.4064811",4.7,6,Agencias de marketing digital em Xanxere SC
ChIJ-bOjXRvVCkAREBU1JE7IvoA,https://www.google.com/maps/place/?q=place_id:ChIJ-bOjXRvVCkAREBU1JE7IvoA,Agência OKSE - Possibilidades Infinitas,Agência de marketing digital,"Rua Arduino Antonioli Veneza ardoino antonioli, Xanxerê - SC, 89820-000",(49) 99983-7731,+55 49 99983-7731,agenciaokse.com.br,http://www.agenciaokse.com.br/,"-26.8752449,-52.4136235",5,14,Agencias de marketing digital em Xanxere SC
ChIJMUWJpPzD5JQR0c6jRILlGcE,https://www.google.com/maps/place/?q=place_id:ChIJMUWJpPzD5JQR0c6jRILlGcE,Westerly Marketing e Vendas Online - Agência Digital - Xanxerê,Agência de marketing digital,"Rua Dulce Mirian Cauvila 368, Xanxerê - SC, 89820-000",(49) 99807-0786,+55 49 99807-0786,,,"-26.875157599999998,-52.4041785",5,7,Agencias de marketing digital em Xanxere SC
ChIJ4TM-fdbD5JQRqos0rHsv6io,https://www.google.com/maps/place/?q=place_id:ChIJ4TM-fdbD5JQRqos0rHsv6io,Agência Digital Ciclos,Agência de marketing digital,,(49) 99928-4174,+55 49 99928-4174,,,"-14.4095262,-51.3168626",5,5,Agencias de marketing digital em Xanxere SC
ChIJx_Sp7cbD5JQR5d17uw23pUM,https://www.google.com/maps/place/?q=place_id:ChIJx_Sp7cbD5JQR5d17uw23pUM,IPSE MARKETING ESTRATÉGICO,Agência de publicidade,"R. Independência, 40 - Sl 05 - Centro, Xanxerê - SC, 89820-000",(49) 3433-2020,+55 49 3433-2020,ipse.ag,http://www.ipse.ag/,"-26.8786483,-52.404746499999995",5,7,Agencias de marketing digital em Xanxere SC
ChIJI0Z-6XPD5JQR3OFCOkFs6WU,https://www.google.com/maps/place/?q=place_id:ChIJI0Z-6XPD5JQR3OFCOkFs6WU,Agência De Marketing e Performance digital - Xanxerê SC,Agência de marketing digital,"Rua Itacir Dallagnol - São Jorge, Xanxerê - SC, 89820-000",(49) 99131-9316,+55 49 99131-9316,facebook.com,https://www.facebook.com/bmperformancedigital,"-26.8679925,-52.3907892",5,1,Agencias de marketing digital em Xanxere SC
ChIJr3nN-fBGnGsRReqJrBZP8Gg,https://www.google.com/maps/place/?q=place_id:ChIJr3nN-fBGnGsRReqJrBZP8Gg,Grupo Mega Digital,Agência de marketing digital,"R. Independência, 960 - La Salle, Xanxerê - SC, 89820-000",(49) 99827-5966,+55 49 99827-5966,instagram.com,https://www.instagram.com/grupomegadigital01/,"-26.8811184,-52.4135133",5,6,Agencias de marketing digital em Xanxere SC
ChIJ78K3J7TD5JQRxUtuC1EjlTo,https://www.google.com/maps/place/?q=place_id:ChIJ78K3J7TD5JQRxUtuC1EjlTo,Wincom Agência de Publicidade,Agência de publicidade,"R. Olávo Bilac, 16 - Sl 25 - Centro, Xanxerê - SC, 89820-000",(49) 99927-5384,+55 49 99927-5384,wincom.com.br,https://www.wincom.com.br/novo/,"-26.876081199999998,-52.4067012",5,1,Agencias de marketing digital em Xanxere SC
ChIJoVIwc77D5JQRTtiUOScKDa4,https://www.google.com/maps/place/?q=place_id:ChIJoVIwc77D5JQRTtiUOScKDa4,Marketing Digital,Agência de Marketing,"R. Dr. Selistre de Campos - Centro, Xanxerê - SC, 89820-000",,,ueniweb.com,https://marketing-digital-xanxere.ueniweb.com/?utm_campaign=gmb,"-26.875382199999997,-52.4062999",,1,Agencias de marketing digital em Xanxere SC
ChIJWS5opkrC5JQRsnMa7rDGWEc,https://www.google.com/maps/place/?q=place_id:ChIJWS5opkrC5JQRsnMa7rDGWEc,Aleto Design Digital,Designer Gráfico,"R. Papa João XXIII, 574 - Anexo MouseThec - Esportes, Xanxerê - SC, 89820-000",(49) 98829-6110,+55 49 98829-6110,aleto.com.br,http://www.aleto.com.br/,"-26.872639699999997,-52.401849",5,3,Agencias de marketing digital em Xanxere SC
ChIJGTcsYiXJ2JQR64M7NwYgb4s,https://www.google.com/maps/place/?q=place_id:ChIJGTcsYiXJ2JQR64M7NwYgb4s,Certificado Digital Xanxerê,Agência de marketing digital,"Av. Brasil, 260 - Sl 404-C - Centro, Xanxerê - SC, 89820-000",(49) 99981-0100,+55 49 99981-0100,,,"-26.8758855,-52.4051863",,3,Agencias de marketing digital em Xanxere SC
ChIJ-T4We1PD5JQRFKJ0qqWYbRs,https://www.google.com/maps/place/?q=place_id:ChIJ-T4We1PD5JQRFKJ0qqWYbRs,Digital power Comunicação Visual,Gráfica,"R. Natal, 40 - Número 40 - Vila Sesamo, Xanxerê - SC, 89820-000",(49) 99991-9921,+55 49 99991-9921,instagram.com,https://www.instagram.com/digitalpower28/,"-26.8691067,-52.4220091",4.7,25,Agencias de marketing digital em Xanxere SC
ChIJdcnD6KTD5JQR1VUW9tH6dzw,https://www.google.com/maps/place/?q=place_id:ChIJdcnD6KTD5JQR1VUW9tH6dzw,XXE MKT,Consultoria em Marketing,"R. José Bonifácio, 155 - Centro, Xanxerê - SC, 89820-000",(49) 99811-7463,+55 49 99811-7463,,,"-26.878621,-52.4080934",,2,Agencias de marketing digital em Xanxere SC
ChIJA_K8EZHD5JQRuTrPc6BdqEg,https://www.google.com/maps/place/?q=place_id:ChIJA_K8EZHD5JQRuTrPc6BdqEg,CAVO,Agência de Marketing,,(49) 99805-5575,+55 49 99805-5575,,,"-14.4095262,-51.3168626",5,7,Agencias de marketing digital em Xanxere SC
ChIJuWTOj2DHcCoRLFhlAkSpugA,https://www.google.com/maps/place/?q=place_id:ChIJuWTOj2DHcCoRLFhlAkSpugA,ÉSS DIGITAL | Health Marketing,Agência de marketing digital,"Rua Irineu bornhausen, 169 - Sl 03 - Centro, Xanxerê - SC, 89820-000",(49) 99938-4647,+55 49 99938-4647,essdigital.com.br,http://essdigital.com.br/,"-26.872446,-52.4085689",,4,Agencias de marketing digital em Xanxere SC
ChIJzc2ZCrXD5JQRt2f3t8fVefY,https://www.google.com/maps/place/?q=place_id:ChIJzc2ZCrXD5JQRt2f3t8fVefY,DK Cópias,Serviço de impressão digital,"Centro, Xanxerê - SC, 89820-000",(49) 99999-4157,+55 49 99999-4157,,,"-26.8760107,-52.406391899999996",4.6,3,Agencias de marketing digital em Xanxere SC
